County                        Registered Voters             Ballots Cast                  Voter Turnout                 
01012                         429                           1                             1                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             3                             
01013                         467                           2                             0                             2                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             4                             
01014                         297                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             1                             1                             2                             3                             
01015                         605                           0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             
01016                         672                           0                             0                             0                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             
01017                         386                           3                             0                             3                             0                             0                             0                             0                             0                             0                             0                             1                             1                             1                             0                             1                             0                             0                             0                             5                             
02018                         509                           2                             0                             2                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             4                             
02019                         404                           5                             0                             5                             0                             0                             0                             0                             1                             1                             0                             1                             1                             0                             0                             0                             0                             0                             0                             7                             
02020                         391                           1                             0                             1                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             
02021                         589                           6                             0                             6                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             6                             
02022                         330                           0                             0                             0                             0                             0                             0                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             2                             
02023                         478                           1                             2                             3                             0                             1                             1                             1                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             6                             
02024                         407                           2                             1                             3                             1                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             1                             0                             1                             6                             
02025                         1069                          6                             5                             11                            2                             0                             2                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             14                            
02026                         508                           4                             0                             4                             1                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             0                             2                             8                             
02027                         830                           8                             0                             8                             1                             0                             1                             2                             0                             2                             2                             0                             2                             1                             0                             1                             1                             0                             1                             15                            
