Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
0000157,,,,0000157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,41,"1,310",,Polling,0,0.00%,0,0.00%,1,2.44%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,24,58.54%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,7.32%,0,0.00%,0,0.00%,0,0.00%,13,31.71%,0,0.00%,0,0.00%,0,0.00%,41,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,219,"1,310",,Vote by Mail,1,0.48%,0,0.00%,16,7.62%,,0,0.00%,6,2.86%,,0,0.00%,0,0.00%,2,0.95%,66,31.43%,0,0.00%,8,3.81%,0,0.00%,1,0.48%,35,16.67%,0,0.00%,1,0.48%,4,1.90%,69,32.86%,1,0.48%,0,0.00%,0,0.00%,210,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,260,"1,310",,Total,1,0.40%,0,0.00%,17,6.77%,,0,0.00%,6,2.39%,,0,0.00%,0,0.00%,2,0.80%,90,35.86%,0,0.00%,8,3.19%,0,0.00%,1,0.40%,38,15.14%,0,0.00%,1,0.40%,4,1.59%,82,32.67%,1,0.40%,0,0.00%,0,0.00%,251,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000158,,,,0000158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,71,"1,861",,Polling,0,0.00%,0,0.00%,3,4.23%,,0,0.00%,1,1.41%,,0,0.00%,0,0.00%,0,0.00%,31,43.66%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,7.04%,0,0.00%,0,0.00%,2,2.82%,29,40.85%,0,0.00%,0,0.00%,0,0.00%,71,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,335,"1,861",,Vote by Mail,0,0.00%,0,0.00%,28,8.62%,,0,0.00%,12,3.69%,,0,0.00%,0,0.00%,2,0.62%,119,36.62%,0,0.00%,8,2.46%,0,0.00%,1,0.31%,50,15.38%,0,0.00%,0,0.00%,14,4.31%,90,27.69%,1,0.31%,0,0.00%,0,0.00%,325,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,406,"1,861",,Total,0,0.00%,0,0.00%,31,7.83%,,0,0.00%,13,3.28%,,0,0.00%,0,0.00%,2,0.51%,150,37.88%,0,0.00%,8,2.02%,0,0.00%,1,0.25%,55,13.89%,0,0.00%,0,0.00%,16,4.04%,119,30.05%,1,0.25%,0,0.00%,0,0.00%,396,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000159,,,,0000159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,2,8,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,0,8,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,2,8,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000160,,,,0000160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,2,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,1,2,,Vote by Mail,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,1,2,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000161,,,,0000161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,106,"2,626",,Polling,0,0.00%,0,0.00%,9,8.74%,,0,0.00%,1,0.97%,,0,0.00%,0,0.00%,1,0.97%,42,40.78%,0,0.00%,3,2.91%,0,0.00%,0,0.00%,5,4.85%,0,0.00%,0,0.00%,0,0.00%,42,40.78%,0,0.00%,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,434,"2,626",,Vote by Mail,0,0.00%,0,0.00%,36,8.53%,,0,0.00%,24,5.69%,,0,0.00%,3,0.71%,8,1.90%,156,36.97%,0,0.00%,18,4.27%,0,0.00%,0,0.00%,41,9.72%,0,0.00%,0,0.00%,19,4.50%,117,27.73%,0,0.00%,0,0.00%,0,0.00%,422,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,540,"2,626",,Total,0,0.00%,0,0.00%,45,8.57%,,0,0.00%,25,4.76%,,0,0.00%,3,0.57%,9,1.71%,198,37.71%,0,0.00%,21,4.00%,0,0.00%,0,0.00%,46,8.76%,0,0.00%,0,0.00%,19,3.62%,159,30.29%,0,0.00%,0,0.00%,0,0.00%,525,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000162,,,,0000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,1,36,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
