Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
0000061,,,,0000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,16,416,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,1,6.25%,,0,0.00%,0,0.00%,0,0.00%,12,75.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,18.75%,0,0.00%,0,0.00%,0,0.00%,16,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,67,416,,Vote by Mail,0,0.00%,0,0.00%,7,10.61%,,0,0.00%,1,1.52%,,0,0.00%,0,0.00%,0,0.00%,26,39.39%,0,0.00%,0,0.00%,0,0.00%,1,1.52%,6,9.09%,0,0.00%,0,0.00%,2,3.03%,23,34.85%,0,0.00%,0,0.00%,0,0.00%,66,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,83,416,,Total,0,0.00%,0,0.00%,7,8.54%,,0,0.00%,2,2.44%,,0,0.00%,0,0.00%,0,0.00%,38,46.34%,0,0.00%,0,0.00%,0,0.00%,1,1.22%,6,7.32%,0,0.00%,0,0.00%,2,2.44%,26,31.71%,0,0.00%,0,0.00%,0,0.00%,82,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000062,,,,0000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,105,"2,235",,Polling,1,0.96%,0,0.00%,5,4.81%,,0,0.00%,2,1.92%,,0,0.00%,0,0.00%,1,0.96%,60,57.69%,0,0.00%,1,0.96%,0,0.00%,0,0.00%,7,6.73%,0,0.00%,0,0.00%,4,3.85%,23,22.12%,0,0.00%,0,0.00%,0,0.00%,104,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,398,"2,235",,Vote by Mail,0,0.00%,0,0.00%,37,9.64%,,0,0.00%,4,1.04%,,1,0.26%,0,0.00%,4,1.04%,133,34.64%,0,0.00%,20,5.21%,0,0.00%,1,0.26%,48,12.50%,0,0.00%,2,0.52%,13,3.39%,119,30.99%,2,0.52%,0,0.00%,0,0.00%,384,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,503,"2,235",,Total,1,0.20%,0,0.00%,42,8.61%,,0,0.00%,6,1.23%,,1,0.20%,0,0.00%,5,1.02%,193,39.55%,0,0.00%,21,4.30%,0,0.00%,1,0.20%,55,11.27%,0,0.00%,2,0.41%,17,3.48%,142,29.10%,2,0.41%,0,0.00%,0,0.00%,488,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000063,,,,0000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,38,922,,Polling,0,0.00%,0,0.00%,1,2.63%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,29,76.32%,0,0.00%,1,2.63%,0,0.00%,0,0.00%,2,5.26%,0,0.00%,0,0.00%,0,0.00%,5,13.16%,0,0.00%,0,0.00%,0,0.00%,38,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,119,922,,Vote by Mail,0,0.00%,0,0.00%,16,14.16%,,0,0.00%,1,0.88%,,0,0.00%,1,0.88%,2,1.77%,36,31.86%,0,0.00%,10,8.85%,0,0.00%,0,0.00%,14,12.39%,0,0.00%,0,0.00%,3,2.65%,28,24.78%,2,1.77%,0,0.00%,0,0.00%,113,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,157,922,,Total,0,0.00%,0,0.00%,17,11.26%,,0,0.00%,1,0.66%,,0,0.00%,1,0.66%,2,1.32%,65,43.05%,0,0.00%,11,7.28%,0,0.00%,0,0.00%,16,10.60%,0,0.00%,0,0.00%,3,1.99%,33,21.85%,2,1.32%,0,0.00%,0,0.00%,151,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000064,,,,0000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,73,"1,989",,Polling,0,0.00%,0,0.00%,6,8.45%,,0,0.00%,1,1.41%,,0,0.00%,0,0.00%,0,0.00%,43,60.56%,0,0.00%,1,1.41%,0,0.00%,0,0.00%,7,9.86%,0,0.00%,0,0.00%,0,0.00%,13,18.31%,0,0.00%,0,0.00%,0,0.00%,71,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,256,"1,989",,Vote by Mail,2,0.79%,0,0.00%,16,6.30%,,0,0.00%,8,3.15%,,0,0.00%,0,0.00%,4,1.57%,90,35.43%,0,0.00%,16,6.30%,0,0.00%,1,0.39%,36,14.17%,0,0.00%,0,0.00%,11,4.33%,68,26.77%,2,0.79%,0,0.00%,0,0.00%,254,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,329,"1,989",,Total,2,0.62%,0,0.00%,22,6.77%,,0,0.00%,9,2.77%,,0,0.00%,0,0.00%,4,1.23%,133,40.92%,0,0.00%,17,5.23%,0,0.00%,1,0.31%,43,13.23%,0,0.00%,0,0.00%,11,3.38%,81,24.92%,2,0.62%,0,0.00%,0,0.00%,325,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000065,,,,0000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,67,"1,316",,Polling,0,0.00%,0,0.00%,4,6.15%,,0,0.00%,1,1.54%,,0,0.00%,0,0.00%,0,0.00%,34,52.31%,0,0.00%,1,1.54%,0,0.00%,0,0.00%,5,7.69%,0,0.00%,0,0.00%,0,0.00%,18,27.69%,2,3.08%,0,0.00%,0,0.00%,65,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,240,"1,316",,Vote by Mail,0,0.00%,0,0.00%,19,8.15%,,0,0.00%,6,2.58%,,0,0.00%,0,0.00%,3,1.29%,82,35.19%,0,0.00%,9,3.86%,0,0.00%,0,0.00%,33,14.16%,0,0.00%,0,0.00%,8,3.43%,70,30.04%,3,1.29%,0,0.00%,0,0.00%,233,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,307,"1,316",,Total,0,0.00%,0,0.00%,23,7.72%,,0,0.00%,7,2.35%,,0,0.00%,0,0.00%,3,1.01%,116,38.93%,0,0.00%,10,3.36%,0,0.00%,0,0.00%,38,12.75%,0,0.00%,0,0.00%,8,2.68%,88,29.53%,5,1.68%,0,0.00%,0,0.00%,298,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000066,,,,0000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,28,992,,Polling,2,7.14%,1,3.57%,2,7.14%,,0,0.00%,0,0.00%,,0,0.00%,1,3.57%,0,0.00%,15,53.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,7.14%,0,0.00%,0,0.00%,0,0.00%,5,17.86%,0,0.00%,0,0.00%,0,0.00%,28,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,175,992,,Vote by Mail,0,0.00%,0,0.00%,19,11.38%,,0,0.00%,1,0.60%,,0,0.00%,0,0.00%,3,1.80%,46,27.54%,1,0.60%,9,5.39%,0,0.00%,0,0.00%,32,19.16%,0,0.00%,0,0.00%,4,2.40%,52,31.14%,0,0.00%,0,0.00%,0,0.00%,167,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,203,992,,Total,2,1.03%,1,0.51%,21,10.77%,,0,0.00%,1,0.51%,,0,0.00%,1,0.51%,3,1.54%,61,31.28%,1,0.51%,9,4.62%,0,0.00%,0,0.00%,34,17.44%,0,0.00%,0,0.00%,4,2.05%,57,29.23%,0,0.00%,0,0.00%,0,0.00%,195,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000067,,,,0000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,1,2,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,0,2,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,1,2,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000068,,,,0000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,113,"2,086",,Polling,0,0.00%,0,0.00%,14,12.73%,,0,0.00%,2,1.82%,,0,0.00%,0,0.00%,0,0.00%,56,50.91%,2,1.82%,3,2.73%,0,0.00%,0,0.00%,7,6.36%,0,0.00%,0,0.00%,2,1.82%,22,20.00%,2,1.82%,0,0.00%,0,0.00%,110,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,433,"2,086",,Vote by Mail,0,0.00%,1,0.24%,54,12.74%,,1,0.24%,6,1.42%,,0,0.00%,0,0.00%,7,1.65%,169,39.86%,0,0.00%,18,4.25%,0,0.00%,0,0.00%,40,9.43%,0,0.00%,1,0.24%,32,7.55%,92,21.70%,3,0.71%,0,0.00%,0,0.00%,424,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,546,"2,086",,Total,0,0.00%,1,0.19%,68,12.73%,,1,0.19%,8,1.50%,,0,0.00%,0,0.00%,7,1.31%,225,42.13%,2,0.37%,21,3.93%,0,0.00%,0,0.00%,47,8.80%,0,0.00%,1,0.19%,34,6.37%,114,21.35%,5,0.94%,0,0.00%,0,0.00%,534,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000069,,,,0000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,23,"1,244",,Polling,0,0.00%,0,0.00%,2,8.70%,,0,0.00%,0,0.00%,,0,0.00%,1,4.35%,0,0.00%,11,47.83%,0,0.00%,1,4.35%,0,0.00%,0,0.00%,3,13.04%,0,0.00%,0,0.00%,0,0.00%,4,17.39%,1,4.35%,0,0.00%,0,0.00%,23,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,191,"1,244",,Vote by Mail,3,1.60%,1,0.53%,26,13.83%,,0,0.00%,6,3.19%,,1,0.53%,0,0.00%,1,0.53%,65,34.57%,0,0.00%,10,5.32%,0,0.00%,0,0.00%,21,11.17%,0,0.00%,0,0.00%,8,4.26%,45,23.94%,1,0.53%,0,0.00%,0,0.00%,188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,214,"1,244",,Total,3,1.42%,1,0.47%,28,13.27%,,0,0.00%,6,2.84%,,1,0.47%,1,0.47%,1,0.47%,76,36.02%,0,0.00%,11,5.21%,0,0.00%,0,0.00%,24,11.37%,0,0.00%,0,0.00%,8,3.79%,49,23.22%,2,0.95%,0,0.00%,0,0.00%,211,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000070,,,,0000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,53,"1,587",,Polling,0,0.00%,0,0.00%,7,13.21%,,0,0.00%,0,0.00%,,1,1.89%,0,0.00%,0,0.00%,22,41.51%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,15.09%,0,0.00%,0,0.00%,0,0.00%,14,26.42%,1,1.89%,0,0.00%,0,0.00%,53,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,280,"1,587",,Vote by Mail,1,0.37%,0,0.00%,23,8.61%,,0,0.00%,5,1.87%,,0,0.00%,0,0.00%,10,3.75%,91,34.08%,0,0.00%,13,4.87%,0,0.00%,0,0.00%,34,12.73%,0,0.00%,0,0.00%,11,4.12%,78,29.21%,1,0.37%,0,0.00%,0,0.00%,267,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,333,"1,587",,Total,1,0.31%,0,0.00%,30,9.38%,,0,0.00%,5,1.56%,,1,0.31%,0,0.00%,10,3.13%,113,35.31%,0,0.00%,13,4.06%,0,0.00%,0,0.00%,42,13.13%,0,0.00%,0,0.00%,11,3.44%,92,28.75%,2,0.63%,0,0.00%,0,0.00%,320,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000071,,,,0000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,75,"1,925",,Polling,0,0.00%,0,0.00%,4,5.33%,,0,0.00%,1,1.33%,,0,0.00%,0,0.00%,0,0.00%,41,54.67%,0,0.00%,2,2.67%,0,0.00%,0,0.00%,6,8.00%,0,0.00%,0,0.00%,0,0.00%,21,28.00%,0,0.00%,0,0.00%,0,0.00%,75,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,301,"1,925",,Vote by Mail,1,0.34%,0,0.00%,17,5.76%,,0,0.00%,6,2.03%,,1,0.34%,0,0.00%,1,0.34%,120,40.68%,1,0.34%,27,9.15%,0,0.00%,1,0.34%,43,14.58%,0,0.00%,0,0.00%,8,2.71%,66,22.37%,3,1.02%,0,0.00%,0,0.00%,295,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,376,"1,925",,Total,1,0.27%,0,0.00%,21,5.68%,,0,0.00%,7,1.89%,,1,0.27%,0,0.00%,1,0.27%,161,43.51%,1,0.27%,29,7.84%,0,0.00%,1,0.27%,49,13.24%,0,0.00%,0,0.00%,8,2.16%,87,23.51%,3,0.81%,0,0.00%,0,0.00%,370,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000072,,,,0000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,63,"1,989",,Polling,0,0.00%,0,0.00%,3,4.76%,,0,0.00%,0,0.00%,,0,0.00%,1,1.59%,1,1.59%,39,61.90%,0,0.00%,1,1.59%,0,0.00%,0,0.00%,6,9.52%,0,0.00%,0,0.00%,0,0.00%,12,19.05%,0,0.00%,0,0.00%,0,0.00%,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,328,"1,989",,Vote by Mail,0,0.00%,0,0.00%,22,7.01%,,0,0.00%,2,0.64%,,0,0.00%,0,0.00%,5,1.59%,128,40.76%,1,0.32%,16,5.10%,0,0.00%,0,0.00%,41,13.06%,0,0.00%,0,0.00%,14,4.46%,84,26.75%,1,0.32%,0,0.00%,0,0.00%,314,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,391,"1,989",,Total,0,0.00%,0,0.00%,25,6.63%,,0,0.00%,2,0.53%,,0,0.00%,1,0.27%,6,1.59%,167,44.30%,1,0.27%,17,4.51%,0,0.00%,0,0.00%,47,12.47%,0,0.00%,0,0.00%,14,3.71%,96,25.46%,1,0.27%,0,0.00%,0,0.00%,377,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000073,,,,0000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,65,"1,816",,Polling,0,0.00%,0,0.00%,4,6.35%,,0,0.00%,2,3.17%,,0,0.00%,0,0.00%,0,0.00%,20,31.75%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,12.70%,0,0.00%,0,0.00%,1,1.59%,28,44.44%,0,0.00%,0,0.00%,0,0.00%,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,325,"1,816",,Vote by Mail,2,0.66%,0,0.00%,21,6.91%,,0,0.00%,3,0.99%,,0,0.00%,0,0.00%,8,2.63%,93,30.59%,0,0.00%,19,6.25%,0,0.00%,1,0.33%,39,12.83%,0,0.00%,1,0.33%,15,4.93%,102,33.55%,0,0.00%,0,0.00%,0,0.00%,304,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,390,"1,816",,Total,2,0.54%,0,0.00%,25,6.81%,,0,0.00%,5,1.36%,,0,0.00%,0,0.00%,8,2.18%,113,30.79%,0,0.00%,19,5.18%,0,0.00%,1,0.27%,47,12.81%,0,0.00%,1,0.27%,16,4.36%,130,35.42%,0,0.00%,0,0.00%,0,0.00%,367,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000074,,,,0000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,52,"1,453",,Polling,0,0.00%,0,0.00%,1,2.00%,,0,0.00%,2,4.00%,,0,0.00%,0,0.00%,0,0.00%,32,64.00%,0,0.00%,1,2.00%,0,0.00%,0,0.00%,5,10.00%,0,0.00%,0,0.00%,0,0.00%,9,18.00%,0,0.00%,0,0.00%,0,0.00%,50,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,200,"1,453",,Vote by Mail,0,0.00%,0,0.00%,15,7.77%,,0,0.00%,5,2.59%,,0,0.00%,0,0.00%,2,1.04%,70,36.27%,0,0.00%,7,3.63%,0,0.00%,1,0.52%,19,9.84%,0,0.00%,0,0.00%,16,8.29%,57,29.53%,1,0.52%,0,0.00%,0,0.00%,193,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,252,"1,453",,Total,0,0.00%,0,0.00%,16,6.58%,,0,0.00%,7,2.88%,,0,0.00%,0,0.00%,2,0.82%,102,41.98%,0,0.00%,8,3.29%,0,0.00%,1,0.41%,24,9.88%,0,0.00%,0,0.00%,16,6.58%,66,27.16%,1,0.41%,0,0.00%,0,0.00%,243,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000075,,,,0000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,3,165,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,24,165,,Vote by Mail,1,4.35%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,10,43.48%,1,4.35%,2,8.70%,0,0.00%,0,0.00%,3,13.04%,0,0.00%,0,0.00%,1,4.35%,5,21.74%,0,0.00%,0,0.00%,0,0.00%,23,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,27,165,,Total,1,3.85%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,11,42.31%,1,3.85%,2,7.69%,0,0.00%,0,0.00%,4,15.38%,0,0.00%,0,0.00%,1,3.85%,6,23.08%,0,0.00%,0,0.00%,0,0.00%,26,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000076,,,,0000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,14,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,5,14,,Vote by Mail,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,2,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,20.00%,0,0.00%,0,0.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%,0,0.00%,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,5,14,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,2,40.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,20.00%,0,0.00%,0,0.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%,0,0.00%,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000077,,,,0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,73,"3,236",,Polling,0,0.00%,0,0.00%,6,8.33%,,0,0.00%,2,2.78%,,0,0.00%,0,0.00%,0,0.00%,37,51.39%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,4.17%,0,0.00%,0,0.00%,1,1.39%,23,31.94%,0,0.00%,0,0.00%,0,0.00%,72,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,471,"3,236",,Vote by Mail,3,0.66%,1,0.22%,36,7.86%,,1,0.22%,11,2.40%,,0,0.00%,2,0.44%,8,1.75%,165,36.03%,0,0.00%,25,5.46%,0,0.00%,0,0.00%,54,11.79%,0,0.00%,1,0.22%,33,7.21%,110,24.02%,8,1.75%,0,0.00%,0,0.00%,458,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,544,"3,236",,Total,3,0.57%,1,0.19%,42,7.92%,,1,0.19%,13,2.45%,,0,0.00%,2,0.38%,8,1.51%,202,38.11%,0,0.00%,25,4.72%,0,0.00%,0,0.00%,57,10.75%,0,0.00%,1,0.19%,34,6.42%,133,25.09%,8,1.51%,0,0.00%,0,0.00%,530,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000078,,,,0000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,85,"2,438",,Polling,0,0.00%,0,0.00%,9,10.59%,,0,0.00%,1,1.18%,,0,0.00%,0,0.00%,0,0.00%,45,52.94%,0,0.00%,1,1.18%,0,0.00%,0,0.00%,8,9.41%,0,0.00%,0,0.00%,1,1.18%,20,23.53%,0,0.00%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,389,"2,438",,Vote by Mail,1,0.26%,0,0.00%,29,7.67%,,1,0.26%,10,2.65%,,0,0.00%,0,0.00%,11,2.91%,132,34.92%,0,0.00%,17,4.50%,0,0.00%,1,0.26%,46,12.17%,0,0.00%,0,0.00%,17,4.50%,112,29.63%,1,0.26%,0,0.00%,0,0.00%,378,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,474,"2,438",,Total,1,0.22%,0,0.00%,38,8.21%,,1,0.22%,11,2.38%,,0,0.00%,0,0.00%,11,2.38%,177,38.23%,0,0.00%,18,3.89%,0,0.00%,1,0.22%,54,11.66%,0,0.00%,0,0.00%,18,3.89%,132,28.51%,1,0.22%,0,0.00%,0,0.00%,463,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000079,,,,0000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,103,"1,844",,Polling,0,0.00%,0,0.00%,6,5.94%,,0,0.00%,3,2.97%,,0,0.00%,0,0.00%,0,0.00%,57,56.44%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,6.93%,0,0.00%,0,0.00%,0,0.00%,27,26.73%,1,0.99%,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,250,"1,844",,Vote by Mail,1,0.42%,0,0.00%,16,6.72%,,0,0.00%,7,2.94%,,3,1.26%,0,0.00%,5,2.10%,73,30.67%,0,0.00%,25,10.50%,0,0.00%,0,0.00%,23,9.66%,0,0.00%,0,0.00%,11,4.62%,70,29.41%,4,1.68%,0,0.00%,0,0.00%,238,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
