,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,,,,,County Jurisdiction,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes
C08S16A33E1B1BRUUNI0031,37,369,,3,0,C08S16A33E1B1BRUUNI0031,0,0.00%,0,,0.00%,4,11.76%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,2.94%,12,35.29%,0,0.00%,3,8.82%,0,0.00%,0,0.00%,3,8.82%,0,0.00%,0,0.00%,1,2.94%,10,29.41%,0,0.00%,0,0.00%,0,0.00%,34
C08S16A33E1B1BRUUNI0032,0,0,,0,0,C08S16A33E1B1BRUUNI0032,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BRUUNI0033,0,0,,0,0,C08S16A33E1B1BRUUNI0033,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BRUUNI0034,5,34,,****,****,C08S16A33E1B1BRUUNI0034,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1BRUUNI0035,7,53,,0,0,C08S16A33E1B1BRUUNI0035,0,0.00%,0,,0.00%,1,14.29%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,14.29%,0,0.00%,3,42.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,28.57%,0,0.00%,0,0.00%,0,0.00%,7
C08S16A33E1B1BRUUNI0036,7,13,,0,0,C08S16A33E1B1BRUUNI0036,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,71.43%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,14.29%,1,14.29%,0,0.00%,0,0.00%,7
C08S16A33E1B1BRUUNI0037,3,23,,****,****,C08S16A33E1B1BRUUNI0037,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1BRUUNI0038,2,18,,****,****,C08S16A33E1B1BRUUNI0038,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1BRUUNI0039,164,"1,282",,9,0,C08S16A33E1B1BRUUNI0039,1,0.65%,0,,0.00%,8,5.16%,0,,0.00%,1,0.65%,0,0.00%,1,0.65%,1,0.65%,46,29.68%,0,0.00%,18,11.61%,1,0.65%,0,0.00%,12,7.74%,0,0.00%,0,0.00%,3,1.94%,61,39.35%,2,1.29%,0,0.00%,0,0.00%,155
C08S16A33E1B1BRUUNI0040,6,52,,0,0,C08S16A33E1B1BRUUNI0040,0,0.00%,0,,0.00%,2,33.33%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,2,33.33%,0,0.00%,0,0.00%,0,0.00%,6
