,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,,,,,County Jurisdiction,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes
C08S23A33E1B2RWUUNI0517,0,0,,0,0,C08S23A33E1B2RWUUNI0517,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0518,0,0,,0,0,C08S23A33E1B2RWUUNI0518,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0519,31,110,,0,0,C08S23A33E1B2RWUUNI0519,0,0.00%,0,,0.00%,3,9.68%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,2,6.45%,9,29.03%,0,0.00%,1,3.23%,0,0.00%,0,0.00%,4,12.90%,0,0.00%,0,0.00%,3,9.68%,9,29.03%,0,0.00%,0,0.00%,0,0.00%,31
C08S23A33E1B2RWUUNI0520,0,0,,0,0,C08S23A33E1B2RWUUNI0520,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0521,0,0,,0,0,C08S23A33E1B2RWUUNI0521,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0522,0,0,,0,0,C08S23A33E1B2RWUUNI0522,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0523,12,84,,0,0,C08S23A33E1B2RWUUNI0523,0,0.00%,0,,0.00%,1,8.33%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,8.33%,2,16.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,25.00%,0,0.00%,0,0.00%,1,8.33%,4,33.33%,0,0.00%,0,0.00%,0,0.00%,12
C08S23A33E1B2RWUUNI0524,2,21,,****,****,C08S23A33E1B2RWUUNI0524,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S23A33E1B2RWUUNI0525,136,803,,9,0,C08S23A33E1B2RWUUNI0525,0,0.00%,0,,0.00%,14,11.02%,0,,0.00%,1,0.79%,0,0.00%,0,0.00%,4,3.15%,36,28.35%,0,0.00%,5,3.94%,1,0.79%,0,0.00%,12,9.45%,0,0.00%,0,0.00%,6,4.72%,48,37.80%,0,0.00%,0,0.00%,0,0.00%,127
C08S23A33E1B2RWUUNI0526,14,66,,0,0,C08S23A33E1B2RWUUNI0526,0,0.00%,0,,0.00%,2,14.29%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,2,14.29%,5,35.71%,0,0.00%,2,14.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,7.14%,2,14.29%,0,0.00%,0,0.00%,0,0.00%,14
C08S23A33E1B2RWUUNI0527,10,70,,4,0,C08S23A33E1B2RWUUNI0527,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,50.00%,0,0.00%,0,0.00%,0,0.00%,6
C08S23A33E1B2RWUUNI0528,0,0,,0,0,C08S23A33E1B2RWUUNI0528,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0529,17,40,,0,0,C08S23A33E1B2RWUUNI0529,0,0.00%,0,,0.00%,3,17.65%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,41.18%,0,0.00%,2,11.76%,0,0.00%,0,0.00%,1,5.88%,0,0.00%,0,0.00%,1,5.88%,3,17.65%,0,0.00%,0,0.00%,0,0.00%,17
C08S23A33E1B2RWUUNI0530,320,"1,600",,10,0,C08S23A33E1B2RWUUNI0530,0,0.00%,0,,0.00%,44,14.19%,0,,0.00%,4,1.29%,0,0.00%,0,0.00%,10,3.23%,66,21.29%,0,0.00%,5,1.61%,0,0.00%,1,0.32%,44,14.19%,0,0.00%,0,0.00%,25,8.06%,106,34.19%,5,1.61%,0,0.00%,0,0.00%,310
C08S23A33E1B2RWUUNI0531,54,290,,3,0,C08S23A33E1B2RWUUNI0531,0,0.00%,0,,0.00%,4,7.84%,0,,0.00%,2,3.92%,0,0.00%,0,0.00%,1,1.96%,20,39.22%,0,0.00%,2,3.92%,0,0.00%,0,0.00%,2,3.92%,0,0.00%,0,0.00%,7,13.73%,13,25.49%,0,0.00%,0,0.00%,0,0.00%,51
C08S23A33E1B2RWUUNI0532,264,"1,422",,7,0,C08S23A33E1B2RWUUNI0532,0,0.00%,0,,0.00%,23,8.95%,0,,0.00%,1,0.39%,0,0.00%,0,0.00%,11,4.28%,49,19.07%,0,0.00%,12,4.67%,0,0.00%,0,0.00%,26,10.12%,0,0.00%,1,0.39%,27,10.51%,103,40.08%,3,1.17%,1,0.39%,0,0.00%,257
C08S23A33E1B2RWUUNI0533,92,412,,3,0,C08S23A33E1B2RWUUNI0533,0,0.00%,0,,0.00%,12,13.48%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,6,6.74%,21,23.60%,0,0.00%,2,2.25%,0,0.00%,1,1.12%,9,10.11%,0,0.00%,0,0.00%,8,8.99%,30,33.71%,0,0.00%,0,0.00%,0,0.00%,89
C08S23A33E1B2RWUUNI0534,55,299,,1,0,C08S23A33E1B2RWUUNI0534,0,0.00%,0,,0.00%,8,14.81%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21,38.89%,0,0.00%,1,1.85%,0,0.00%,0,0.00%,6,11.11%,0,0.00%,0,0.00%,4,7.41%,14,25.93%,0,0.00%,0,0.00%,0,0.00%,54
C08S23A33E1B2RWUUNI0535,0,2,,0,0,C08S23A33E1B2RWUUNI0535,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0536,155,652,,5,0,C08S23A33E1B2RWUUNI0536,0,0.00%,0,,0.00%,16,10.67%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,6,4.00%,45,30.00%,0,0.00%,4,2.67%,0,0.00%,1,0.67%,8,5.33%,0,0.00%,0,0.00%,12,8.00%,57,38.00%,1,0.67%,0,0.00%,0,0.00%,150
C08S23A33E1B2RWUUNI0537,5,60,,****,****,C08S23A33E1B2RWUUNI0537,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S23A33E1B2RWUUNI0538,0,0,,0,0,C08S23A33E1B2RWUUNI0538,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0539,0,0,,0,0,C08S23A33E1B2RWUUNI0539,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0540,0,0,,0,0,C08S23A33E1B2RWUUNI0540,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0541,1,5,,****,****,C08S23A33E1B2RWUUNI0541,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S23A33E1B2RWUUNI0542,0,0,,0,0,C08S23A33E1B2RWUUNI0542,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0543,119,727,,5,0,C08S23A33E1B2RWUUNI0543,0,0.00%,0,,0.00%,9,7.89%,0,,0.00%,1,0.88%,0,0.00%,0,0.00%,1,0.88%,48,42.11%,0,0.00%,5,4.39%,0,0.00%,0,0.00%,10,8.77%,0,0.00%,0,0.00%,4,3.51%,36,31.58%,0,0.00%,0,0.00%,0,0.00%,114
C08S23A33E1B2RWUUNI0544,39,230,,0,0,C08S23A33E1B2RWUUNI0544,0,0.00%,0,,0.00%,3,7.69%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,2,5.13%,11,28.21%,0,0.00%,3,7.69%,0,0.00%,0,0.00%,5,12.82%,0,0.00%,0,0.00%,5,12.82%,9,23.08%,1,2.56%,0,0.00%,0,0.00%,39
C08S23A33E1B2RWUUNI0545,8,23,,0,0,C08S23A33E1B2RWUUNI0545,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,87.50%,0,0.00%,0,0.00%,0,0.00%,1,12.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8
C08S23A33E1B2RWUUNI0546,0,1,,0,0,C08S23A33E1B2RWUUNI0546,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0547,1,1,,****,****,C08S23A33E1B2RWUUNI0547,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S23A33E1B2RWUUNI0548,0,0,,0,0,C08S23A33E1B2RWUUNI0548,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0549,122,674,,2,0,C08S23A33E1B2RWUUNI0549,0,0.00%,0,,0.00%,16,13.33%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.83%,43,35.83%,0,0.00%,2,1.67%,0,0.00%,0,0.00%,10,8.33%,0,0.00%,0,0.00%,4,3.33%,44,36.67%,0,0.00%,0,0.00%,0,0.00%,120
C08S23A33E1B2RWUUNI0550,3,5,,****,****,C08S23A33E1B2RWUUNI0550,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S23A33E1B2RWUUNI0551,0,2,,0,0,C08S23A33E1B2RWUUNI0551,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0552,11,61,,0,0,C08S23A33E1B2RWUUNI0552,0,0.00%,0,,0.00%,1,9.09%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,9.09%,4,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,45.45%,0,0.00%,0,0.00%,0,0.00%,11
C08S23A33E1B2RWUUNI0553,0,4,,0,0,C08S23A33E1B2RWUUNI0553,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0554,6,89,,0,0,C08S23A33E1B2RWUUNI0554,0,0.00%,0,,0.00%,2,33.33%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,33.33%,0,0.00%,0,0.00%,0,0.00%,6
C08S23A33E1B2RWUUNI0555,0,5,,0,0,C08S23A33E1B2RWUUNI0555,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0556,0,0,,0,0,C08S23A33E1B2RWUUNI0556,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0557,0,0,,0,0,C08S23A33E1B2RWUUNI0557,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0558,234,"1,084",,12,0,C08S23A33E1B2RWUUNI0558,0,0.00%,0,,0.00%,30,13.51%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,5,2.25%,91,40.99%,0,0.00%,6,2.70%,1,0.45%,0,0.00%,20,9.01%,0,0.00%,0,0.00%,11,4.95%,58,26.13%,0,0.00%,0,0.00%,0,0.00%,222
C08S23A33E1B2RWUUNI0559,237,"1,192",,10,0,C08S23A33E1B2RWUUNI0559,0,0.00%,0,,0.00%,20,8.81%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.88%,80,35.24%,0,0.00%,6,2.64%,0,0.00%,1,0.44%,34,14.98%,0,0.00%,0,0.00%,18,7.93%,59,25.99%,5,2.20%,2,0.88%,0,0.00%,227
C08S23A33E1B2RWUUNI0560,252,"1,123",,7,1,C08S23A33E1B2RWUUNI0560,0,0.00%,1,,0.41%,33,13.52%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,9,3.69%,75,30.74%,0,0.00%,7,2.87%,0,0.00%,1,0.41%,18,7.38%,0,0.00%,0,0.00%,12,4.92%,86,35.25%,2,0.82%,0,0.00%,0,0.00%,244
C08S23A33E1B2RWUUNI0561,1,8,,****,****,C08S23A33E1B2RWUUNI0561,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S23A33E1B2RWUUNI0562,12,75,,0,0,C08S23A33E1B2RWUUNI0562,0,0.00%,0,,0.00%,1,8.33%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,25.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,16.67%,6,50.00%,0,0.00%,0,0.00%,0,0.00%,12
C08S23A33E1B2RWUUNI0563,0,1,,0,0,C08S23A33E1B2RWUUNI0563,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2RWUUNI0564,6,30,,0,0,C08S23A33E1B2RWUUNI0564,0,0.00%,0,,0.00%,1,16.67%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,50.00%,0,0.00%,0,0.00%,0,0.00%,6
C08S23A33E1B2RWUUNI0565,29,128,,1,0,C08S23A33E1B2RWUUNI0565,0,0.00%,0,,0.00%,3,10.71%,0,,0.00%,2,7.14%,0,0.00%,0,0.00%,1,3.57%,9,32.14%,0,0.00%,2,7.14%,0,0.00%,0,0.00%,2,7.14%,0,0.00%,0,0.00%,1,3.57%,8,28.57%,0,0.00%,0,0.00%,0,0.00%,28
C08S23A33E1B2RWUUNI0566,0,0,,0,0,C08S23A33E1B2RWUUNI0566,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2SBUUNI0567,0,0,,0,0,C08S23A33E1B2SBUUNI0567,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2SBUUNI0568,0,0,,0,0,C08S23A33E1B2SBUUNI0568,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B2SBUUNI0569,0,0,,0,0,C08S23A33E1B2SBUUNI0569,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3AVUUNI0570,0,0,,0,0,C08S23A33E1B3AVUUNI0570,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3AVUUNI0571,0,0,,0,0,C08S23A33E1B3AVUUNI0571,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUBB40572,57,265,,2,0,C08S23A33E1B3BVUBB40572,0,0.00%,0,,0.00%,6,10.91%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1.82%,18,32.73%,0,0.00%,2,3.64%,0,0.00%,0,0.00%,11,20.00%,0,0.00%,0,0.00%,3,5.45%,14,25.45%,0,0.00%,0,0.00%,0,0.00%,55
C08S23A33E1B3BVUBB40573,57,312,,1,0,C08S23A33E1B3BVUBB40573,0,0.00%,0,,0.00%,5,8.93%,2,,3.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,21.43%,0,0.00%,4,7.14%,0,0.00%,1,1.79%,12,21.43%,0,0.00%,0,0.00%,2,3.57%,18,32.14%,0,0.00%,0,0.00%,0,0.00%,56
C08S23A33E1B3BVUBB10574,76,436,,2,0,C08S23A33E1B3BVUBB10574,0,0.00%,0,,0.00%,6,8.11%,0,,0.00%,1,1.35%,0,0.00%,0,0.00%,7,9.46%,12,16.22%,0,0.00%,3,4.05%,0,0.00%,0,0.00%,10,13.51%,0,0.00%,0,0.00%,9,12.16%,26,35.14%,0,0.00%,0,0.00%,0,0.00%,74
C08S23A33E1B3BVUBB50575,99,607,,1,0,C08S23A33E1B3BVUBB50575,0,0.00%,0,,0.00%,9,9.18%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,4,4.08%,17,17.35%,0,0.00%,4,4.08%,0,0.00%,0,0.00%,21,21.43%,0,0.00%,0,0.00%,5,5.10%,37,37.76%,0,0.00%,1,1.02%,0,0.00%,98
C08S23A33E1B3BVUBB10576,0,0,,0,0,C08S23A33E1B3BVUBB10576,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0577,87,382,,2,0,C08S23A33E1B3BVUUNI0577,0,0.00%,0,,0.00%,17,20.00%,0,,0.00%,0,0.00%,1,1.18%,0,0.00%,1,1.18%,24,28.24%,0,0.00%,4,4.71%,0,0.00%,0,0.00%,3,3.53%,0,0.00%,1,1.18%,7,8.24%,27,31.76%,0,0.00%,0,0.00%,0,0.00%,85
C08S23A33E1B3BVUUNI0578,0,0,,0,0,C08S23A33E1B3BVUUNI0578,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0579,0,0,,0,0,C08S23A33E1B3BVUUNI0579,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0580,0,0,,0,0,C08S23A33E1B3BVUUNI0580,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0581,0,0,,0,0,C08S23A33E1B3BVUUNI0581,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0582,17,83,,0,0,C08S23A33E1B3BVUUNI0582,0,0.00%,0,,0.00%,1,5.88%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,5.88%,4,23.53%,0,0.00%,0,0.00%,0,0.00%,1,5.88%,2,11.76%,0,0.00%,0,0.00%,0,0.00%,8,47.06%,0,0.00%,0,0.00%,0,0.00%,17
C08S23A33E1B3BVUUNI0583,0,0,,0,0,C08S23A33E1B3BVUUNI0583,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0584,0,4,,0,0,C08S23A33E1B3BVUUNI0584,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0585,160,951,,7,0,C08S23A33E1B3BVUUNI0585,0,0.00%,0,,0.00%,18,11.76%,0,,0.00%,1,0.65%,0,0.00%,0,0.00%,4,2.61%,48,31.37%,0,0.00%,2,1.31%,0,0.00%,0,0.00%,16,10.46%,1,0.65%,0,0.00%,13,8.50%,49,32.03%,1,0.65%,0,0.00%,0,0.00%,153
C08S23A33E1B3BVUUNI0586,28,125,,0,0,C08S23A33E1B3BVUUNI0586,0,0.00%,0,,0.00%,3,10.71%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,3.57%,8,28.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,17.86%,0,0.00%,0,0.00%,0,0.00%,11,39.29%,0,0.00%,0,0.00%,0,0.00%,28
C08S23A33E1B3BVUUNI0587,304,"1,775",,15,0,C08S23A33E1B3BVUUNI0587,0,0.00%,0,,0.00%,32,11.07%,0,,0.00%,0,0.00%,1,0.35%,0,0.00%,11,3.81%,106,36.68%,0,0.00%,6,2.08%,0,0.00%,0,0.00%,28,9.69%,0,0.00%,0,0.00%,15,5.19%,88,30.45%,2,0.69%,0,0.00%,0,0.00%,289
C08S23A33E1B3BVUUNI0588,146,877,,6,0,C08S23A33E1B3BVUUNI0588,1,0.71%,0,,0.00%,14,10.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,3,2.14%,37,26.43%,0,0.00%,6,4.29%,1,0.71%,0,0.00%,12,8.57%,1,0.71%,0,0.00%,14,10.00%,50,35.71%,1,0.71%,0,0.00%,0,0.00%,140
C08S23A33E1B3BVUUNI0589,201,"1,325",,13,0,C08S23A33E1B3BVUUNI0589,0,0.00%,2,,1.06%,18,9.57%,0,,0.00%,1,0.53%,0,0.00%,0,0.00%,6,3.19%,49,26.06%,0,0.00%,10,5.32%,0,0.00%,0,0.00%,22,11.70%,0,0.00%,0,0.00%,12,6.38%,66,35.11%,1,0.53%,1,0.53%,0,0.00%,188
C08S23A33E1B3BVUUNI0590,123,602,,3,0,C08S23A33E1B3BVUUNI0590,0,0.00%,0,,0.00%,18,15.00%,0,,0.00%,0,0.00%,1,0.83%,0,0.00%,3,2.50%,49,40.83%,0,0.00%,2,1.67%,0,0.00%,0,0.00%,11,9.17%,0,0.00%,0,0.00%,3,2.50%,33,27.50%,0,0.00%,0,0.00%,0,0.00%,120
C08S23A33E1B3BVUUNI0591,0,0,,0,0,C08S23A33E1B3BVUUNI0591,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0592,0,0,,0,0,C08S23A33E1B3BVUUNI0592,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0593,0,0,,0,0,C08S23A33E1B3BVUUNI0593,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0594,54,315,,3,0,C08S23A33E1B3BVUUNI0594,0,0.00%,0,,0.00%,12,23.53%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,3,5.88%,10,19.61%,0,0.00%,2,3.92%,0,0.00%,0,0.00%,6,11.76%,0,0.00%,0,0.00%,6,11.76%,12,23.53%,0,0.00%,0,0.00%,0,0.00%,51
C08S16A33E1B3LVUUNI0595,0,0,,0,0,C08S16A33E1B3LVUUNI0595,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B3LVUUNI0596,0,0,,0,0,C08S16A33E1B3LVUUNI0596,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0597,0,0,,0,0,C08S23A33E1B3BVUUNI0597,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0598,0,11,,0,0,C08S23A33E1B3BVUUNI0598,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3BVUUNI0599,0,0,,0,0,C08S23A33E1B3BVUUNI0599,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3LVUUNI0600,0,0,,0,0,C08S23A33E1B3LVUUNI0600,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3LVUUNI0601,0,0,,0,0,C08S23A33E1B3LVUUNI0601,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3LVUUNI0602,0,0,,0,0,C08S23A33E1B3LVUUNI0602,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3LVUUNI0603,0,1,,0,0,C08S23A33E1B3LVUUNI0603,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3RDUHI50604,0,0,,0,0,C08S23A33E1B3RDUHI50604,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S23A33E1B3RDUUNI0605,0,0,,0,0,C08S23A33E1B3RDUUNI0605,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
