Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Pct 7826,,,,Pct 7826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,78,32.10%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.41%,87,35.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,7.00%,0,0.00%,0,0.00%,14,5.76%,45,18.52%,1,0.41%,0,0.00%,0,0.00%,243,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,72,32.43%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,74,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,4.50%,0,0.00%,0,0.00%,1,0.45%,65,29.28%,0,0.00%,0,0.00%,0,0.00%,222,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,150,32.26%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.22%,161,34.62%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,27,5.81%,0,0.00%,0,0.00%,15,3.23%,110,23.66%,1,0.22%,0,0.00%,0,0.00%,465,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7827,,,,Pct 7827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,97,33.22%,,1,0.34%,1,0.34%,,0,0.00%,0,0.00%,3,1.03%,109,37.33%,0,0.00%,3,1.03%,0,0.00%,0,0.00%,20,6.85%,0,0.00%,0,0.00%,8,2.74%,50,17.12%,0,0.00%,0,0.00%,0,0.00%,292,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,53,24.77%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,114,53.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,3.27%,0,0.00%,0,0.00%,0,0.00%,39,18.22%,1,0.47%,0,0.00%,0,0.00%,214,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,150,29.64%,,1,0.20%,1,0.20%,,0,0.00%,0,0.00%,3,0.59%,223,44.07%,0,0.00%,3,0.59%,0,0.00%,0,0.00%,27,5.34%,0,0.00%,0,0.00%,8,1.58%,89,17.59%,1,0.20%,0,0.00%,0,0.00%,506,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7828,,,,Pct 7828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,98,22.90%,,0,0.00%,3,0.70%,,1,0.23%,0,0.00%,7,1.64%,107,25.00%,0,0.00%,4,0.93%,0,0.00%,0,0.00%,42,9.81%,0,0.00%,0,0.00%,76,17.76%,90,21.03%,0,0.00%,0,0.00%,0,0.00%,428,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,58,24.79%,,0,0.00%,4,1.71%,,0,0.00%,0,0.00%,0,0.00%,78,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,4.27%,0,0.00%,0,0.00%,1,0.43%,83,35.47%,0,0.00%,0,0.00%,0,0.00%,234,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,156,23.56%,,0,0.00%,7,1.06%,,1,0.15%,0,0.00%,7,1.06%,185,27.95%,0,0.00%,4,0.60%,0,0.00%,0,0.00%,52,7.85%,0,0.00%,0,0.00%,77,11.63%,173,26.13%,0,0.00%,0,0.00%,0,0.00%,662,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7829,,,,Pct 7829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,121,28.81%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,2.62%,71,16.90%,0,0.00%,2,0.48%,0,0.00%,0,0.00%,63,15.00%,0,0.00%,1,0.24%,61,14.52%,88,20.95%,2,0.48%,0,0.00%,0,0.00%,420,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,55,27.50%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,61,30.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,4.00%,0,0.00%,0,0.00%,1,0.50%,75,37.50%,0,0.00%,0,0.00%,0,0.00%,200,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,176,28.39%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,1.77%,132,21.29%,0,0.00%,2,0.32%,0,0.00%,0,0.00%,71,11.45%,0,0.00%,1,0.16%,62,10.00%,163,26.29%,2,0.32%,0,0.00%,0,0.00%,620,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7831,,,,Pct 7831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,1,,Vote by Mail,0,0.00%,0,0.00%,132,29.27%,,0,0.00%,1,0.22%,,0,0.00%,0,0.00%,9,2.00%,89,19.73%,0,0.00%,1,0.22%,0,0.00%,0,0.00%,31,6.87%,0,0.00%,0,0.00%,73,16.19%,114,25.28%,1,0.22%,0,0.00%,0,0.00%,451,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,58,28.57%,,0,0.00%,1,0.49%,,0,0.00%,0,0.00%,0,0.00%,48,23.65%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,4.93%,0,0.00%,0,0.00%,2,0.99%,81,39.90%,3,1.48%,0,0.00%,0,0.00%,203,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,1,,Total,0,0.00%,0,0.00%,190,29.05%,,0,0.00%,2,0.31%,,0,0.00%,0,0.00%,9,1.38%,137,20.95%,0,0.00%,1,0.15%,0,0.00%,0,0.00%,41,6.27%,0,0.00%,0,0.00%,75,11.47%,195,29.82%,4,0.61%,0,0.00%,0,0.00%,654,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7832,,,,Pct 7832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,109,30.11%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,9,2.49%,86,23.76%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,39,10.77%,0,0.00%,0,0.00%,58,16.02%,61,16.85%,0,0.00%,0,0.00%,0,0.00%,362,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,55,33.95%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,34,20.99%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,10.49%,0,0.00%,0,0.00%,0,0.00%,55,33.95%,1,0.62%,0,0.00%,0,0.00%,162,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,164,31.30%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,9,1.72%,120,22.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,56,10.69%,0,0.00%,0,0.00%,58,11.07%,116,22.14%,1,0.19%,0,0.00%,0,0.00%,524,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7833,,,,Pct 7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,110,33.95%,,0,0.00%,1,0.31%,,0,0.00%,0,0.00%,11,3.40%,94,29.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,22,6.79%,0,0.00%,0,0.00%,28,8.64%,57,17.59%,1,0.31%,0,0.00%,0,0.00%,324,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,51,26.98%,,0,0.00%,1,0.53%,,0,0.00%,0,0.00%,1,0.53%,70,37.04%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,6.88%,0,0.00%,0,0.00%,1,0.53%,52,27.51%,0,0.00%,0,0.00%,0,0.00%,189,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,161,31.38%,,0,0.00%,2,0.39%,,0,0.00%,0,0.00%,12,2.34%,164,31.97%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,35,6.82%,0,0.00%,0,0.00%,29,5.65%,109,21.25%,1,0.19%,0,0.00%,0,0.00%,513,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7834,,,,Pct 7834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,118,33.71%,,0,0.00%,5,1.43%,,0,0.00%,0,0.00%,5,1.43%,103,29.43%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,39,11.14%,0,0.00%,0,0.00%,14,4.00%,65,18.57%,1,0.29%,0,0.00%,0,0.00%,350,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,2,0.81%,0,0.00%,75,30.36%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,100,40.49%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,6.48%,0,0.00%,0,0.00%,0,0.00%,54,21.86%,0,0.00%,0,0.00%,0,0.00%,247,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,2,0.34%,0,0.00%,193,32.33%,,0,0.00%,5,0.84%,,0,0.00%,0,0.00%,5,0.84%,203,34.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,55,9.21%,0,0.00%,0,0.00%,14,2.35%,119,19.93%,1,0.17%,0,0.00%,0,0.00%,597,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7835,,,,Pct 7835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,1,,Vote by Mail,0,0.00%,0,0.00%,82,22.53%,,0,0.00%,1,0.27%,,0,0.00%,0,0.00%,11,3.02%,105,28.85%,0,0.00%,3,0.82%,0,0.00%,0,0.00%,42,11.54%,0,0.00%,1,0.27%,48,13.19%,71,19.51%,0,0.00%,0,0.00%,0,0.00%,364,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,40,20.41%,,0,0.00%,1,0.51%,,0,0.00%,0,0.00%,0,0.00%,78,39.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,6.12%,0,0.00%,0,0.00%,1,0.51%,61,31.12%,3,1.53%,0,0.00%,0,0.00%,196,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,1,,Total,0,0.00%,0,0.00%,122,21.79%,,0,0.00%,2,0.36%,,0,0.00%,0,0.00%,11,1.96%,183,32.68%,0,0.00%,3,0.54%,0,0.00%,0,0.00%,54,9.64%,0,0.00%,1,0.18%,49,8.75%,132,23.57%,3,0.54%,0,0.00%,0,0.00%,560,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7836,,,,Pct 7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,1,,Vote by Mail,0,0.00%,0,0.00%,83,19.21%,,0,0.00%,1,0.23%,,0,0.00%,0,0.00%,11,2.55%,117,27.08%,0,0.00%,6,1.39%,0,0.00%,0,0.00%,61,14.12%,0,0.00%,1,0.23%,56,12.96%,95,21.99%,1,0.23%,0,0.00%,0,0.00%,432,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,52,23.64%,,1,0.45%,0,0.00%,,0,0.00%,0,0.00%,1,0.45%,82,37.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,5.00%,0,0.00%,0,0.00%,0,0.00%,72,32.73%,1,0.45%,0,0.00%,0,0.00%,220,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,1,,Total,0,0.00%,0,0.00%,135,20.71%,,1,0.15%,1,0.15%,,0,0.00%,0,0.00%,12,1.84%,199,30.52%,0,0.00%,6,0.92%,0,0.00%,0,0.00%,72,11.04%,0,0.00%,1,0.15%,56,8.59%,167,25.61%,2,0.31%,0,0.00%,0,0.00%,652,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7837,,,,Pct 7837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,119,30.28%,,0,0.00%,5,1.27%,,0,0.00%,0,0.00%,17,4.33%,70,17.81%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,48,12.21%,0,0.00%,0,0.00%,42,10.69%,90,22.90%,2,0.51%,0,0.00%,0,0.00%,393,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,77,31.05%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,60,24.19%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,5.24%,0,0.00%,0,0.00%,0,0.00%,98,39.52%,0,0.00%,0,0.00%,0,0.00%,248,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,196,30.58%,,0,0.00%,5,0.78%,,0,0.00%,0,0.00%,17,2.65%,130,20.28%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,61,9.52%,0,0.00%,0,0.00%,42,6.55%,188,29.33%,2,0.31%,0,0.00%,0,0.00%,641,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7838,,,,Pct 7838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,128,28.57%,,0,0.00%,3,0.67%,,0,0.00%,0,0.00%,15,3.35%,82,18.30%,0,0.00%,2,0.45%,0,0.00%,0,0.00%,68,15.18%,0,0.00%,1,0.22%,38,8.48%,111,24.78%,0,0.00%,0,0.00%,0,0.00%,448,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,68,32.85%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,50,24.15%,0,0.00%,1,0.48%,0,0.00%,0,0.00%,16,7.73%,0,0.00%,0,0.00%,2,0.97%,69,33.33%,0,0.00%,1,0.48%,0,0.00%,207,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,196,29.92%,,0,0.00%,3,0.46%,,0,0.00%,0,0.00%,15,2.29%,132,20.15%,0,0.00%,3,0.46%,0,0.00%,0,0.00%,84,12.82%,0,0.00%,1,0.15%,40,6.11%,180,27.48%,0,0.00%,1,0.15%,0,0.00%,655,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7839,,,,Pct 7839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,104,25.62%,,0,0.00%,2,0.49%,,0,0.00%,0,0.00%,10,2.46%,86,21.18%,0,0.00%,1,0.25%,0,0.00%,0,0.00%,63,15.52%,0,0.00%,0,0.00%,47,11.58%,92,22.66%,1,0.25%,0,0.00%,0,0.00%,406,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,52,27.08%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,44,22.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,24,12.50%,0,0.00%,0,0.00%,5,2.60%,67,34.90%,0,0.00%,0,0.00%,0,0.00%,192,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,0,,Total,0,0.00%,0,0.00%,156,26.09%,,0,0.00%,2,0.33%,,0,0.00%,0,0.00%,10,1.67%,130,21.74%,0,0.00%,1,0.17%,0,0.00%,0,0.00%,87,14.55%,0,0.00%,0,0.00%,52,8.70%,159,26.59%,1,0.17%,0,0.00%,0,0.00%,598,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7841,,,,Pct 7841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,147,35.42%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,13,3.13%,92,22.17%,0,0.00%,4,0.96%,0,0.00%,0,0.00%,35,8.43%,0,0.00%,0,0.00%,36,8.67%,88,21.20%,0,0.00%,0,0.00%,0,0.00%,415,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,1,,Election Day,0,0.00%,0,0.00%,74,28.91%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,79,30.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,6.64%,0,0.00%,1,0.39%,1,0.39%,84,32.81%,0,0.00%,0,0.00%,0,0.00%,256,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,1,,Total,0,0.00%,0,0.00%,221,32.94%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,13,1.94%,171,25.48%,0,0.00%,4,0.60%,0,0.00%,0,0.00%,52,7.75%,0,0.00%,1,0.15%,37,5.51%,172,25.63%,0,0.00%,0,0.00%,0,0.00%,671,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7842,,,,Pct 7842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,134,37.33%,,0,0.00%,1,0.28%,,0,0.00%,0,0.00%,2,0.56%,131,36.49%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,20,5.57%,0,0.00%,0,0.00%,14,3.90%,53,14.76%,4,1.11%,0,0.00%,0,0.00%,359,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,3,0,,Election Day,0,0.00%,0,0.00%,62,26.84%,,0,0.00%,1,0.43%,,0,0.00%,0,0.00%,0,0.00%,86,37.23%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,7.36%,0,0.00%,0,0.00%,1,0.43%,63,27.27%,1,0.43%,0,0.00%,0,0.00%,231,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,196,33.22%,,0,0.00%,2,0.34%,,0,0.00%,0,0.00%,2,0.34%,217,36.78%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,37,6.27%,0,0.00%,0,0.00%,15,2.54%,116,19.66%,5,0.85%,0,0.00%,0,0.00%,590,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7843,,,,Pct 7843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,71,26.20%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,5,1.85%,102,37.64%,0,0.00%,3,1.11%,0,0.00%,0,0.00%,27,9.96%,0,0.00%,0,0.00%,11,4.06%,52,19.19%,0,0.00%,0,0.00%,0,0.00%,271,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,67,31.75%,,1,0.47%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,87,41.23%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,4.74%,0,0.00%,0,0.00%,1,0.47%,45,21.33%,0,0.00%,0,0.00%,0,0.00%,211,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,0,,Total,0,0.00%,0,0.00%,138,28.63%,,1,0.21%,0,0.00%,,0,0.00%,0,0.00%,5,1.04%,189,39.21%,0,0.00%,3,0.62%,0,0.00%,0,0.00%,37,7.68%,0,0.00%,0,0.00%,12,2.49%,97,20.12%,0,0.00%,0,0.00%,0,0.00%,482,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7844,,,,Pct 7844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,77,30.43%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,6,2.37%,101,39.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,5.93%,0,0.00%,0,0.00%,7,2.77%,46,18.18%,1,0.40%,0,0.00%,0,0.00%,253,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,62,34.25%,,0,0.00%,1,0.55%,,0,0.00%,0,0.00%,0,0.00%,70,38.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,6.08%,0,0.00%,0,0.00%,0,0.00%,37,20.44%,0,0.00%,0,0.00%,0,0.00%,181,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,139,32.03%,,0,0.00%,1,0.23%,,0,0.00%,0,0.00%,6,1.38%,171,39.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,26,5.99%,0,0.00%,0,0.00%,7,1.61%,83,19.12%,1,0.23%,0,0.00%,0,0.00%,434,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7845,,,,Pct 7845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,1,0.27%,0,0.00%,113,30.29%,,0,0.00%,3,0.80%,,0,0.00%,0,0.00%,15,4.02%,71,19.03%,0,0.00%,1,0.27%,0,0.00%,0,0.00%,50,13.40%,1,0.27%,0,0.00%,31,8.31%,86,23.06%,1,0.27%,0,0.00%,0,0.00%,373,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,52,23.85%,,0,0.00%,0,0.00%,,1,0.46%,0,0.00%,0,0.00%,51,23.39%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,25,11.47%,0,0.00%,0,0.00%,1,0.46%,87,39.91%,1,0.46%,0,0.00%,0,0.00%,218,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,0,,Total,1,0.17%,0,0.00%,165,27.92%,,0,0.00%,3,0.51%,,1,0.17%,0,0.00%,15,2.54%,122,20.64%,0,0.00%,1,0.17%,0,0.00%,0,0.00%,75,12.69%,1,0.17%,0,0.00%,32,5.41%,173,29.27%,2,0.34%,0,0.00%,0,0.00%,591,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7846,,,,Pct 7846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,114,27.60%,,0,0.00%,2,0.48%,,0,0.00%,0,0.00%,13,3.15%,103,24.94%,0,0.00%,3,0.73%,0,0.00%,0,0.00%,51,12.35%,0,0.00%,0,0.00%,28,6.78%,99,23.97%,0,0.00%,0,0.00%,0,0.00%,413,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,68,30.36%,,0,0.00%,0,0.00%,,0,0.00%,1,0.45%,0,0.00%,65,29.02%,0,0.00%,1,0.45%,0,0.00%,0,0.00%,16,7.14%,0,0.00%,0,0.00%,1,0.45%,72,32.14%,0,0.00%,0,0.00%,0,0.00%,224,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
