Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,12,11.88%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,59,58.42%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,6.93%,0,0.00%,0,0.00%,0,0.00%,23,22.77%,0,0.00%,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,45,15.46%,,1,0.34%,1,0.34%,,0,0.00%,0,0.00%,0,0.00%,137,47.08%,0,0.00%,7,2.41%,0,0.00%,0,0.00%,43,14.78%,0,0.00%,0,0.00%,3,1.03%,52,17.87%,2,0.69%,0,0.00%,0,0.00%,291,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1114,,,,Pct 1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,7,1,,Vote by Mail,1,0.45%,1,0.45%,37,16.59%,,0,0.00%,2,0.90%,,0,0.00%,0,0.00%,5,2.24%,106,47.53%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,30,13.45%,0,0.00%,0,0.00%,8,3.59%,33,14.80%,0,0.00%,0,0.00%,0,0.00%,223,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,1,,Election Day,0,0.00%,0,0.00%,22,14.86%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,80,54.05%,0,0.00%,1,0.68%,0,0.00%,0,0.00%,14,9.46%,0,0.00%,0,0.00%,0,0.00%,31,20.95%,0,0.00%,0,0.00%,0,0.00%,148,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,7,2,,Total,1,0.27%,1,0.27%,59,15.90%,,0,0.00%,2,0.54%,,0,0.00%,0,0.00%,5,1.35%,186,50.13%,0,0.00%,1,0.27%,0,0.00%,0,0.00%,44,11.86%,0,0.00%,0,0.00%,8,2.16%,64,17.25%,0,0.00%,0,0.00%,0,0.00%,371,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1115,,,,Pct 1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,5,1,,Vote by Mail,1,0.46%,0,0.00%,29,13.43%,,1,0.46%,6,2.78%,,0,0.00%,0,0.00%,1,0.46%,91,42.13%,0,0.00%,1,0.46%,1,0.46%,0,0.00%,35,16.20%,0,0.00%,0,0.00%,5,2.31%,45,20.83%,0,0.00%,0,0.00%,0,0.00%,216,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,1,,Election Day,0,0.00%,0,0.00%,14,11.02%,,0,0.00%,0,0.00%,,0,0.00%,1,0.79%,0,0.00%,77,60.63%,0,0.00%,1,0.79%,0,0.00%,0,0.00%,5,3.94%,0,0.00%,0,0.00%,0,0.00%,29,22.83%,0,0.00%,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,2,,Total,1,0.29%,0,0.00%,43,12.54%,,1,0.29%,6,1.75%,,0,0.00%,1,0.29%,1,0.29%,168,48.98%,0,0.00%,2,0.58%,1,0.29%,0,0.00%,40,11.66%,0,0.00%,0,0.00%,5,1.46%,74,21.57%,0,0.00%,0,0.00%,0,0.00%,343,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1116,,,,Pct 1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,23,10.22%,,0,0.00%,10,4.44%,,0,0.00%,0,0.00%,1,0.44%,93,41.33%,0,0.00%,3,1.33%,0,0.00%,0,0.00%,27,12.00%,0,0.00%,0,0.00%,7,3.11%,58,25.78%,3,1.33%,0,0.00%,0,0.00%,225,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,1,,Election Day,1,0.56%,0,0.00%,22,12.22%,,0,0.00%,0,0.00%,,0,0.00%,1,0.56%,0,0.00%,105,58.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,4.44%,0,0.00%,0,0.00%,0,0.00%,43,23.89%,0,0.00%,0,0.00%,0,0.00%,180,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,1,,Total,1,0.25%,0,0.00%,45,11.11%,,0,0.00%,10,2.47%,,0,0.00%,1,0.25%,1,0.25%,198,48.89%,0,0.00%,3,0.74%,0,0.00%,0,0.00%,35,8.64%,0,0.00%,0,0.00%,7,1.73%,101,24.94%,3,0.74%,0,0.00%,0,0.00%,405,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1117,,,,Pct 1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,25,12.50%,,0,0.00%,8,4.00%,,0,0.00%,0,0.00%,5,2.50%,96,48.00%,1,0.50%,0,0.00%,0,0.00%,0,0.00%,18,9.00%,0,0.00%,1,0.50%,5,2.50%,41,20.50%,0,0.00%,0,0.00%,0,0.00%,200,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,15,10.27%,,0,0.00%,1,0.68%,,0,0.00%,0,0.00%,0,0.00%,81,55.48%,0,0.00%,1,0.68%,0,0.00%,0,0.00%,13,8.90%,0,0.00%,0,0.00%,0,0.00%,35,23.97%,0,0.00%,0,0.00%,0,0.00%,146,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
