COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREF. - DEM,Democratic, , , ,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JULIAN CASTRO,MICHAEL A ELLINGER,ELIZABETH WARREN,M WILLIAMSON,ANDREW YANG,R DE LA FUENTE III,JOHN K DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,M R BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R BIDEN,TULSI GABBARD,MARK S GREENSTEIN,
ALHAMBRA,0150012A,20,193,N,1113,TOTAL,600,1,0,88,0,7,0,0,7,290,0,3,0,0,44,0,1,7,138,0,0, 
ALHAMBRA,0150015A,21,193,N, ,POLLING PLACE,235,0,0,26,0,1,0,0,5,115,0,1,0,0,23,0,0,2,59,1,0, 
ALHAMBRA,0150015A,21,193,N, ,VBM PORTION,244,0,0,37,0,7,0,0,3,101,0,4,0,1,28,0,0,14,45,0,0, 
ALHAMBRA,0150015A,21,193,N,846,TOTAL,479,0,0,63,0,8,0,0,8,216,0,5,0,1,51,0,0,16,104,1,0, 
ALHAMBRA,0150022A,22,193,N, ,POLLING PLACE,305,0,0,25,1,3,0,0,1,134,0,3,0,0,32,0,0,1,99,0,0, 
ALHAMBRA,0150022A,22,193,N, ,VBM PORTION,227,1,0,29,0,7,0,0,0,104,0,6,0,0,28,0,1,6,41,0,0, 
ALHAMBRA,0150022A,22,193,N,1048,TOTAL,532,1,0,54,1,10,0,0,1,238,0,9,0,0,60,0,1,7,140,0,0, 
ALHAMBRA,0150023A,23,193,N, ,POLLING PLACE,393,1,0,49,0,1,0,0,1,164,1,4,0,0,26,0,0,2,133,4,0, 
ALHAMBRA,0150023A,23,193,N, ,VBM PORTION,277,0,0,35,0,4,0,1,2,99,1,8,0,0,48,0,0,11,57,1,0, 
ALHAMBRA,0150023A,23,193,N,1113,TOTAL,670,1,0,84,0,5,0,1,3,263,2,12,0,0,74,0,0,13,190,5,0, 
ALHAMBRA,0150025A,24,193,N, ,POLLING PLACE,273,0,0,22,0,1,0,1,0,151,0,1,1,1,21,0,0,1,67,0,0, 
ALHAMBRA,0150025A,24,193,N, ,VBM PORTION,209,1,0,26,0,9,0,0,0,109,0,1,0,0,21,0,2,7,25,0,1, 
ALHAMBRA,0150025A,24,193,N,1052,TOTAL,482,1,0,48,0,10,0,1,0,260,0,2,1,1,42,0,2,8,92,0,1, 
ALHAMBRA,0150032A,25,193,N, ,POLLING PLACE,294,0,0,36,0,0,0,0,0,138,1,4,0,2,18,0,0,1,92,0,0, 
ALHAMBRA,0150032A,25,193,N, ,VBM PORTION,251,1,0,22,0,13,2,0,3,109,0,8,0,0,23,0,0,5,58,0,0, 
ALHAMBRA,0150032A,25,193,N,1008,TOTAL,545,1,0,58,0,13,2,0,3,247,1,12,0,2,41,0,0,6,150,0,0, 
ALHAMBRA,0150039A,26,193,N, ,POLLING PLACE,251,0,1,23,0,2,1,0,0,132,0,5,0,0,20,0,0,1,63,0,0, 
