,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Canvass,58,30,51.7241379310345%,0,0,5,0,0,0,0,1,4,0,3,0,0,5,0,0,1,11,0,0,30,0,0,0,0,0,0,0
Total,58,56,96.551724137931%,0,0,6,0,0,0,0,4,5,0,5,0,0,9,0,0,8,18,1,0,56,0,0,0,0,0,0,0
1032  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,100,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,100,45,45%,1,0,6,0,1,0,0,1,10,0,0,0,0,11,0,0,8,6,0,0,44,0,0,0,0,0,0,0
Canvass,100,51,51%,0,0,6,0,0,0,0,3,13,0,1,0,0,10,0,0,2,15,0,0,50,0,0,0,0,0,0,0
Total,100,96,96%,1,0,12,0,1,0,0,4,23,0,1,0,0,21,0,0,10,21,0,0,94,0,0,0,0,0,0,0
1033  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,40,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,40,11,27.5%,0,0,2,0,0,0,0,1,2,0,1,0,0,3,0,0,2,0,0,0,11,0,0,0,0,0,0,0
Canvass,40,18,45%,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,1,8,0,0,18,0,0,0,0,0,0,0
Total,40,29,72.5%,0,0,3,0,0,0,0,1,9,0,1,0,0,4,0,0,3,8,0,0,29,0,0,0,0,0,0,0
1038  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
