,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Vote by Mail,5,1,20%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Canvass,5,3,60%,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
Total,5,4,80%,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
5025  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5026  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5029  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,33,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,33,12,36.3636363636364%,0,0,2,0,0,0,0,1,3,0,1,0,0,3,0,0,0,2,0,0,12,0,0,0,0,0,0,0
Canvass,33,14,42.4242424242424%,0,0,4,0,0,0,0,0,4,0,1,0,0,1,0,0,0,4,0,0,14,0,0,0,0,0,0,0
Total,33,26,78.7878787878788%,0,0,6,0,0,0,0,1,7,0,2,0,0,4,0,0,0,6,0,0,26,0,0,0,0,0,0,0
5033  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,29,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,29,11,37.9310344827586%,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,2,1,0,0,11,0,0,0,0,0,0,0
Canvass,29,12,41.3793103448276%,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Total,29,23,79.3103448275862%,0,0,2,0,0,0,0,0,14,0,0,0,0,4,0,0,2,1,0,0,23,0,0,0,0,0,0,0
5037  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5038  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,1,1,100%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Total,1,1,100%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5039  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,3,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,3,2,66.6666666666667%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Canvass,3,1,33.3333333333333%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Total,3,3,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5040  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,8,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,8,4,50%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,4,0,0,0,0,0,0,0
Canvass,8,5,62.5%,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0
Total,8,9,112.5%,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,0,0,9,0,0,0,0,0,0,0
5043  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,39,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,39,16,41.025641025641%,0,0,4,0,0,0,0,0,6,0,0,0,0,2,0,0,3,1,0,0,16,0,0,0,0,0,0,0
Canvass,39,13,33.3333333333333%,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,0,13,0,0,0,0,0,0,0
Total,39,29,74.3589743589744%,0,0,6,0,0,0,0,0,11,0,0,0,0,2,0,0,4,6,0,0,29,0,0,0,0,0,0,0
5046  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,108,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,108,43,39.8148148148148%,0,0,6,0,0,0,0,1,20,0,3,0,0,3,0,0,1,8,1,0,43,0,0,0,0,0,0,0
Canvass,108,47,43.5185185185185%,0,0,8,0,0,0,0,0,23,0,0,0,0,3,0,0,4,9,0,0,47,0,0,0,0,0,0,0
Total,108,90,83.3333333333333%,0,0,14,0,0,0,0,1,43,0,3,0,0,6,0,0,5,17,1,0,90,0,0,0,0,0,0,0
5048  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,72,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,72,25,34.7222222222222%,0,0,5,0,0,0,0,1,15,0,0,0,0,1,0,0,0,1,1,0,24,0,0,0,0,0,0,0
Canvass,72,43,59.7222222222222%,0,0,5,0,0,0,0,2,20,0,0,0,0,0,0,1,1,14,0,0,43,0,0,0,0,0,0,0
Total,72,68,94.4444444444444%,0,0,10,0,0,0,0,3,35,0,0,0,0,1,0,1,1,15,1,0,67,0,0,0,0,0,0,0
5050  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5052  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,102,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,102,42,41.1764705882353%,0,0,7,0,0,0,0,3,14,0,2,0,0,7,0,0,3,6,0,0,42,0,0,0,0,0,0,0
Canvass,102,53,51.9607843137255%,0,0,12,0,0,0,0,0,23,0,0,0,0,5,0,0,2,9,1,0,52,0,0,0,0,0,0,0
Total,102,95,93.1372549019608%,0,0,19,0,0,0,0,3,37,0,2,0,0,12,0,0,5,15,1,0,94,0,0,0,0,0,0,0
5054  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,3,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,3,2,66.6666666666667%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Canvass,3,3,100%,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Total,3,5,166.666666666667%,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0
5056  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,131,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,131,33,25.1908396946565%,0,0,8,0,1,0,0,1,10,0,2,0,0,3,0,0,3,2,1,0,31,0,0,0,0,0,0,0
Canvass,131,63,48.0916030534351%,0,0,11,1,0,0,0,1,33,0,1,0,0,3,0,0,1,10,1,0,62,0,0,0,0,0,0,0
Total,131,96,73.2824427480916%,0,0,19,1,1,0,0,2,43,0,3,0,0,6,0,0,4,12,2,0,93,0,0,0,0,0,0,0
5057  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,41,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,41,14,34.1463414634146%,0,1,2,0,0,0,0,0,7,0,0,0,0,2,0,0,0,2,0,0,14,0,0,0,0,0,0,0
Canvass,41,33,80.4878048780488%,0,0,7,0,0,0,0,0,9,0,2,0,0,3,0,0,2,9,0,0,32,0,0,0,0,0,0,0
Total,41,47,114.634146341463%,0,1,9,0,0,0,0,0,16,0,2,0,0,5,0,0,2,11,0,0,46,0,0,0,0,0,0,0
5058  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,51,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,51,24,47.0588235294118%,0,0,0,0,0,0,0,3,9,0,0,0,0,5,0,0,4,2,0,0,23,0,0,0,0,0,0,0
Canvass,51,21,41.1764705882353%,0,0,4,0,0,0,0,1,12,0,1,0,0,0,0,0,1,2,0,0,21,0,0,0,0,0,0,0
Total,51,45,88.2352941176471%,0,0,4,0,0,0,0,4,21,0,1,0,0,5,0,0,5,4,0,0,44,0,0,0,0,0,0,0
5059  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,10,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,10,3,30%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0
Canvass,10,5,50%,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0
Total,10,8,80%,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,3,0,0,8,0,0,0,0,0,0,0
5060  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,34,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,34,18,52.9411764705882%,0,0,0,0,0,0,0,1,3,0,3,0,0,2,0,0,6,3,0,0,18,0,0,0,0,0,0,0
Canvass,34,15,44.1176470588235%,0,0,3,0,0,0,0,0,7,0,1,0,0,0,0,0,1,3,0,0,15,0,0,0,0,0,0,0
Total,34,33,97.0588235294118%,0,0,3,0,0,0,0,1,10,0,4,0,0,2,0,0,7,6,0,0,33,0,0,0,0,0,0,0
5062  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,65,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,65,22,33.8461538461539%,0,0,1,0,0,0,0,0,15,0,2,0,0,2,0,0,1,1,0,0,22,0,0,0,0,0,0,0
Canvass,65,29,44.6153846153846%,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,2,6,0,0,29,0,0,0,0,0,0,0
Total,65,51,78.4615384615385%,0,0,5,0,0,0,0,0,32,0,2,0,0,2,0,0,3,7,0,0,51,0,0,0,0,0,0,0
5063  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,125,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,125,54,43.2%,0,0,10,1,0,0,0,5,14,0,2,0,0,5,0,0,8,6,0,0,51,0,0,0,0,0,0,0
Canvass,125,59,47.2%,0,0,18,1,0,0,0,1,21,0,1,0,0,3,0,0,2,10,0,0,57,0,0,0,0,0,0,0
Total,125,113,90.4%,0,0,28,2,0,0,0,6,35,0,3,0,0,8,0,0,10,16,0,0,108,0,0,0,0,0,0,0
5064  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,105,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,105,46,43.8095238095238%,0,0,10,0,1,0,0,1,23,0,1,0,0,1,0,0,3,5,0,0,45,0,0,0,0,0,0,0
Canvass,105,62,59.0476190476191%,0,0,17,0,0,0,0,2,27,0,0,0,0,4,0,0,2,8,2,0,62,0,0,0,0,0,0,0
Total,105,108,102.857142857143%,0,0,27,0,1,0,0,3,50,0,1,0,0,5,0,0,5,13,2,0,107,0,0,0,0,0,0,0
5065  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,24,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,24,7,29.1666666666667%,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,2,0,0,0,7,0,0,0,0,0,0,0
Canvass,24,13,54.1666666666667%,0,0,3,0,0,0,0,1,4,0,0,0,0,4,0,0,1,0,0,0,13,0,0,0,0,0,0,0
Total,24,20,83.3333333333333%,0,0,3,0,0,0,0,1,6,0,1,0,0,6,0,0,3,0,0,0,20,0,0,0,0,0,0,0
5067  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5068  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,2,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,2,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,2,2,100%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Total,2,2,100%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
5069  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,55,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,55,12,21.8181818181818%,0,0,2,0,0,0,0,2,4,0,0,0,0,3,0,0,1,0,0,0,12,0,0,0,0,0,0,0
Canvass,55,39,70.9090909090909%,0,0,12,0,0,0,0,4,10,0,0,0,0,1,0,0,2,10,0,0,39,0,0,0,0,0,0,0
Total,55,51,92.7272727272727%,0,0,14,0,0,0,0,6,14,0,0,0,0,4,0,0,3,10,0,0,51,0,0,0,0,0,0,0
5070  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,18,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,18,6,33.3333333333333%,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0
Canvass,18,9,50%,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,9,0,0,0,0,0,0,0
Total,18,15,83.3333333333333%,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,4,1,0,13,0,0,0,0,0,0,0
5071  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,5,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,5,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,5,6,120%,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Total,5,6,120%,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
5074  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,2,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,2,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,2,4,200%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,0,0,0,0
Total,2,4,200%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,0,0,0,0
5075  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5076  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5078  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,87,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,87,30,34.4827586206897%,0,0,8,0,0,0,0,3,9,0,0,0,0,4,0,0,3,2,0,0,29,0,0,0,0,0,0,0
Canvass,87,48,55.1724137931034%,0,0,9,0,0,0,0,1,20,0,0,0,0,4,0,0,0,14,0,0,48,0,0,0,0,0,0,0
Total,87,78,89.6551724137931%,0,0,17,0,0,0,0,4,29,0,0,0,0,8,0,0,3,16,0,0,77,0,0,0,0,0,0,0
5079  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,77,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,77,29,37.6623376623377%,0,0,1,0,0,0,0,3,13,0,0,0,0,6,0,0,4,2,0,0,29,0,0,0,0,0,0,0
Canvass,77,40,51.9480519480519%,0,0,8,0,0,0,0,1,17,0,1,0,0,2,0,0,1,9,1,0,40,0,0,0,0,0,0,0
Total,77,69,89.6103896103896%,0,0,9,0,0,0,0,4,30,0,1,0,0,8,0,0,5,11,1,0,69,0,0,0,0,0,0,0
5080  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,114,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,114,32,28.0701754385965%,0,0,5,0,0,0,0,0,12,0,1,0,0,6,0,0,3,3,2,0,32,0,0,0,0,0,0,0
Canvass,114,69,60.5263157894737%,0,0,10,0,0,0,0,2,21,0,0,0,0,6,0,0,1,29,0,0,69,0,0,0,0,0,0,0
Total,114,101,88.5964912280702%,0,0,15,0,0,0,0,2,33,0,1,0,0,12,0,0,4,32,2,0,101,0,0,0,0,0,0,0
5081  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,92,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,92,32,34.7826086956522%,0,0,6,0,0,0,0,3,15,0,1,0,0,5,0,0,0,1,1,0,32,0,0,0,0,0,0,0
Canvass,92,47,51.0869565217391%,0,0,16,0,0,0,0,0,18,0,0,0,0,2,0,0,0,10,0,0,46,0,0,0,0,0,0,0
Total,92,79,85.8695652173913%,0,0,22,0,0,0,0,3,33,0,1,0,0,7,0,0,0,11,1,0,78,0,0,0,0,0,0,0
5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,548,83,15.1459854014599%,0,0,3,0,0,2,0,0,48,0,0,0,0,11,0,0,0,17,2,0,83,0,0,0,0,0,0,0
Vote by Mail,548,123,22.4452554744526%,0,1,14,0,0,0,0,4,43,0,9,0,0,23,0,0,10,17,0,0,121,0,0,0,0,0,0,0
Canvass,548,202,36.8613138686131%,0,0,16,0,0,0,0,2,94,0,7,0,0,16,0,0,7,57,0,0,199,0,0,0,0,0,0,0
Total,548,408,74.4525547445255%,0,1,33,0,0,2,0,6,185,0,16,0,0,50,0,0,17,91,2,0,403,0,0,0,0,0,0,0
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1271,130,10.228166797797%,0,0,17,0,0,0,0,0,74,0,0,0,1,10,0,0,0,27,0,0,129,0,0,0,0,0,0,0
Vote by Mail,1271,285,22.4232887490165%,1,0,35,0,7,0,0,22,111,1,10,0,1,32,0,1,30,28,3,0,282,0,0,0,0,0,0,0
Canvass,1271,440,34.618410700236%,0,0,51,2,1,0,0,3,235,0,3,0,0,32,0,0,8,96,2,0,433,0,0,0,0,0,0,0
Total,1271,855,67.2698662470496%,1,0,103,2,8,0,0,25,420,1,13,0,2,74,0,1,38,151,5,0,844,0,0,0,0,0,0,0
5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,400,36,9%,0,0,1,0,1,0,0,0,19,0,0,0,0,4,0,0,0,11,0,0,36,0,0,0,0,0,0,0
Vote by Mail,400,67,16.75%,0,0,4,0,1,0,0,5,28,0,4,0,0,10,0,0,7,7,1,0,67,0,0,0,0,0,0,0
Canvass,400,128,32%,0,0,11,1,0,0,0,0,65,0,5,0,0,16,0,0,2,26,0,0,126,0,0,0,0,0,0,0
Total,400,231,57.75%,0,0,16,1,2,0,0,5,112,0,9,0,0,30,0,0,9,44,1,0,229,0,0,0,0,0,0,0
5107  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,19,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,19,2,10.5263157894737%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Canvass,19,8,42.1052631578947%,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0
Total,19,10,52.6315789473684%,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0
5108  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,59,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,59,12,20.3389830508475%,0,0,1,0,0,0,0,0,1,1,1,0,0,4,0,0,1,3,0,0,12,0,0,0,0,0,0,0
Canvass,59,30,50.8474576271186%,0,0,4,1,0,0,0,0,11,0,0,0,0,1,0,0,0,12,0,0,29,0,0,0,0,0,0,0
Total,59,42,71.1864406779661%,0,0,5,1,0,0,0,0,12,1,1,0,0,5,0,0,1,15,0,0,41,0,0,0,0,0,0,0
5110  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,48,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,48,14,29.1666666666667%,1,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0
Canvass,48,25,52.0833333333333%,0,0,6,0,0,0,0,0,12,0,0,0,0,1,0,0,0,6,0,0,25,0,0,0,0,0,0,0
Total,48,39,81.25%,1,0,8,0,0,0,0,0,17,0,1,0,0,1,0,0,0,11,0,0,39,0,0,0,0,0,0,0
5113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,762,102,13.3858267716535%,0,0,14,0,0,0,0,0,40,0,1,0,0,13,0,1,0,32,1,0,102,0,0,0,0,0,0,0
