Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 Superior Court Judge,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,ANNRAE ANGEL,NANCY DE LA PENA,,JACK D. GORDON,Write In,,
20096,Vote by Mail,9,7,77.78 %,,,3,,,,,,
20096,Polling Place,9,1,11.11 %,,,1,,,,,,
20096,Total,9,8,88.89 %,,,4,,,,,,
20101,Vote by Mail,1147,539,46.99 %,,,79,205,,144,3,,
20101,Polling Place,1147,187,16.30 %,,,29,83,,29,,,
20101,Total,1147,726,63.30 %,,,108,288,,173,3,,
20150,Vote by Mail,691,295,42.69 %,,,62,128,,57,,,
20150,Polling Place,691,158,22.87 %,,,26,74,,29,,,
20150,Total,691,453,65.56 %,,,88,202,,86,,,
20221,Vote by Mail,1437,667,46.42 %,,,131,283,,147,1,,
20221,Polling Place,1437,308,21.43 %,,,53,145,,61,,,
20221,Total,1437,975,67.85 %,,,184,428,,208,1,,
20232,Vote by Mail,1226,599,48.86 %,,,111,231,,156,4,,
20232,Polling Place,1226,258,21.04 %,,,51,94,,61,,,
20232,Total,1226,857,69.90 %,,,162,325,,217,4,,
20241,Vote by Mail,90,52,57.78 %,,,11,19,,11,,,
20241,Polling Place,90,3,3.33 %,,,,3,,,,,
20241,Total,90,55,61.11 %,,,11,22,,11,,,
20242,Vote by Mail,1397,690,49.39 %,,,122,277,,155,5,,
20242,Polling Place,1397,276,19.76 %,,,48,115,,49,2,,
20242,Total,1397,966,69.15 %,,,170,392,,204,7,,
20251,Vote by Mail,1208,547,45.28 %,,,116,205,,127,,,
20251,Polling Place,1208,267,22.10 %,,,56,106,,61,1,,
20251,Total,1208,814,67.38 %,,,172,311,,188,1,,
20253,Vote by Mail,16,13,81.25 %,,,5,5,,2,,,
20253,Polling Place,16,1,6.25 %,,,,,,,,,
20253,Total,16,14,87.50 %,,,5,5,,2,,,
20260,Vote by Mail,1315,589,44.79 %,,,119,262,,112,1,,
20260,Polling Place,1315,282,21.44 %,,,51,119,,51,4,,
20260,Total,1315,871,66.24 %,,,170,381,,163,5,,
20280,Vote by Mail,1684,777,46.14 %,,,178,317,,155,3,,
20280,Polling Place,1684,322,19.12 %,,,58,131,,76,,,
20280,Total,1684,1099,65.26 %,,,236,448,,231,3,,
20300,Vote by Mail,1352,613,45.34 %,,,130,258,,117,5,,
20300,Polling Place,1352,281,20.78 %,,,45,102,,66,4,,
20300,Total,1352,894,66.12 %,,,175,360,,183,9,,
20320,Vote by Mail,1553,808,52.03 %,,,139,312,,198,1,,
20320,Polling Place,1553,310,19.96 %,,,48,125,,68,1,,
20320,Total,1553,1118,71.99 %,,,187,437,,266,2,,
20330,Vote by Mail,1370,630,45.99 %,,,136,256,,112,8,,
20330,Polling Place,1370,270,19.71 %,,,50,108,,55,2,,
20330,Total,1370,900,65.69 %,,,186,364,,167,10,,
20341,Vote by Mail,639,295,46.17 %,,,55,118,,73,1,,
20341,Polling Place,639,128,20.03 %,,,23,48,,30,,,
20341,Total,639,423,66.20 %,,,78,166,,103,1,,
20351,Vote by Mail,1234,523,42.38 %,,,77,251,,123,1,,
20351,Polling Place,1234,345,27.96 %,,,65,162,,64,1,,
20351,Total,1234,868,70.34 %,,,142,413,,187,2,,
20354,Vote by Mail,1198,607,50.67 %,,,114,236,,155,2,,
20354,Polling Place,1198,202,16.86 %,,,37,91,,37,1,,
20354,Total,1198,809,67.53 %,,,151,327,,192,3,,
20402,Vote by Mail,950,444,46.74 %,,,78,168,,118,,,
20402,Polling Place,950,183,19.26 %,,,21,69,,49,,,
20402,Total,950,627,66.00 %,,,99,237,,167,,,
20520,Vote by Mail,1297,702,54.12 %,,,112,286,,170,2,,
20520,Polling Place,1297,222,17.12 %,,,35,98,,47,2,,
20520,Total,1297,924,71.24 %,,,147,384,,217,4,,
20551,Vote by Mail,1199,561,46.79 %,,,112,234,,142,,,
20551,Polling Place,1199,299,24.94 %,,,50,132,,63,2,,
20551,Total,1199,860,71.73 %,,,162,366,,205,2,,
20591,Vote by Mail,0,0,,,,,,,,,,
20591,Polling Place,0,0,,,,,,,,,,
20591,Total,0,0,,,,,,,,,,
20622,Vote by Mail,0,0,,,,,,,,,,
20622,Polling Place,0,0,,,,,,,,,,
20622,Total,0,0,,,,,,,,,,
22010,Vote by Mail,1274,635,49.84 %,,,136,234,,143,5,,
22010,Polling Place,1274,216,16.95 %,,,38,79,,42,2,,
22010,Total,1274,851,66.80 %,,,174,313,,185,7,,
22040,Vote by Mail,1025,501,48.88 %,,,110,198,,108,4,,
22040,Polling Place,1025,208,20.29 %,,,30,74,,49,,,
22040,Total,1025,709,69.17 %,,,140,272,,157,4,,
22050,Vote by Mail,1809,844,46.66 %,,,189,312,,184,3,,
22050,Polling Place,1809,317,17.52 %,,,56,120,,58,2,,
22050,Total,1809,1161,64.18 %,,,245,432,,242,5,,
23190,Vote by Mail,0,0,,,,,,,,,,
23190,Polling Place,0,0,,,,,,,,,,
23190,Total,0,0,,,,,,,,,,
23311,Vote by Mail,2057,719,34.95 %,,,122,377,,148,2,,
23311,Polling Place,2057,172,8.36 %,,,21,98,,37,1,,
23311,Total,2057,891,43.32 %,,,143,475,,185,3,,
23312,Vote by Mail,1407,410,29.14 %,,,73,228,,83,2,,
23312,Polling Place,1407,156,11.09 %,,,22,91,,30,3,,
23312,Total,1407,566,40.23 %,,,95,319,,113,5,,
23492,Vote by Mail,0,0,,,,,,,,,,
23492,Polling Place,0,0,,,,,,,,,,
23492,Total,0,0,,,,,,,,,,
23660,Vote by Mail,1,0,0.00 %,,,,,,,,,
23660,Polling Place,1,0,0.00 %,,,,,,,,,
23660,Total,1,0,0.00 %,,,,,,,,,
30010,Vote by Mail,267,147,55.06 %,,,41,45,,29,,,
30010,Polling Place,267,13,4.87 %,,,3,4,,2,,,
30010,Total,267,160,59.93 %,,,44,49,,31,,,
30020,Vote by Mail,492,175,35.57 %,,,55,54,,22,1,,
30020,Polling Place,492,177,35.98 %,,,50,60,,25,,,
30020,Total,492,352,71.54 %,,,105,114,,47,1,,
30030,Vote by Mail,968,394,40.70 %,,,145,129,,51,4,,
30030,Polling Place,968,264,27.27 %,,,79,74,,45,1,,
30030,Total,968,658,67.98 %,,,224,203,,96,5,,
30041,Vote by Mail,1308,588,44.95 %,,,155,178,,142,2,,
30041,Polling Place,1308,356,27.22 %,,,113,91,,69,2,,
30041,Total,1308,944,72.17 %,,,268,269,,211,4,,
30042,Vote by Mail,4,2,50.00 %,,,,1,,1,,,
30042,Polling Place,4,0,0.00 %,,,,,,,,,
30042,Total,4,2,50.00 %,,,,1,,1,,,
30043,Vote by Mail,21,13,61.90 %,,,3,4,,2,,,
30043,Polling Place,21,2,9.52 %,,,,1,,,,,
30043,Total,21,15,71.43 %,,,3,5,,2,,,
30046,Vote by Mail,1,0,0.00 %,,,,,,,,,
30046,Polling Place,1,0,0.00 %,,,,,,,,,
30046,Total,1,0,0.00 %,,,,,,,,,
30047,Vote by Mail,0,0,,,,,,,,,,
30047,Polling Place,0,0,,,,,,,,,,
30047,Total,0,0,,,,,,,,,,
30074,Vote by Mail,14,7,50.00 %,,,3,4,,,,,
30074,Polling Place,14,1,7.14 %,,,,,,1,,,
30074,Total,14,8,57.14 %,,,3,4,,1,,,
30080,Vote by Mail,466,221,47.42 %,,,70,60,,46,2,,
30080,Polling Place,466,67,14.38 %,,,12,21,,15,,,
30080,Total,466,288,61.80 %,,,82,81,,61,2,,
31010,Vote by Mail,1307,571,43.69 %,,,174,212,,89,2,,
31010,Polling Place,1307,318,24.33 %,,,75,118,,44,1,,
