Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference LIB,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,JO JORGENSEN,DAN BEHRMAN,,ERIK CHASE GERHARDT,Write In,Sorinne  Ardeleanu,Nicholas D'Artagnan Dumas,Geby Eva Espinosa,James Orlando Ogle,,
10550,Polling Place,1,0,0.00 %,,,,,,,,,,,,,
10550,Total,1,0,0.00 %,,,,,,,,,,,,,
10552,Vote by Mail,0,0,,,,,,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,,,,,,
10552,Total,0,0,,,,,,,,,,,,,,
10603,Vote by Mail,12,4,33.33 %,,,,,,,4,,,,,,
10603,Polling Place,12,2,16.67 %,,,,,,,,,,,,,
10603,Total,12,6,50.00 %,,,,,,,4,,,,,,
10620,Vote by Mail,12,5,41.67 %,,,,,,,2,,,,,,
10620,Polling Place,12,2,16.67 %,,,,,,,,,,,,,
10620,Total,12,7,58.33 %,,,,,,,2,,,,,,
10690,Vote by Mail,0,0,,,,,,,,,,,,,,
10690,Polling Place,0,0,,,,,,,,,,,,,,
10690,Total,0,0,,,,,,,,,,,,,,
10762,Vote by Mail,0,0,,,,,,,,,,,,,,
10762,Polling Place,0,0,,,,,,,,,,,,,,
10762,Total,0,0,,,,,,,,,,,,,,
10781,Vote by Mail,3,2,66.67 %,,,,,,,1,,,,,,
10781,Polling Place,3,0,0.00 %,,,,,,,,,,,,,
10781,Total,3,2,66.67 %,,,,,,,1,,,,,,
11010,Vote by Mail,10,4,40.00 %,,,,,,,1,,,,,,
11010,Polling Place,10,2,20.00 %,,,,,,,1,,,,,,
11010,Total,10,6,60.00 %,,,,,,,2,,,,,,
11120,Vote by Mail,5,3,60.00 %,,,,,,,1,,,,,,
11120,Polling Place,5,0,0.00 %,,,,,,,,,,,,,
11120,Total,5,3,60.00 %,,,,,,,1,,,,,,
12010,Vote by Mail,5,2,40.00 %,,,,,,,1,,,,,,
12010,Polling Place,5,0,0.00 %,,,,,,,,,,,,,
12010,Total,5,2,40.00 %,,,,,,,1,,,,,,
12022,Vote by Mail,3,2,66.67 %,,,,,,,,,,,,,
12022,Polling Place,3,0,0.00 %,,,,,,,,,,,,,
12022,Total,3,2,66.67 %,,,,,,,,,,,,,
12023,Vote by Mail,5,2,40.00 %,,,1,,,,,,,,,,
12023,Polling Place,5,0,0.00 %,,,,,,,,,,,,,
12023,Total,5,2,40.00 %,,,1,,,,,,,,,,
12030,Vote by Mail,13,2,15.38 %,,,,,,,,,,,,,
12030,Polling Place,13,1,7.69 %,,,,,,1,,,,,,,
12030,Total,13,3,23.08 %,,,,,,1,,,,,,,
14110,Vote by Mail,0,0,,,,,,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,,,,,,
14110,Total,0,0,,,,,,,,,,,,,,
14121,Vote by Mail,17,6,35.29 %,,,,,,,1,,,,,,
14121,Polling Place,17,1,5.88 %,,,,,,,,,,,,,
14121,Total,17,7,41.18 %,,,,,,,1,,,,,,
14123,Vote by Mail,0,0,,,,,,,,,,,,,,
14123,Polling Place,0,0,,,,,,,,,,,,,,
14123,Total,0,0,,,,,,,,,,,,,,
14133,Vote by Mail,0,0,,,,,,,,,,,,,,
14133,Polling Place,0,0,,,,,,,,,,,,,,
14133,Total,0,0,,,,,,,,,,,,,,
14141,Vote by Mail,3,1,33.33 %,,,,,,,,,,,,,
14141,Polling Place,3,0,0.00 %,,,,,,,,,,,,,
14141,Total,3,1,33.33 %,,,,,,,,,,,,,
20011,Vote by Mail,10,1,10.00 %,,,,,,,1,,,,,,
20011,Polling Place,10,1,10.00 %,,,,,,,,,,,,,
20011,Total,10,2,20.00 %,,,,,,,1,,,,,,
20013,Vote by Mail,4,1,25.00 %,,,,,,,,,,,,,
20013,Polling Place,4,0,0.00 %,,,,,,,,,,,,,
20013,Total,4,1,25.00 %,,,,,,,,,,,,,
20020,Vote by Mail,11,2,18.18 %,,,,,,,,,,,,,
20020,Polling Place,11,0,0.00 %,,,,,,,,,,,,,
20020,Total,11,2,18.18 %,,,,,,,,,,,,,
20041,Vote by Mail,9,4,44.44 %,,,,,,,1,,,,,,
20041,Polling Place,9,1,11.11 %,,,,,,,,,,,,,
20041,Total,9,5,55.56 %,,,,,,,1,,,,,,
20044,Vote by Mail,10,2,20.00 %,,,,,,,,,,,,,
20044,Polling Place,10,3,30.00 %,,,1,,,,1,,,,,,
20044,Total,10,5,50.00 %,,,1,,,,1,,,,,,
20061,Vote by Mail,5,1,20.00 %,,,,,,,,,,,,,
20061,Polling Place,5,3,60.00 %,,,1,1,,,,,,,,,
20061,Total,5,4,80.00 %,,,1,1,,,,,,,,,
20093,Vote by Mail,0,0,,,,,,,,,,,,,,
20093,Polling Place,0,0,,,,,,,,,,,,,,
20093,Total,0,0,,,,,,,,,,,,,,
20096,Vote by Mail,0,0,,,,,,,,,,,,,,
20096,Polling Place,0,0,,,,,,,,,,,,,,
20096,Total,0,0,,,,,,,,,,,,,,
20101,Vote by Mail,9,3,33.33 %,,,,,,,1,,,,,,
20101,Polling Place,9,2,22.22 %,,,,,,,,,,,,,
20101,Total,9,5,55.56 %,,,,,,,1,,,,,,
