Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1 Presidential Preference AIP,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,PHIL COLLINS,"ROQUE ""ROCKY"" DE LA FUENTE",,CHARLES KRAUT,J.R. MYERS,DON BLANKENSHIP,Write In,,
50192,Polling Place,4,1,25.00 %,,,,,,,,,,,
50192,Total,4,3,75.00 %,,,,,,,,,,,
50201,Vote by Mail,35,8,22.86 %,,,2,1,,1,1,,,,
50201,Polling Place,35,7,20.00 %,,,,,,,,,5,,
50201,Total,35,15,42.86 %,,,2,1,,1,1,,5,,
50204,Vote by Mail,0,0,,,,,,,,,,,,
50204,Polling Place,0,0,,,,,,,,,,,,
50204,Total,0,0,,,,,,,,,,,,
50211,Vote by Mail,32,17,53.13 %,,,6,,,1,,1,4,,
50211,Polling Place,32,8,25.00 %,,,3,,,,,,2,,
50211,Total,32,25,78.13 %,,,9,,,1,,1,6,,
50221,Vote by Mail,18,5,27.78 %,,,1,2,,,,,,,
50221,Polling Place,18,0,0.00 %,,,,,,,,,,,
50221,Total,18,5,27.78 %,,,1,2,,,,,,,
50232,Vote by Mail,33,11,33.33 %,,,2,,,1,,,3,,
50232,Polling Place,33,4,12.12 %,,,,,,,1,,2,,
50232,Total,33,15,45.45 %,,,2,,,1,1,,5,,
50235,Vote by Mail,22,6,27.27 %,,,,,,,,,3,,
50235,Polling Place,22,3,13.64 %,,,2,,,,,,,,
50235,Total,22,9,40.91 %,,,2,,,,,,3,,
50284,Vote by Mail,0,0,,,,,,,,,,,,
50284,Polling Place,0,0,,,,,,,,,,,,
50284,Total,0,0,,,,,,,,,,,,
50287,Vote by Mail,0,0,,,,,,,,,,,,
50287,Polling Place,0,0,,,,,,,,,,,,
50287,Total,0,0,,,,,,,,,,,,
50297,Vote by Mail,0,0,,,,,,,,,,,,
50297,Polling Place,0,0,,,,,,,,,,,,
50297,Total,0,0,,,,,,,,,,,,
50301,Vote by Mail,9,3,33.33 %,,,1,,,,,,,,
50301,Polling Place,9,1,11.11 %,,,,,,,,,,,
50301,Total,9,4,44.44 %,,,1,,,,,,,,
50341,Vote by Mail,20,13,65.00 %,,,,1,,,,1,6,,
50341,Polling Place,20,1,5.00 %,,,,1,,,,,,,
50341,Total,20,14,70.00 %,,,,2,,,,1,6,,
50381,Vote by Mail,22,12,54.55 %,,,1,,,1,1,1,4,,
50381,Polling Place,22,1,4.55 %,,,,,,1,,,,,
50381,Total,22,13,59.09 %,,,1,,,2,1,1,4,,
50434,Vote by Mail,1,0,0.00 %,,,,,,,,,,,
50434,Polling Place,1,1,100.00 %,,,,,,,,,,,
50434,Total,1,1,100.00 %,,,,,,,,,,,
50480,Vote by Mail,29,15,51.72 %,,,1,,,,,,9,,
50480,Polling Place,29,1,3.45 %,,,,,,,,,,,
50480,Total,29,16,55.17 %,,,1,,,,,,9,,
50492,Vote by Mail,2,1,50.00 %,,,,,,,,,,,
50492,Polling Place,2,0,0.00 %,,,,,,,,,,,
50492,Total,2,1,50.00 %,,,,,,,,,,,
50494,Vote by Mail,0,0,,,,,,,,,,,,
50494,Polling Place,0,0,,,,,,,,,,,,
50494,Total,0,0,,,,,,,,,,,,
50502,Vote by Mail,2,1,50.00 %,,,,,,,,,1,,
50502,Polling Place,2,0,0.00 %,,,,,,,,,,,
50502,Total,2,1,50.00 %,,,,,,,,,1,,
50521,Vote by Mail,13,9,69.23 %,,,1,,,,1,2,3,,
50521,Polling Place,13,0,0.00 %,,,,,,,,,,,
