Santa Cruz,,,,,,,,,Precinct Canvass,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1 Presidential Preference PAF,,,,,,,,,,
,,,,,,,1,1,,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,HOWIE HAWKINS,GLORIA LA RIVA,,Write In,,
23492,Vote by Mail,0,0,,,,,,,,,
23492,Polling Place,0,0,,,,,,,,,
23492,Total,0,0,,,,,,,,,
23660,Vote by Mail,0,0,,,,,,,,,
23660,Polling Place,0,0,,,,,,,,,
23660,Total,0,0,,,,,,,,,
30010,Vote by Mail,0,0,,,,,,,,,
30010,Polling Place,0,0,,,,,,,,,
30010,Total,0,0,,,,,,,,,
30020,Vote by Mail,2,0,0.00 %,,,,,,,,
30020,Polling Place,2,1,50.00 %,,,1,,,,,
30020,Total,2,1,50.00 %,,,1,,,,,
30030,Vote by Mail,2,0,0.00 %,,,,,,,,
30030,Polling Place,2,0,0.00 %,,,,,,,,
30030,Total,2,0,0.00 %,,,,,,,,
30041,Vote by Mail,4,1,25.00 %,,,,1,,,,
30041,Polling Place,4,0,0.00 %,,,,,,,,
30041,Total,4,1,25.00 %,,,,1,,,,
30042,Vote by Mail,0,0,,,,,,,,,
30042,Polling Place,0,0,,,,,,,,,
30042,Total,0,0,,,,,,,,,
30043,Vote by Mail,0,0,,,,,,,,,
30043,Polling Place,0,0,,,,,,,,,
30043,Total,0,0,,,,,,,,,
30046,Vote by Mail,0,0,,,,,,,,,
30046,Polling Place,0,0,,,,,,,,,
30046,Total,0,0,,,,,,,,,
30047,Vote by Mail,0,0,,,,,,,,,
30047,Polling Place,0,0,,,,,,,,,
30047,Total,0,0,,,,,,,,,
30074,Vote by Mail,0,0,,,,,,,,,
30074,Polling Place,0,0,,,,,,,,,
30074,Total,0,0,,,,,,,,,
30080,Vote by Mail,0,0,,,,,,,,,
30080,Polling Place,0,0,,,,,,,,,
30080,Total,0,0,,,,,,,,,
31010,Vote by Mail,5,0,0.00 %,,,,,,,,
31010,Polling Place,5,1,20.00 %,,,,1,,,,
31010,Total,5,1,20.00 %,,,,1,,,,
31011,Vote by Mail,2,1,50.00 %,,,,,,,,
31011,Polling Place,2,0,0.00 %,,,,,,,,
31011,Total,2,1,50.00 %,,,,,,,,
31012,Vote by Mail,0,0,,,,,,,,,
31012,Polling Place,0,0,,,,,,,,,
31012,Total,0,0,,,,,,,,,
31020,Vote by Mail,5,1,20.00 %,,,,1,,,,
31020,Polling Place,5,0,0.00 %,,,,,,,,
31020,Total,5,1,20.00 %,,,,1,,,,
31030,Vote by Mail,0,0,,,,,,,,,
31030,Polling Place,0,0,,,,,,,,,
31030,Total,0,0,,,,,,,,,
31050,Vote by Mail,3,1,33.33 %,,,,1,,,,
31050,Polling Place,3,0,0.00 %,,,,,,,,
31050,Total,3,1,33.33 %,,,,1,,,,
31070,Vote by Mail,3,0,0.00 %,,,,,,,,
31070,Polling Place,3,0,0.00 %,,,,,,,,
31070,Total,3,0,0.00 %,,,,,,,,
31131,Vote by Mail,1,0,0.00 %,,,,,,,,
31131,Polling Place,1,0,0.00 %,,,,,,,,
31131,Total,1,0,0.00 %,,,,,,,,
