COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
LOS ANGELES CITY GEN-MAYOR, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN RUTH BASS,RICK J CARUSO,
LOS ANGELES,9000153A,1128,12,N,3528,TOTAL,1302,708,559, 
LOS ANGELES,9000154A,1129,773,N, ,POLLING PLACE,396,157,234, 
LOS ANGELES,9000154A,1129,773,N, ,VBM PORTION,1755,951,773, 
LOS ANGELES,9000154A,1129,773,N,3333,TOTAL,2151,1108,1007, 
LOS ANGELES,9000155B,1130,12,N, ,POLLING PLACE,259,93,162, 
LOS ANGELES,9000155B,1130,12,N, ,VBM PORTION,1334,751,545, 
LOS ANGELES,9000155B,1130,12,N,3517,TOTAL,1593,844,707, 
LOS ANGELES,9000160A,1131,12,N, ,POLLING PLACE,205,74,129, 
LOS ANGELES,9000160A,1131,12,N, ,VBM PORTION,1068,578,459, 
LOS ANGELES,9000160A,1131,12,N,2444,TOTAL,1273,652,588, 
LOS ANGELES,9000163A,1132,9,N, ,POLLING PLACE,131,44,84, 
LOS ANGELES,9000163A,1132,9,N, ,VBM PORTION,554,256,292, 
LOS ANGELES,9000163A,1132,9,N,1651,TOTAL,685,300,376, 
LOS ANGELES,9000165A,1133,622,N, ,POLLING PLACE,375,202,162, 
LOS ANGELES,9000165A,1133,622,N, ,VBM PORTION,2022,1371,610, 
LOS ANGELES,9000165A,1133,622,N,3998,TOTAL,2397,1573,772, 
LOS ANGELES,9000176A,1134,771,N, ,POLLING PLACE,306,82,220, 
LOS ANGELES,9000176A,1134,771,N, ,VBM PORTION,1407,655,721, 
LOS ANGELES,9000176A,1134,771,N,3305,TOTAL,1713,737,941, 
LOS ANGELES,9000178A,7576,8,N, ,POLLING PLACE,70,26,40, 
LOS ANGELES,9000178A,7576,8,N, ,VBM PORTION,229,107,111, 
LOS ANGELES,9000178A,7576,8,N,779,TOTAL,299,133,151, 
LOS ANGELES,9000187A,1135,30,N, ,POLLING PLACE,150,52,96, 
LOS ANGELES,9000187A,1135,30,N, ,VBM PORTION,631,293,321, 
LOS ANGELES,9000187A,1135,30,N,1948,TOTAL,781,345,417, 
LOS ANGELES,9000189B,1136,777,N, ,POLLING PLACE,228,60,160, 
LOS ANGELES,9000189B,1136,777,N, ,VBM PORTION,1028,432,577, 
LOS ANGELES,9000189B,1136,777,N,2656,TOTAL,1256,492,737, 
LOS ANGELES,9000191A,1137,771,N, ,POLLING PLACE,227,50,170, 
LOS ANGELES,9000191A,1137,771,N, ,VBM PORTION,917,344,533, 
LOS ANGELES,9000191A,1137,771,N,2411,TOTAL,1144,394,703, 
LOS ANGELES,9000193A,1138,12,N, ,POLLING PLACE,177,85,86, 
LOS ANGELES,9000193A,1138,12,N, ,VBM PORTION,556,297,247, 
LOS ANGELES,9000193A,1138,12,N,2309,TOTAL,733,382,333, 
LOS ANGELES,9000197B,1139,12,N, ,POLLING PLACE,198,77,114, 
