,ID,District,AREA,Code,percent
812,36,41,914.1,3750009A,0.9999999999999992
813,36,41,914.1,2020006A,0.9992474469916957
815,37,42,660.45,1000008B,1.0000000000000002
817,47,51,65.54,9003077A,0.9986327129578745
819,47,51,65.54,9001332A,0.9984606015554666
821,47,51,65.54,9003078B,0.9994004577804285
823,47,51,65.54,9003552A,0.9991255241801369
824,37,42,660.45,9001330A,0.7651975523562708
825,47,51,65.54,9001330A,0.23480244764374816
826,37,42,660.45,9001339A,0.8295425139386772
827,47,51,65.54,9001339A,0.17045748606132857
829,47,51,65.54,9000555A,0.9999136093256216
830,37,42,660.45,1000015A,0.9999999999999992
831,37,42,660.45,1000077A,1.000000000000001
832,37,42,660.45,1000008A,0.999999999999999
833,37,42,660.45,1000001E,1.0000000000000002
834,37,42,660.45,1000016A,0.9961680808271403
836,37,42,660.45,1000007A,0.9999999999999999
837,37,42,660.45,1000076A,0.9997537291228078
840,47,51,65.54,9005818A,0.9985317763040236
842,47,51,65.54,9007388A,0.9982002090608902
844,47,51,65.54,9005816A,0.9998901184115182
845,37,42,660.45,0080038A,1.000000000000001
846,37,42,660.45,0070006A,0.9999999999999997
847,37,42,660.45,0080001A,0.9999999999999994
848,37,42,660.45,0070041A,1.0
849,37,42,660.45,0080047A,1.0
850,37,42,660.45,0080043A,1.0000000000000004
851,37,42,660.45,7100007A,0.9999649214749406
853,37,42,660.45,0080050A,1.0000000000000009
854,37,42,660.45,0080012A,0.9999999999999991
855,37,42,660.45,0080052A,0.999999999999999
857,41,46,77.82,1150012A,0.9970652331780187
858,37,42,660.45,1000006D,0.9333152211638931
861,39,44,100.18,9000260A,0.9996940984432163
863,39,44,100.18,9001103A,0.998658467808114
866,39,44,100.18,9001127A,0.9991614697875033
869,47,51,65.54,9001281C,0.9996874268973884
871,47,51,65.54,9001284A,0.9983552141897725
872,37,42,660.45,7770011B,1.0000000000000002
874,47,51,65.54,9001271A,0.9994113690341807
876,47,51,65.54,9001274A,0.9796485205218376
878,41,46,77.82,9003465A,0.9972102203888713
880,41,46,77.82,9007935D,0.9912389184364305
882,41,46,77.82,9006496A,0.9999517338225677
884,41,46,77.82,9007939A,0.999769562438622
885,37,42,660.45,9001343C,0.9997837167897797
887,37,42,660.45,9003206A,0.9985120680461537
890,37,42,660.45,9001218A,0.9083486141865942
893,37,42,660.45,9001352A,0.9999999999999977
894,37,42,660.45,9001100A,0.9983867220200374
898,47,51,65.54,9001212A,0.9983758912695635
901,41,46,77.82,9000810A,0.9383150471966983
903,41,46,77.82,9006618B,0.9999782433749029
905,41,46,77.82,9001036B,0.9995670582256917
907,41,46,77.82,9001019A,0.9958271530151741
909,41,46,77.82,9007975A,0.9997244210582926
911,47,51,65.54,6250020A,0.9999947393451973
913,47,51,65.54,6250006A,0.9962628826176941
915,47,51,65.54,6250029A,0.9968196416075575
917,47,51,65.54,6250046A,0.9999907669261338
919,47,51,65.54,6250017A,0.9999274474926262
921,47,51,65.54,6250128A,0.9962252859420082
923,41,46,77.82,1150004A,0.9516299555245236
924,37,42,660.45,7770011A,0.9999999999999993
925,37,42,660.45,7770001A,0.9999999999999993
926,37,42,660.45,7770002A,1.0000000000000004
927,37,42,660.45,7100004B,1.000000000000004
928,37,42,660.45,4050002A,0.9999999999999996
929,37,42,660.45,4050062A,0.9999999999999974
930,37,42,660.45,7100002A,0.999981688369109
932,37,42,660.45,7100030A,0.9999999999999988
933,37,42,660.45,4050051A,1.0000000000000016
934,37,42,660.45,4060003A,0.9999999999999987
935,37,42,660.45,4050063A,1.0000000000000016
936,37,42,660.45,7760001A,0.8959543722293309
937,41,46,77.82,7760001A,0.1040456277706696
938,37,42,660.45,2780002A,0.9989058053137171
941,41,46,77.82,9001049A,0.9998868520881689
943,41,46,77.82,9007985A,0.996155295159768
944,37,42,660.45,1000004A,1.0000000000000002
945,37,42,660.45,9007697A,1.0000000000000002
946,37,42,660.45,9001367B,0.9993826675537899
948,37,42,660.45,9003468A,0.9992554956641839
950,37,42,660.45,9005925A,1.0000000000000002
951,37,42,660.45,9005833A,0.5075880326654557
952,47,51,65.54,9005833A,0.4924119673344811
953,37,42,660.45,9007689A,0.9999999999999994
954,37,42,660.45,9005827A,0.9987860195369923
956,37,42,660.45,9002766A,0.9999999999999999
957,37,42,660.45,9001307A,1.0000000000000004
958,37,42,660.45,9005927A,1.0
959,37,42,660.45,9001382A,1.0000000000000002
960,37,42,660.45,9007693D,0.9997793523580518
962,37,42,660.45,9001318A,0.999918792041876
964,37,42,660.45,9005918A,0.9999764018808968
966,37,42,660.45,9001316A,0.999999999999999
