President of the United States Presidential Preference - DEMOCRATIC - Vote for ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
102002,,,,,,,0,,,,,,,,,,15,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
102003,,,,,,,1,,,,,,,,,,21,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
102005,,,,,,,5,,,,,,,,,,46,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
102007,,,,,,,5,,,,,,,,,,18,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103001,,,,,,,7,,,,,,,,,,147,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103002,,,,,,,35,,,,,,,,,,153,,,,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103003,,,,,,,17,,,,,,,,,,115,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
103004,,,,,,,7,,,,,,,,,,68,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103005,,,,,,,14,,,,,,,,,,164,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103009,,,,,,,15,,,,,,,,,,108,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103016,,,,,,,8,,,,,,,,,,96,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103026,,,,,,,17,,,,,,,,,,147,,,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
104001,,,,,,,6,,,,,,,,,,49,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
104004,,,,,,,2,,,,,,,,,,16,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
105002,,,,,,,17,,,,,,,,,,33,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
105003,,,,,,,3,,,,,,,,,,11,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
