President of the United States Presidential Preference - DEMOCRATIC - Vote for ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
131003,,,,,,,1,,,,,,,,,,11,,,,0,,,,,5,,,,,0,,,0,,,14,,,,0,,,,0,,,,
131005,,,,,,,2,,,,,,,,,,24,,,,0,,,,,3,,,,,0,,,0,,,17,,,,0,,,,0,,,,
132002,,,,,,,19,,,,,,,,,,86,,,,0,,,,,5,,,,,0,,,0,,,70,,,,0,,,,0,,,,
901001,,,,,,,2,,,,,,,,,,3,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
902007,,,,,,,3,,,,,,,,,,12,,,,0,,,,,2,,,,,0,,,0,,,7,,,,0,,,,0,,,,
902010,,,,,,,0,,,,,,,,,,13,,,,0,,,,,2,,,,,0,,,0,,,2,,,,0,,,,0,,,,
903011,,,,,,,0,,,,,,,,,,17,,,,1,,,,,1,,,,,0,,,0,,,3,,,,0,,,,0,,,,
903027,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
903047,,,,,,,0,,,,,,,,,,2,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
904002,,,,,,,0,,,,,,,,,,12,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
905005,,,,,,,4,,,,,,,,,,10,,,,0,,,,,4,,,,,0,,,0,,,12,,,,0,,,,0,,,,
906002,,,,,,,0,,,,,,,,,,14,,,,0,,,,,0,,,,,0,,,0,,,3,,,,0,,,,0,,,,
906008,,,,,,,1,,,,,,,,,,8,,,,0,,,,,0,,,,,0,,,0,,,3,,,,0,,,,0,,,,
906010,,,,,,,0,,,,,,,,,,10,,,,0,,,,,1,,,,,0,,,0,,,4,,,,0,,,,0,,,,
906016,,,,,,,0,,,,,,,,,,1,,,,0,,,,,0,,,,,0,,,0,,,1,,,,0,,,,0,,,,
907001,,,,,,,0,,,,,,,,,,2,,,,0,,,,,0,,,,,0,,,0,,,2,,,,0,,,,0,,,,
907010,,,,,,,3,,,,,,,,,,13,,,,0,,,,,3,,,,,0,,,0,,,12,,,,0,,,,0,,,,
907011,,,,,,,4,,,,,,,,,,9,,,,0,,,,,3,,,,,0,,,1,,,9,,,,0,,,,1,,,,
908001,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
908003,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
910003,,,,,,,1,,,,,,,,,,10,,,,0,,,,,1,,,,,0,,,0,,,6,,,,0,,,,0,,,,
910017,,,,,,,0,,,,,,,,,,11,,,,0,,,,,3,,,,,0,,,0,,,2,,,,0,,,,0,,,,
911010,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
912003,,,,,,,0,,,,,,,,,,18,,,,1,,,,,0,,,,,0,,,0,,,10,,,,0,,,,0,,,,
912004,,,,,,,4,,,,,,,,,,14,,,,0,,,,,4,,,,,0,,,0,,,10,,,,0,,,,0,,,,
913002,,,,,,,0,,,,,,,,,,9,,,,0,,,,,0,,,,,0,,,0,,,13,,,,0,,,,0,,,,
914004,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
916002,,,,,,,0,,,,,,,,,,2,,,,0,,,,,0,,,,,0,,,0,,,1,,,,0,,,,0,,,,
917012,,,,,,,0,,,,,,,,,,9,,,,0,,,,,0,,,,,0,,,0,,,6,,,,0,,,,0,,,,
917049,,,,,,,0,,,,,,,,,,8,,,,0,,,,,0,,,,,0,,,0,,,5,,,,0,,,,0,,,,
917087,,,,,,,0,,,,,,,,,,3,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
917167,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
917191,,,,,,,0,,,,,,,,,,4,,,,0,,,,,0,,,,,0,,,0,,,2,,,,0,,,,0,,,,
917194,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
917196,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
917212,,,,,,,0,,,,,,,,,,1,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
917214,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
918003,,,,,,,2,,,,,,,,,,5,,,,0,,,,,2,,,,,0,,,0,,,4,,,,0,,,,0,,,,
919009,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
921009,,,,,,,0,,,,,,,,,,3,,,,0,,,,,0,,,,,0,,,0,,,1,,,,0,,,,0,,,,
923004,,,,,,,0,,,,,,,,,,6,,,,1,,,,,1,,,,,0,,,0,,,1,,,,0,,,,0,,,,
923015,,,,,,,4,,,,,,,,,,2,,,,0,,,,,1,,,,,0,,,0,,,2,,,,0,,,,0,,,,
923020,,,,,,,0,,,,,,,,,,15,,,,0,,,,,2,,,,,0,,,0,,,5,,,,0,,,,0,,,,
923022,,,,,,,0,,,,,,,,,,3,,,,0,,,,,0,,,,,0,,,1,,,0,,,,0,,,,0,,,,
924007,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
927011,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
928021,,,,,,,1,,,,,,,,,,0,,,,0,,,,,1,,,,,0,,,0,,,6,,,,0,,,,0,,,,
928023,,,,,,,0,,,,,,,,,,4,,,,0,,,,,0,,,,,0,,,0,,,1,,,,0,,,,0,,,,
928067,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
930003,,,,,,,0,,,,,,,,,,17,,,,0,,,,,0,,,,,0,,,0,,,1,,,,0,,,,0,,,,
932006,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,,
Mail Precinct Totals,,,,,,,32,,,,,,,,,,279,,,,3,,,,,32,,,,,0,,,2,,,140,,,,0,,,,1,,,,
Vote By Mail Totals,,,,,,,"1,120",,,,,,,,,,"15,134",,,,33,,,,,"1,449",,,,,37,,,112,,,"6,804",,,,17,,,,57,,,,
Election Day Totals,,,,,,,21,,,,,,,,,,"3,246",,,,9,,,,,80,,,,,5,,,21,,,894,,,,4,,,,8,,,,
Grand Totals,,,,,,,"1,173",,,,,,,,,,"18,659",,,,45,,,,,"1,561",,,,,42,,,135,,,"7,838",,,,21,,,,66,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Pete Buttigieg,,,,,Joseph R. Biden,,,,,,,Tulsi Gabbard,,,,,Mark Stewart Greenstein,,,,,,,,,,,,,,,,,,,,,,,,,
131003,,,,,,,3,,,,,,,,,,12,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
131005,,,,,,,2,,,,,,,,,,20,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
132002,,,,,,,13,,,,,,,,,,83,,,,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
901001,,,,,,,2,,,,,,,,,,2,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
902007,,,,,,,3,,,,,,,,,,11,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
902010,,,,,,,3,,,,,,,,,,4,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
903011,,,,,,,0,,,,,,,,,,4,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
903027,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
903047,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
904002,,,,,,,2,,,,,,,,,,11,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
905005,,,,,,,2,,,,,,,,,,12,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
906002,,,,,,,4,,,,,,,,,,12,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
906008,,,,,,,0,,,,,,,,,,3,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
906010,,,,,,,4,,,,,,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
906016,,,,,,,1,,,,,,,,,,1,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
907001,,,,,,,0,,,,,,,,,,5,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
907010,,,,,,,6,,,,,,,,,,10,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
907011,,,,,,,8,,,,,,,,,,11,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
908001,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
908003,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
910003,,,,,,,2,,,,,,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
910017,,,,,,,4,,,,,,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
911010,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
912003,,,,,,,3,,,,,,,,,,8,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
912004,,,,,,,0,,,,,,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
913002,,,,,,,7,,,,,,,,,,5,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
914004,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
916002,,,,,,,2,,,,,,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917012,,,,,,,0,,,,,,,,,,4,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917049,,,,,,,0,,,,,,,,,,5,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917087,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917167,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917191,,,,,,,0,,,,,,,,,,3,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917194,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917196,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917212,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
917214,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
918003,,,,,,,2,,,,,,,,,,2,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
919009,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
921009,,,,,,,0,,,,,,,,,,4,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
923004,,,,,,,0,,,,,,,,,,15,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
923015,,,,,,,1,,,,,,,,,,6,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
923020,,,,,,,2,,,,,,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
923022,,,,,,,0,,,,,,,,,,3,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
924007,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
927011,,,,,,,2,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
928021,,,,,,,1,,,,,,,,,,1,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
928023,,,,,,,0,,,,,,,,,,15,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
928067,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
930003,,,,,,,1,,,,,,,,,,5,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
932006,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Mail Precinct Totals,,,,,,,64,,,,,,,,,,210,,,,10,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail Totals,,,,,,,"2,446",,,,,,,,,,"10,965",,,,334,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
Election Day Totals,,,,,,,29,,,,,,,,,,"3,119",,,,63,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Grand Totals,,,,,,,"2,539",,,,,,,,,,"14,294",,,,407,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
