COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/05/2024,,,,,,,,,,,,,,
LOS ANGELES PRIM-CNC 14,Non Partisan,N,cc9373,1,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GENNY GUERRERO,TERESA Y HILLERY,YSABEL J JURADO,WENDY CARRILLO,EDUARDO VARGAS,MIGUEL SANTIAGO,KEVIN DE LEON,NADINE M DIAZ,
LOS ANGELES,9001280A,1291,238,N, ,POLLING PLACE,142,1,14,35,15,12,25,23,5, 
LOS ANGELES,9001280A,1291,238,N, ,VBM PORTION,569,17,48,171,45,18,135,77,8, 
LOS ANGELES,9001280A,1291,238,N,3511,TOTAL,711,18,62,206,60,30,160,100,13, 
LOS ANGELES,9001345A,1297,239,N, ,POLLING PLACE,187,6,47,35,15,6,27,21,6, 
LOS ANGELES,9001345A,1297,239,N, ,VBM PORTION,889,18,161,185,79,33,209,97,19, 
LOS ANGELES,9001345A,1297,239,N,4991,TOTAL,1076,24,208,220,94,39,236,118,25, 
LOS ANGELES,9001372A,1301,238,N, ,POLLING PLACE,29,1,2,7,3,0,7,1,0, 
LOS ANGELES,9001372A,1301,238,N, ,VBM PORTION,63,2,9,3,14,2,12,9,6, 
LOS ANGELES,9001372A,1301,238,N,1672,TOTAL,92,3,11,10,17,2,19,10,6, 
LOS ANGELES,9001410A,1304,195,N, ,POLLING PLACE,142,6,1,15,24,10,36,30,3, 
LOS ANGELES,9001410A,1304,195,N, ,VBM PORTION,362,10,10,31,56,9,112,111,9, 
LOS ANGELES,9001410A,1304,195,N,3031,TOTAL,504,16,11,46,80,19,148,141,12, 
LOS ANGELES,9001846A,1393,195,N, ,POLLING PLACE,108,7,3,13,17,8,17,30,7, 
LOS ANGELES,9001846A,1393,195,N, ,VBM PORTION,412,14,7,94,61,16,97,96,15, 
LOS ANGELES,9001846A,1393,195,N,2986,TOTAL,520,21,10,107,78,24,114,126,22, 
LOS ANGELES,9001851A,1394,195,N, ,POLLING PLACE,147,15,4,17,25,9,27,39,1, 
LOS ANGELES,9001851A,1394,195,N, ,VBM PORTION,320,4,11,61,47,17,84,77,4, 
LOS ANGELES,9001851A,1394,195,N,2809,TOTAL,467,19,15,78,72,26,111,116,5, 
LOS ANGELES,9001855B,1395,195,N, ,POLLING PLACE,133,9,4,19,22,9,32,24,7, 
LOS ANGELES,9001855B,1395,195,N, ,VBM PORTION,411,10,19,49,48,20,136,102,14, 
LOS ANGELES,9001855B,1395,195,N,2985,TOTAL,544,19,23,68,70,29,168,126,21, 
LOS ANGELES,9001862C,1396,195,N, ,POLLING PLACE,85,4,2,17,5,2,27,18,4, 
LOS ANGELES,9001862C,1396,195,N, ,VBM PORTION,484,6,22,118,58,12,150,62,17, 
LOS ANGELES,9001862C,1396,195,N,2307,TOTAL,569,10,24,135,63,14,177,80,21, 
LOS ANGELES,9001890B,1400,195,N, ,POLLING PLACE,165,5,10,45,24,7,31,23,5, 
LOS ANGELES,9001890B,1400,195,N, ,VBM PORTION,673,12,36,185,74,21,193,104,6, 
LOS ANGELES,9001890B,1400,195,N,3488,TOTAL,838,17,46,230,98,28,224,127,11, 
LOS ANGELES,9001895A,1401,195,N, ,POLLING PLACE,133,5,6,15,20,10,22,41,8, 
LOS ANGELES,9001895A,1401,195,N, ,VBM PORTION,402,6,6,41,40,12,149,117,17, 
