,District,area_col,Code,percent
78,1,4.1035298705508776e-05,9000597A,0.946057622931923
80,1,3.827954875821481e-05,9000833D,0.9999999999999988
81,1,7.68598935330255e-05,9000524A,0.9999999999999997
82,1,9.624516959159001e-05,9004090A,0.9999999999999984
83,1,5.086684992150188e-05,9002691A,0.9999999999999999
84,1,6.588240691173426e-05,9006319A,0.9559789960033042
86,1,4.11508774028133e-05,9002098A,0.9759615534490781
90,13,5.093873399864448e-05,9001685A,0.9999563070078803
91,1,1.9625992587153223e-05,9005012A,0.44527671174699474
92,10,1.8778200014719213e-05,9005012A,0.42604189917786905
93,13,5.671754038479939e-06,9005012A,0.12868138907507926
95,8,3.620374566548373e-05,9001739A,0.9999971895556159
97,10,4.640580651412081e-05,9002952A,0.9988140972764044
99,10,4.813782508811836e-05,9005401A,0.9959919332685983
101,10,5.111940644118672e-05,9001098A,0.9974924261776618
103,9,6.165039957234854e-05,9001929A,0.9977745870210836
104,1,4.399147044729564e-05,9000454A,0.9697055100910756
106,1,3.0685376130659904e-05,9000888A,0.9979846249268067
109,8,3.1879116090342665e-05,9001920A,0.9932922347311878
112,9,9.671166349798838e-05,9001046A,0.9701390721248595
114,1,3.237533373612981e-05,9003952A,0.9991610877449434
116,1,3.04880681959271e-05,9005400A,0.750366315832398
117,10,1.0142844403218304e-05,9005400A,0.24963368416766102
118,1,2.548432416159621e-05,9001309A,0.9977026678177024
121,1,2.522059279334813e-05,9003645A,0.934169500242307
123,1,4.0246245908177915e-05,9000517A,0.9981322642321709
125,1,5.6309553410857815e-05,9001875A,0.9999665172477957
127,1,6.835296582130211e-05,9000053A,1.0000000000000007
128,1,2.0829347107025953e-05,9005014A,0.99502323629942
131,1,5.145572287365249e-05,9005769B,0.9696789100862515
134,1,3.746127238539704e-05,9005757A,1.0000000000000009
135,1,3.381265314261453e-05,9001913C,0.9792995051478468
137,1,4.567392755225659e-05,9001678A,0.9999999999999994
138,1,3.747385069223014e-05,9001499A,0.9999999999999997
139,1,2.3900624848870736e-05,9001592A,0.9999425965022227
141,1,4.6917722739731755e-05,9001536A,0.9687402897978377
143,1,3.1591822363036605e-05,9000957C,0.9999999999999998
144,1,5.016519129105134e-05,9001742A,1.0000000000000007
145,1,3.227830038914189e-05,9001114A,0.9973735351101858
148,13,3.6461950080875974e-05,9000919A,0.9959000215604714
150,13,5.6242647241972096e-05,9000970A,0.9976982897965416
152,14,8.168333049147468e-05,9000243A,0.9999937761351779
154,13,7.722514404259595e-05,9000918A,0.9995153740853921
156,14,0.0003552482704143249,9005105B,0.9080986737142823
158,13,4.492691272451869e-05,9000941B,0.9972505511272739
159,1,0.0001761821593028028,9000795A,0.9847193921668448
161,1,1.0169143879505297e-06,9002625A,1.0000000000000002
163,14,0.00011122702799730742,9003185A,0.999391547640584
166,13,7.97182125395982e-05,9000466A,0.9980018023460425
168,13,6.862957746537807e-05,9000819A,0.998254790177582
170,13,2.6800171568971283e-06,9005541D,0.9718293017248906
173,9,3.344341104301882e-05,9001956A,0.9978832052780143
175,6,2.5213299867758846e-05,9007341A,0.9640176134488507
178,6,9.711184320132139e-05,9000140A,0.99895551026408
180,6,0.00013287429772274414,9000405A,0.9998031206593028
182,6,5.351691153056274e-05,9002318A,0.9965091548063226
184,6,0.00011224199933798248,9000110A,0.9985440283693306
186,6,6.962790289013015e-05,9000137B,0.9994069947778217
188,6,0.0001350522898515487,9000460A,0.9999999445797954
190,6,9.020608918189637e-05,9000508A,0.9996671589905659
192,6,0.0004747124500020715,9005638A,0.9998514711189277
194,6,0.00013135076808034934,9000089A,0.9989783669707933
196,6,0.0001420705546528955,9000737B,0.9998169577889177
198,6,8.672653986451192e-05,9000496A,0.9977385459676875
200,6,5.663420564847554e-05,9005188A,0.9967063974868967
202,6,7.120207091810571e-05,9001640A,0.997710331106289
203,2,8.347086526594137e-05,9000566A,0.9999999999999997
204,2,6.639511514456121e-05,9005140A,0.9999999999999998
205,2,8.136586317983038e-05,9000563A,0.9999999999999998
206,2,9.422571042197953e-05,9000377A,0.9999999999999997
207,2,6.801673970545045e-05,9000606A,0.9999999999999996
208,2,7.118250575123748e-05,9007101E,1.0
209,2,8.154725895221869e-05,9000553D,1.0000000000000009
210,2,7.570839387974113e-05,9000135B,0.9999999999999998
211,2,9.420219611656154e-05,9000562A,1.0000000000000002
212,2,6.365832608039107e-05,9000980A,1.0
213,2,6.317946689549124e-05,9000385A,1.0000000000000004
214,2,6.903484233934876e-05,9000569C,0.9999999999999994
215,2,0.00012690449883563326,9000575A,0.9999999999999998
216,2,7.76914662654118e-05,9000214A,0.9999999999999998
217,2,5.3492355648913574e-05,9000142A,1.0000000000000002
218,2,4.37933572139765e-05,9000773B,0.9999999999999999
219,2,5.2486325746894904e-05,9005530A,0.9999999999999999
222,2,7.525476810512308e-05,9007346A,0.9986304640597367
223,2,7.943107704140989e-05,9001002B,0.9868394163558649
225,2,3.1027619046242774e-05,9000990A,0.9999999999999993
226,2,4.3605511682810455e-05,9000988A,1.0000000000000002
227,2,5.152432461608101e-05,9001167A,0.6277349989703384
