Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 US Representative 20th Congressional District,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - ADAM BOLAÑOS SCOW,DEM - JIMMY PANETTA,,REP - JEFF GORMAN,Write In,,
20020,Polling Place,1662,208,12.52 %,,,33,126,,45,,,
20020,Total,1662,829,49.88 %,,,119,508,,190,1,,
20041,Vote by Mail,1078,462,42.86 %,,,46,287,,118,,,
20041,Polling Place,1078,184,17.07 %,,,30,105,,44,,,
20041,Total,1078,646,59.93 %,,,76,392,,162,,,
20044,Vote by Mail,1000,458,45.80 %,,,71,273,,109,,,
20044,Polling Place,1000,212,21.20 %,,,28,128,,45,1,,
20044,Total,1000,670,67.00 %,,,99,401,,154,1,,
20061,Vote by Mail,854,394,46.14 %,,,45,243,,97,3,,
20061,Polling Place,854,201,23.54 %,,,17,133,,48,,,
20061,Total,854,595,69.67 %,,,62,376,,145,3,,
20096,Vote by Mail,9,7,77.78 %,,,2,3,,2,,,
20096,Polling Place,9,1,11.11 %,,,,1,,,,,
20096,Total,9,8,88.89 %,,,2,4,,2,,,
20101,Vote by Mail,1147,539,46.99 %,,,47,344,,137,,,
20101,Polling Place,1147,187,16.30 %,,,38,107,,34,,,
20101,Total,1147,726,63.30 %,,,85,451,,171,,,
20150,Vote by Mail,691,295,42.69 %,,,49,171,,60,,,
20150,Polling Place,691,158,22.87 %,,,32,90,,32,,,
20150,Total,691,453,65.56 %,,,81,261,,92,,,
20221,Vote by Mail,1437,667,46.42 %,,,80,452,,113,,,
20221,Polling Place,1437,308,21.43 %,,,54,196,,47,,,
20221,Total,1437,975,67.85 %,,,134,648,,160,,,
20232,Vote by Mail,1226,599,48.86 %,,,62,399,,120,1,,
20232,Polling Place,1226,258,21.04 %,,,28,180,,38,,,
