Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1 Presidential Preference GRN,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DAVID ROLDE,HOWIE HAWKINS,,DARIO HUNTER,DENNIS LAMBERT,SEDINAM MOYOWASIFZA-CURRY,Write In,Kent Mesplay,,
12030,Polling Place,9,0,0.00 %,,,,,,,,,,,,
12030,Total,9,4,44.44 %,,,,,,,1,1,2,,,
14110,Vote by Mail,0,0,,,,,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,,,,,
14110,Total,0,0,,,,,,,,,,,,,
14121,Vote by Mail,7,1,14.29 %,,,,,,,,,1,,,
14121,Polling Place,7,1,14.29 %,,,,,,,,1,,,,
14121,Total,7,2,28.57 %,,,,,,,,1,1,,,
14123,Vote by Mail,0,0,,,,,,,,,,,,,
14123,Polling Place,0,0,,,,,,,,,,,,,
14123,Total,0,0,,,,,,,,,,,,,
14133,Vote by Mail,0,0,,,,,,,,,,,,,
14133,Polling Place,0,0,,,,,,,,,,,,,
14133,Total,0,0,,,,,,,,,,,,,
14141,Vote by Mail,0,0,,,,,,,,,,,,,
14141,Polling Place,0,0,,,,,,,,,,,,,
14141,Total,0,0,,,,,,,,,,,,,
20011,Vote by Mail,10,0,0.00 %,,,,,,,,,,,,
20011,Polling Place,10,1,10.00 %,,,,1,,,,,,,,
20011,Total,10,1,10.00 %,,,,1,,,,,,,,
20013,Vote by Mail,2,1,50.00 %,,,,,,,,,1,,,
20013,Polling Place,2,0,0.00 %,,,,,,,,,,,,
20013,Total,2,1,50.00 %,,,,,,,,,1,,,
20020,Vote by Mail,13,0,0.00 %,,,,,,,,,,,,
20020,Polling Place,13,1,7.69 %,,,,,,1,,,,,,
20020,Total,13,1,7.69 %,,,,,,1,,,,,,
20041,Vote by Mail,10,3,30.00 %,,,,,,,,,1,,,
20041,Polling Place,10,3,30.00 %,,,1,,,,,,,,,
20041,Total,10,6,60.00 %,,,1,,,,,,1,,,
20044,Vote by Mail,6,3,50.00 %,,,,,,1,,,1,,,
20044,Polling Place,6,1,16.67 %,,,,,,,,,1,,,
20044,Total,6,4,66.67 %,,,,,,1,,,2,,,
20061,Vote by Mail,3,1,33.33 %,,,,,,,1,,,,,
20061,Polling Place,3,0,0.00 %,,,,,,,,,,,,
20061,Total,3,1,33.33 %,,,,,,,1,,,,,
20093,Vote by Mail,0,0,,,,,,,,,,,,,
20093,Polling Place,0,0,,,,,,,,,,,,,
20093,Total,0,0,,,,,,,,,,,,,
20096,Vote by Mail,0,0,,,,,,,,,,,,,
20096,Polling Place,0,0,,,,,,,,,,,,,
20096,Total,0,0,,,,,,,,,,,,,
20101,Vote by Mail,12,2,16.67 %,,,,,,,,,1,,,
20101,Polling Place,12,3,25.00 %,,,,,,1,,1,1,,,
20101,Total,12,5,41.67 %,,,,,,1,,1,2,,,
20150,Vote by Mail,8,3,37.50 %,,,,,,,1,,,,,
20150,Polling Place,8,2,25.00 %,,,,,,,,2,,,,
20150,Total,8,5,62.50 %,,,,,,,1,2,,,,
20221,Vote by Mail,16,5,31.25 %,,,,,,1,1,,1,,,
20221,Polling Place,16,1,6.25 %,,,,1,,,,,,,,
20221,Total,16,6,37.50 %,,,,1,,1,1,,1,,,
20232,Vote by Mail,3,1,33.33 %,,,,1,,,,,,,,
20232,Polling Place,3,0,0.00 %,,,,,,,,,,,,
20232,Total,3,1,33.33 %,,,,1,,,,,,,,
20241,Vote by Mail,2,1,50.00 %,,,,,,,,,,,,
20241,Polling Place,2,0,0.00 %,,,,,,,,,,,,
20241,Total,2,1,50.00 %,,,,,,,,,,,,
20242,Vote by Mail,7,0,0.00 %,,,,,,,,,,,,
20242,Polling Place,7,1,14.29 %,,,,,,,,,,,,
20242,Total,7,1,14.29 %,,,,,,,,,,,,
20251,Vote by Mail,11,5,45.45 %,,,,,,2,,,,,,
20251,Polling Place,11,1,9.09 %,,,,,,1,,,,,,
20251,Total,11,6,54.55 %,,,,,,3,,,,,,
20253,Vote by Mail,1,1,100.00 %,,,,,,,,,1,,,
20253,Polling Place,1,0,0.00 %,,,,,,,,,,,,
20253,Total,1,1,100.00 %,,,,,,,,,1,,,
20260,Vote by Mail,7,2,28.57 %,,,,1,,,,,1,,,
20260,Polling Place,7,0,0.00 %,,,,,,,,,,,,
20260,Total,7,2,28.57 %,,,,1,,,,,1,,,
20280,Vote by Mail,9,0,0.00 %,,,,,,,,,,,,
20280,Polling Place,9,0,0.00 %,,,,,,,,,,,,
20280,Total,9,0,0.00 %,,,,,,,,,,,,
20300,Vote by Mail,9,3,33.33 %,,,1,,,,,,,,,
20300,Polling Place,9,1,11.11 %,,,,,,,,,,,,
20300,Total,9,4,44.44 %,,,1,,,,,,,,,
20320,Vote by Mail,14,5,35.71 %,,,,4,,,,,,,,
20320,Polling Place,14,2,14.29 %,,,,,,,,1,1,,,
20320,Total,14,7,50.00 %,,,,4,,,,1,1,,,
20330,Vote by Mail,7,1,14.29 %,,,,,,,,,,,,
20330,Polling Place,7,1,14.29 %,,,,,,,,,1,,,
20330,Total,7,2,28.57 %,,,,,,,,,1,,,
20341,Vote by Mail,3,0,0.00 %,,,,,,,,,,,,
20341,Polling Place,3,1,33.33 %,,,,,,,,,1,,,
20341,Total,3,1,33.33 %,,,,,,,,,1,,,
20351,Vote by Mail,11,3,27.27 %,,,,,,,,1,1,,,
20351,Polling Place,11,2,18.18 %,,,,,,,1,,,,,
20351,Total,11,5,45.45 %,,,,,,,1,1,1,,,
20354,Vote by Mail,4,1,25.00 %,,,,,,,,1,,,,
20354,Polling Place,4,2,50.00 %,,,,1,,,1,,,,,
20354,Total,4,3,75.00 %,,,,1,,,1,1,,,,
20402,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,
20402,Polling Place,1,0,0.00 %,,,,,,,,,,,,
20402,Total,1,0,0.00 %,,,,,,,,,,,,
20520,Vote by Mail,2,1,50.00 %,,,,,,,,,1,,,
20520,Polling Place,2,0,0.00 %,,,,,,,,,,,,
20520,Total,2,1,50.00 %,,,,,,,,,1,,,
20551,Vote by Mail,8,2,25.00 %,,,,1,,,,,,,,
20551,Polling Place,8,2,25.00 %,,,,,,,2,,,,,
20551,Total,8,4,50.00 %,,,,1,,,2,,,,,
20591,Vote by Mail,0,0,,,,,,,,,,,,,
20591,Polling Place,0,0,,,,,,,,,,,,,
20591,Total,0,0,,,,,,,,,,,,,
20622,Vote by Mail,0,0,,,,,,,,,,,,,
