Santa Cruz,,,,,,,,,Precinct Canvass,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1 State Senator 17th District,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - JOHN LAIRD,DEM - MARIA CADENAS,,REP - VICKI NOHRDEN,DEM - JOHN M. NEVILL,Write In,,
20251,Total,1208,814,67.38 %,,,457,123,,168,21,,,
20253,Vote by Mail,16,13,81.25 %,,,10,1,,1,,,,
20253,Polling Place,16,1,6.25 %,,,,,,,,,,
20253,Total,16,14,87.50 %,,,10,1,,1,,,,
20260,Vote by Mail,1315,589,44.79 %,,,355,94,,85,13,1,,
20260,Polling Place,1315,282,21.44 %,,,155,41,,49,12,1,,
20260,Total,1315,871,66.24 %,,,510,135,,134,25,2,,
20280,Vote by Mail,1684,777,46.14 %,,,409,130,,164,19,,,
20280,Polling Place,1684,322,19.12 %,,,171,59,,57,10,,,
20280,Total,1684,1099,65.26 %,,,580,189,,221,29,,,
20300,Vote by Mail,1352,613,45.34 %,,,365,101,,106,15,,,
20300,Polling Place,1352,281,20.78 %,,,153,38,,61,8,,,
20300,Total,1352,894,66.12 %,,,518,139,,167,23,,,
20320,Vote by Mail,1553,808,52.03 %,,,466,101,,192,13,1,,
20320,Polling Place,1553,310,19.96 %,,,175,47,,65,6,,,
20320,Total,1553,1118,71.99 %,,,641,148,,257,19,1,,
20330,Vote by Mail,1370,630,45.99 %,,,358,91,,126,10,1,,
20330,Polling Place,1370,270,19.71 %,,,154,37,,54,13,,,
20330,Total,1370,900,65.69 %,,,512,128,,180,23,1,,
20341,Vote by Mail,639,295,46.17 %,,,161,42,,72,5,,,
20341,Polling Place,639,128,20.03 %,,,70,17,,29,5,,,
20341,Total,639,423,66.20 %,,,231,59,,101,10,,,
20351,Vote by Mail,1234,523,42.38 %,,,328,66,,93,11,1,,
20351,Polling Place,1234,345,27.96 %,,,215,47,,49,14,1,,
20351,Total,1234,868,70.34 %,,,543,113,,142,25,2,,
20354,Vote by Mail,1198,607,50.67 %,,,310,71,,175,11,,,
20354,Polling Place,1198,202,16.86 %,,,121,27,,41,4,1,,
20354,Total,1198,809,67.53 %,,,431,98,,216,15,1,,
20402,Vote by Mail,950,444,46.74 %,,,232,62,,111,14,,,
20402,Polling Place,950,183,19.26 %,,,89,27,,51,5,,,
20402,Total,950,627,66.00 %,,,321,89,,162,19,,,
20520,Vote by Mail,1297,702,54.12 %,,,403,64,,174,14,,,
20520,Polling Place,1297,222,17.12 %,,,127,29,,43,7,1,,
20520,Total,1297,924,71.24 %,,,530,93,,217,21,1,,
20551,Vote by Mail,1199,561,46.79 %,,,306,80,,141,15,1,,
20551,Polling Place,1199,299,24.94 %,,,171,31,,72,7,,,
20551,Total,1199,860,71.73 %,,,477,111,,213,22,1,,
20591,Vote by Mail,0,0,,,,,,,,,,,
20591,Polling Place,0,0,,,,,,,,,,,
20591,Total,0,0,,,,,,,,,,,
20622,Vote by Mail,0,0,,,,,,,,,,,
20622,Polling Place,0,0,,,,,,,,,,,
20622,Total,0,0,,,,,,,,,,,
22010,Vote by Mail,1274,635,49.84 %,,,341,92,,140,14,2,,
22010,Polling Place,1274,216,16.95 %,,,100,49,,43,6,,,
22010,Total,1274,851,66.80 %,,,441,141,,183,20,2,,
22040,Vote by Mail,1025,501,48.88 %,,,264,78,,108,12,,,
22040,Polling Place,1025,208,20.29 %,,,108,36,,37,6,,,
22040,Total,1025,709,69.17 %,,,372,114,,145,18,,,
22050,Vote by Mail,1809,844,46.66 %,,,472,137,,161,16,1,,
22050,Polling Place,1809,317,17.52 %,,,194,52,,38,9,3,,
22050,Total,1809,1161,64.18 %,,,666,189,,199,25,4,,
23190,Vote by Mail,0,0,,,,,,,,,,,
23190,Polling Place,0,0,,,,,,,,,,,
23190,Total,0,0,,,,,,,,,,,
23311,Vote by Mail,2057,719,34.95 %,,,286,278,,98,26,3,,
23311,Polling Place,2057,172,8.36 %,,,52,80,,31,4,,,
23311,Total,2057,891,43.32 %,,,338,358,,129,30,3,,
23312,Vote by Mail,1407,410,29.14 %,,,156,170,,48,20,,,
23312,Polling Place,1407,156,11.09 %,,,61,65,,16,10,,,
23312,Total,1407,566,40.23 %,,,217,235,,64,30,,,
23492,Vote by Mail,0,0,,,,,,,,,,,
23492,Polling Place,0,0,,,,,,,,,,,
23492,Total,0,0,,,,,,,,,,,
