Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference DEM,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,Write In,Nakia L. Anthony,,Daphne Denise Bradford,Willie Felix Carter,Michael Dename,Jeffrey H. Drobman,Robert Jordan,Heather Marie Stagg,,
20221,Total,1437,716,49.83 %,,,1,,,,,,,,,,
20232,Vote by Mail,1226,430,35.07 %,,,,,,,,,,,,,
20232,Polling Place,1226,208,16.97 %,,,,,,,,,,,,,
20232,Total,1226,638,52.04 %,,,,,,,,,,,,,
20241,Vote by Mail,90,40,44.44 %,,,,,,,,,,,,,
20241,Polling Place,90,3,3.33 %,,,,,,,,,,,,,
20241,Total,90,43,47.78 %,,,,,,,,,,,,,
20242,Vote by Mail,1397,485,34.72 %,,,,,,,,,,,,,
20242,Polling Place,1397,225,16.11 %,,,,,,,,,,,,,
20242,Total,1397,710,50.82 %,,,,,,,,,,,,,
20251,Vote by Mail,1208,370,30.63 %,,,,,,,,,,,,,
20251,Polling Place,1208,220,18.21 %,,,1,,,,,,,,,,
20251,Total,1208,590,48.84 %,,,1,,,,,,,,,,
20253,Vote by Mail,16,12,75.00 %,,,,,,,,,,,,,
20253,Polling Place,16,1,6.25 %,,,,,,,,,,,,,
20253,Total,16,13,81.25 %,,,,,,,,,,,,,
20260,Vote by Mail,1315,456,34.68 %,,,,,,,,,,,,,
20260,Polling Place,1315,242,18.40 %,,,,,,,,,,,,,
20260,Total,1315,698,53.08 %,,,,,,,,,,,,,
20280,Vote by Mail,1684,575,34.14 %,,,1,,,,,,,,,,
20280,Polling Place,1684,269,15.97 %,,,,,,,,,,,,,
20280,Total,1684,844,50.12 %,,,1,,,,,,,,,,
20300,Vote by Mail,1352,449,33.21 %,,,3,,,,,,,,,,
20300,Polling Place,1352,221,16.35 %,,,1,,,,,,,,,,
20300,Total,1352,670,49.56 %,,,4,,,,,,,,,,
20320,Vote by Mail,1553,557,35.87 %,,,,,,,,,,,,,
20320,Polling Place,1553,249,16.03 %,,,,,,,,,,,,,
20320,Total,1553,806,51.90 %,,,,,,,,,,,,,
20330,Vote by Mail,1370,468,34.16 %,,,,,,,,,,,,,
20330,Polling Place,1370,218,15.91 %,,,,,,,,,,,,,
20330,Total,1370,686,50.07 %,,,,,,,,,,,,,
20341,Vote by Mail,639,197,30.83 %,,,,,,,,,,,,,
20341,Polling Place,639,101,15.81 %,,,1,,,,,,,,,,
20341,Total,639,298,46.64 %,,,1,,,,,,,,,,
20351,Vote by Mail,1234,392,31.77 %,,,3,,,,,,,,,,
20351,Polling Place,1234,285,23.10 %,,,,,,,,,,,,,
20351,Total,1234,677,54.86 %,,,3,,,,,,,,,,
