Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Total,435,"1,689",,0,0.00%,0,0.00%,35,8.20%,,0,0.00%,3,0.70%,,1,0.23%,0,0.00%,14,3.28%,126,29.51%,0,0.00%,24,5.62%,0,0.00%,0,0.00%,57,13.35%,0,0.00%,0,0.00%,30,7.03%,130,30.44%,4,0.94%,3,0.70%,427,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,138,"1,684",,1,0.74%,0,0.00%,15,11.11%,,0,0.00%,1,0.74%,,0,0.00%,1,0.74%,1,0.74%,51,37.78%,1,0.74%,3,2.22%,0,0.00%,0,0.00%,7,5.19%,0,0.00%,0,0.00%,1,0.74%,50,37.04%,3,2.22%,0,0.00%,135,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,353,"1,684",,0,0.00%,0,0.00%,42,12.14%,,0,0.00%,6,1.73%,,0,0.00%,2,0.58%,10,2.89%,90,26.01%,1,0.29%,26,7.51%,0,0.00%,1,0.29%,40,11.56%,0,0.00%,0,0.00%,15,4.34%,112,32.37%,1,0.29%,0,0.00%,346,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,684",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,491,"1,684",,1,0.21%,0,0.00%,57,11.85%,,0,0.00%,7,1.46%,,0,0.00%,3,0.62%,11,2.29%,141,29.31%,2,0.42%,29,6.03%,0,0.00%,1,0.21%,47,9.77%,0,0.00%,0,0.00%,16,3.33%,162,33.68%,4,0.83%,0,0.00%,481,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,70,911,,0,0.00%,0,0.00%,6,8.57%,,0,0.00%,1,1.43%,,0,0.00%,0,0.00%,0,0.00%,30,42.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,5.71%,0,0.00%,0,0.00%,0,0.00%,29,41.43%,0,0.00%,0,0.00%,70,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,162,911,,3,1.89%,1,0.63%,13,8.18%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,7,4.40%,54,33.96%,1,0.63%,6,3.77%,0,0.00%,1,0.63%,9,5.66%,0,0.00%,0,0.00%,16,10.06%,45,28.30%,3,1.89%,0,0.00%,159,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,911,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,232,911,,3,1.31%,1,0.44%,19,8.30%,,0,0.00%,1,0.44%,,0,0.00%,0,0.00%,7,3.06%,84,36.68%,1,0.44%,6,2.62%,0,0.00%,1,0.44%,13,5.68%,0,0.00%,0,0.00%,16,6.99%,74,32.31%,3,1.31%,0,0.00%,229,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,81,"1,314",,0,0.00%,0,0.00%,4,4.94%,,0,0.00%,1,1.23%,,0,0.00%,0,0.00%,0,0.00%,36,44.44%,0,0.00%,1,1.23%,0,0.00%,0,0.00%,12,14.81%,0,0.00%,1,1.23%,0,0.00%,25,30.86%,0,0.00%,1,1.23%,81,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,236,"1,314",,3,1.29%,0,0.00%,13,5.58%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,4,1.72%,98,42.06%,1,0.43%,15,6.44%,0,0.00%,0,0.00%,30,12.88%,0,0.00%,0,0.00%,10,4.29%,57,24.46%,2,0.86%,0,0.00%,233,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,314",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,317,"1,314",,3,0.96%,0,0.00%,17,5.41%,,0,0.00%,1,0.32%,,0,0.00%,0,0.00%,4,1.27%,134,42.68%,1,0.32%,16,5.10%,0,0.00%,0,0.00%,42,13.38%,0,0.00%,1,0.32%,10,3.18%,82,26.11%,2,0.64%,1,0.32%,314,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,54,738,,0,0.00%,0,0.00%,3,5.66%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,29,54.72%,0,0.00%,1,1.89%,0,0.00%,0,0.00%,5,9.43%,0,0.00%,0,0.00%,0,0.00%,14,26.42%,1,1.89%,0,0.00%,53,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,129,738,,3,2.34%,0,0.00%,2,1.56%,,0,0.00%,1,0.78%,,0,0.00%,0,0.00%,0,0.00%,70,54.69%,0,0.00%,5,3.91%,0,0.00%,0,0.00%,12,9.38%,0,0.00%,0,0.00%,1,0.78%,33,25.78%,1,0.78%,0,0.00%,128,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,738,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,183,738,,3,1.66%,0,0.00%,5,2.76%,,0,0.00%,1,0.55%,,0,0.00%,0,0.00%,0,0.00%,99,54.70%,0,0.00%,6,3.31%,0,0.00%,0,0.00%,17,9.39%,0,0.00%,0,0.00%,1,0.55%,47,25.97%,2,1.10%,0,0.00%,181,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,58,"1,135",,1,1.75%,0,0.00%,4,7.02%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,31,54.39%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,3.51%,0,0.00%,0,0.00%,0,0.00%,19,33.33%,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,223,"1,135",,1,0.45%,0,0.00%,13,5.83%,,0,0.00%,2,0.90%,,1,0.45%,0,0.00%,2,0.90%,100,44.84%,0,0.00%,5,2.24%,0,0.00%,0,0.00%,26,11.66%,0,0.00%,0,0.00%,5,2.24%,67,30.04%,1,0.45%,0,0.00%,223,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,135",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,281,"1,135",,2,0.71%,0,0.00%,17,6.07%,,0,0.00%,2,0.71%,,1,0.36%,0,0.00%,2,0.71%,131,46.79%,0,0.00%,5,1.79%,0,0.00%,0,0.00%,28,10.00%,0,0.00%,0,0.00%,5,1.79%,86,30.71%,1,0.36%,0,0.00%,280,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,111,"1,534",,0,0.00%,0,0.00%,6,5.61%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,70,65.42%,0,0.00%,1,0.93%,0,0.00%,0,0.00%,8,7.48%,1,0.93%,0,0.00%,0,0.00%,21,19.63%,0,0.00%,0,0.00%,107,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,285,"1,534",,2,0.71%,0,0.00%,12,4.27%,,0,0.00%,3,1.07%,,0,0.00%,1,0.36%,1,0.36%,152,54.09%,0,0.00%,7,2.49%,0,0.00%,0,0.00%,38,13.52%,2,0.71%,0,0.00%,5,1.78%,58,20.64%,0,0.00%,0,0.00%,281,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,534",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,396,"1,534",,2,0.52%,0,0.00%,18,4.64%,,0,0.00%,3,0.77%,,0,0.00%,1,0.26%,1,0.26%,222,57.22%,0,0.00%,8,2.06%,0,0.00%,0,0.00%,46,11.86%,3,0.77%,0,0.00%,5,1.29%,79,20.36%,0,0.00%,0,0.00%,388,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,64,796,,0,0.00%,0,0.00%,4,6.67%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,30,50.00%,0,0.00%,1,1.67%,0,0.00%,1,1.67%,8,13.33%,0,0.00%,0,0.00%,0,0.00%,16,26.67%,0,0.00%,0,0.00%,60,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,178,796,,1,0.57%,0,0.00%,11,6.29%,,0,0.00%,1,0.57%,,0,0.00%,0,0.00%,3,1.71%,72,41.14%,0,0.00%,12,6.86%,0,0.00%,0,0.00%,22,12.57%,0,0.00%,0,0.00%,8,4.57%,44,25.14%,1,0.57%,0,0.00%,175,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,796,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,242,796,,1,0.43%,0,0.00%,15,6.38%,,0,0.00%,1,0.43%,,0,0.00%,0,0.00%,3,1.28%,102,43.40%,0,0.00%,13,5.53%,0,0.00%,1,0.43%,30,12.77%,0,0.00%,0,0.00%,8,3.40%,60,25.53%,1,0.43%,0,0.00%,235,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,132,"1,757",,2,1.54%,0,0.00%,6,4.62%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,72,55.38%,0,0.00%,2,1.54%,0,0.00%,0,0.00%,15,11.54%,0,0.00%,1,0.77%,0,0.00%,32,24.62%,0,0.00%,0,0.00%,130,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,275,"1,757",,0,0.00%,1,0.37%,20,7.41%,,0,0.00%,7,2.59%,,0,0.00%,0,0.00%,3,1.11%,112,41.48%,0,0.00%,11,4.07%,0,0.00%,0,0.00%,31,11.48%,0,0.00%,0,0.00%,18,6.67%,64,23.70%,3,1.11%,0,0.00%,270,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,757",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,407,"1,757",,2,0.50%,1,0.25%,26,6.50%,,0,0.00%,7,1.75%,,0,0.00%,0,0.00%,3,0.75%,184,46.00%,0,0.00%,13,3.25%,0,0.00%,0,0.00%,46,11.50%,0,0.00%,1,0.25%,18,4.50%,96,24.00%,3,0.75%,0,0.00%,400,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,88,"1,542",,0,0.00%,0,0.00%,1,1.18%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,54,63.53%,0,0.00%,2,2.35%,0,0.00%,0,0.00%,6,7.06%,0,0.00%,0,0.00%,0,0.00%,22,25.88%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,252,"1,542",,1,0.41%,0,0.00%,14,5.74%,,1,0.41%,3,1.23%,,0,0.00%,0,0.00%,4,1.64%,115,47.13%,0,0.00%,4,1.64%,0,0.00%,0,0.00%,25,10.25%,0,0.00%,0,0.00%,5,2.05%,72,29.51%,0,0.00%,0,0.00%,244,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,542",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,340,"1,542",,1,0.30%,0,0.00%,15,4.56%,,1,0.30%,3,0.91%,,0,0.00%,0,0.00%,4,1.22%,169,51.37%,0,0.00%,6,1.82%,0,0.00%,0,0.00%,31,9.42%,0,0.00%,0,0.00%,5,1.52%,94,28.57%,0,0.00%,0,0.00%,329,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,57,853,,0,0.00%,0,0.00%,4,7.02%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,33,57.89%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,3.51%,0,0.00%,0,0.00%,1,1.75%,17,29.82%,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,164,853,,0,0.00%,0,0.00%,12,7.64%,,3,1.91%,0,0.00%,,2,1.27%,0,0.00%,8,5.10%,56,35.67%,0,0.00%,5,3.18%,0,0.00%,0,0.00%,26,16.56%,1,0.64%,0,0.00%,9,5.73%,34,21.66%,0,0.00%,1,0.64%,157,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,853,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,221,853,,0,0.00%,0,0.00%,16,7.48%,,3,1.40%,0,0.00%,,2,0.93%,0,0.00%,8,3.74%,89,41.59%,0,0.00%,5,2.34%,0,0.00%,0,0.00%,28,13.08%,1,0.47%,0,0.00%,10,4.67%,51,23.83%,0,0.00%,1,0.47%,214,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,110,"1,612",,0,0.00%,0,0.00%,4,3.88%,,0,0.00%,1,0.97%,,0,0.00%,0,0.00%,1,0.97%,56,54.37%,0,0.00%,1,0.97%,0,0.00%,0,0.00%,12,11.65%,0,0.00%,0,0.00%,0,0.00%,28,27.18%,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,294,"1,612",,0,0.00%,0,0.00%,19,6.53%,,0,0.00%,0,0.00%,,0,0.00%,1,0.34%,5,1.72%,136,46.74%,0,0.00%,8,2.75%,0,0.00%,2,0.69%,38,13.06%,0,0.00%,0,0.00%,11,3.78%,70,24.05%,1,0.34%,0,0.00%,291,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,612",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,404,"1,612",,0,0.00%,0,0.00%,23,5.84%,,0,0.00%,1,0.25%,,0,0.00%,1,0.25%,6,1.52%,192,48.73%,0,0.00%,9,2.28%,0,0.00%,2,0.51%,50,12.69%,0,0.00%,0,0.00%,11,2.79%,98,24.87%,1,0.25%,0,0.00%,394,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,54,922,,1,1.92%,0,0.00%,2,3.85%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,19,36.54%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,11.54%,0,0.00%,0,0.00%,0,0.00%,24,46.15%,0,0.00%,0,0.00%,52,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,189,922,,0,0.00%,0,0.00%,18,9.52%,,0,0.00%,1,0.53%,,0,0.00%,0,0.00%,1,0.53%,67,35.45%,0,0.00%,5,2.65%,0,0.00%,1,0.53%,23,12.17%,0,0.00%,1,0.53%,7,3.70%,65,34.39%,0,0.00%,0,0.00%,189,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,922,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,243,922,,1,0.41%,0,0.00%,20,8.30%,,0,0.00%,1,0.41%,,0,0.00%,0,0.00%,1,0.41%,86,35.68%,0,0.00%,5,2.07%,0,0.00%,1,0.41%,29,12.03%,0,0.00%,1,0.41%,7,2.90%,89,36.93%,0,0.00%,0,0.00%,241,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,76,"1,180",,0,0.00%,0,0.00%,7,9.21%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,2.63%,43,56.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,2.63%,0,0.00%,0,0.00%,0,0.00%,22,28.95%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,242,"1,180",,3,1.27%,0,0.00%,21,8.86%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,6,2.53%,99,41.77%,1,0.42%,6,2.53%,0,0.00%,0,0.00%,27,11.39%,0,0.00%,0,0.00%,5,2.11%,69,29.11%,0,0.00%,0,0.00%,237,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,180",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,318,"1,180",,3,0.96%,0,0.00%,28,8.95%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,8,2.56%,142,45.37%,1,0.32%,6,1.92%,0,0.00%,0,0.00%,29,9.27%,0,0.00%,0,0.00%,5,1.60%,91,29.07%,0,0.00%,0,0.00%,313,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,85,"1,488",,0,0.00%,0,0.00%,11,13.41%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,1.22%,38,46.34%,0,0.00%,2,2.44%,0,0.00%,0,0.00%,5,6.10%,0,0.00%,0,0.00%,1,1.22%,23,28.05%,1,1.22%,0,0.00%,82,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,242,"1,488",,1,0.43%,0,0.00%,15,6.38%,,0,0.00%,1,0.43%,,0,0.00%,0,0.00%,2,0.85%,98,41.70%,1,0.43%,14,5.96%,0,0.00%,3,1.28%,19,8.09%,0,0.00%,0,0.00%,11,4.68%,68,28.94%,2,0.85%,0,0.00%,235,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,488",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,327,"1,488",,1,0.32%,0,0.00%,26,8.20%,,0,0.00%,1,0.32%,,0,0.00%,0,0.00%,3,0.95%,136,42.90%,1,0.32%,16,5.05%,0,0.00%,3,0.95%,24,7.57%,0,0.00%,0,0.00%,12,3.79%,91,28.71%,3,0.95%,0,0.00%,317,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,86,"1,336",,0,0.00%,0,0.00%,5,5.88%,,0,0.00%,1,1.18%,,0,0.00%,0,0.00%,0,0.00%,47,55.29%,0,0.00%,1,1.18%,0,0.00%,0,0.00%,4,4.71%,0,0.00%,0,0.00%,0,0.00%,27,31.76%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,276,"1,336",,1,0.38%,0,0.00%,18,6.77%,,0,0.00%,3,1.13%,,0,0.00%,0,0.00%,4,1.50%,119,44.74%,0,0.00%,9,3.38%,0,0.00%,1,0.38%,40,15.04%,0,0.00%,0,0.00%,7,2.63%,61,22.93%,3,1.13%,0,0.00%,266,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,336",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,362,"1,336",,1,0.28%,0,0.00%,23,6.55%,,0,0.00%,4,1.14%,,0,0.00%,0,0.00%,4,1.14%,166,47.29%,0,0.00%,10,2.85%,0,0.00%,1,0.28%,44,12.54%,0,0.00%,0,0.00%,7,1.99%,88,25.07%,3,0.85%,0,0.00%,351,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,59,989,,0,0.00%,0,0.00%,7,12.07%,,0,0.00%,1,1.72%,,0,0.00%,0,0.00%,0,0.00%,27,46.55%,0,0.00%,3,5.17%,0,0.00%,0,0.00%,4,6.90%,0,0.00%,0,0.00%,0,0.00%,15,25.86%,1,1.72%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,192,989,,3,1.59%,0,0.00%,17,8.99%,,0,0.00%,1,0.53%,,0,0.00%,0,0.00%,7,3.70%,72,38.10%,0,0.00%,5,2.65%,0,0.00%,0,0.00%,18,9.52%,0,0.00%,0,0.00%,8,4.23%,55,29.10%,3,1.59%,0,0.00%,189,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,989,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,251,989,,3,1.21%,0,0.00%,24,9.72%,,0,0.00%,2,0.81%,,0,0.00%,0,0.00%,7,2.83%,99,40.08%,0,0.00%,8,3.24%,0,0.00%,0,0.00%,22,8.91%,0,0.00%,0,0.00%,8,3.24%,70,28.34%,4,1.62%,0,0.00%,247,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,123,"1,764",,0,0.00%,0,0.00%,3,2.52%,,0,0.00%,0,0.00%,,0,0.00%,2,1.68%,0,0.00%,65,54.62%,0,0.00%,2,1.68%,0,0.00%,1,0.84%,9,7.56%,0,0.00%,0,0.00%,0,0.00%,37,31.09%,0,0.00%,0,0.00%,119,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,381,"1,764",,2,0.53%,1,0.27%,30,8.00%,,0,0.00%,3,0.80%,,0,0.00%,0,0.00%,4,1.07%,162,43.20%,0,0.00%,13,3.47%,0,0.00%,0,0.00%,40,10.67%,0,0.00%,0,0.00%,11,2.93%,107,28.53%,2,0.53%,0,0.00%,375,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,764",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
