Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Vote by Mail,268,"1,732",,3,1.14%,0,0.00%,6,2.28%,,0,0.00%,2,0.76%,,0,0.00%,0,0.00%,0,0.00%,152,57.79%,0,0.00%,11,4.18%,0,0.00%,0,0.00%,39,14.83%,0,0.00%,0,0.00%,12,4.56%,37,14.07%,1,0.38%,0,0.00%,263,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,732",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,403,"1,732",,4,1.02%,1,0.25%,9,2.28%,,0,0.00%,2,0.51%,,0,0.00%,0,0.00%,0,0.00%,249,63.20%,1,0.25%,12,3.05%,0,0.00%,0,0.00%,53,13.45%,0,0.00%,0,0.00%,12,3.05%,50,12.69%,1,0.25%,0,0.00%,394,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,88,"1,110",,2,2.33%,0,0.00%,7,8.14%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,47,54.65%,0,0.00%,2,2.33%,0,0.00%,0,0.00%,5,5.81%,0,0.00%,1,1.16%,0,0.00%,22,25.58%,0,0.00%,0,0.00%,86,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,181,"1,110",,0,0.00%,0,0.00%,25,14.12%,,1,0.56%,3,1.69%,,0,0.00%,0,0.00%,1,0.56%,63,35.59%,0,0.00%,9,5.08%,0,0.00%,3,1.69%,30,16.95%,0,0.00%,1,0.56%,4,2.26%,35,19.77%,2,1.13%,0,0.00%,177,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,110",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,269,"1,110",,2,0.76%,0,0.00%,32,12.17%,,1,0.38%,3,1.14%,,0,0.00%,0,0.00%,1,0.38%,110,41.83%,0,0.00%,11,4.18%,0,0.00%,3,1.14%,35,13.31%,0,0.00%,2,0.76%,4,1.52%,57,21.67%,2,0.76%,0,0.00%,263,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,112,"1,332",,2,1.83%,0,0.00%,5,4.59%,,0,0.00%,3,2.75%,,0,0.00%,0,0.00%,0,0.00%,61,55.96%,0,0.00%,3,2.75%,0,0.00%,0,0.00%,9,8.26%,0,0.00%,0,0.00%,0,0.00%,26,23.85%,0,0.00%,0,0.00%,109,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,206,"1,332",,2,0.99%,0,0.00%,22,10.84%,,1,0.49%,2,0.99%,,1,0.49%,0,0.00%,1,0.49%,95,46.80%,1,0.49%,4,1.97%,1,0.49%,0,0.00%,24,11.82%,0,0.00%,0,0.00%,9,4.43%,39,19.21%,1,0.49%,0,0.00%,203,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,332",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,318,"1,332",,4,1.28%,0,0.00%,27,8.65%,,1,0.32%,5,1.60%,,1,0.32%,0,0.00%,1,0.32%,156,50.00%,1,0.32%,7,2.24%,1,0.32%,0,0.00%,33,10.58%,0,0.00%,0,0.00%,9,2.88%,65,20.83%,1,0.32%,0,0.00%,312,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,102,"1,485",,0,0.00%,0,0.00%,8,8.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,55,55.00%,1,1.00%,2,2.00%,0,0.00%,0,0.00%,8,8.00%,0,0.00%,0,0.00%,0,0.00%,24,24.00%,2,2.00%,0,0.00%,100,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,229,"1,485",,0,0.00%,0,0.00%,14,6.25%,,0,0.00%,2,0.89%,,0,0.00%,0,0.00%,8,3.57%,105,46.88%,0,0.00%,13,5.80%,2,0.89%,0,0.00%,19,8.48%,0,0.00%,0,0.00%,10,4.46%,49,21.88%,2,0.89%,0,0.00%,224,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,485",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,331,"1,485",,0,0.00%,0,0.00%,22,6.79%,,0,0.00%,2,0.62%,,0,0.00%,0,0.00%,8,2.47%,160,49.38%,1,0.31%,15,4.63%,2,0.62%,0,0.00%,27,8.33%,0,0.00%,0,0.00%,10,3.09%,73,22.53%,4,1.23%,0,0.00%,324,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,80,836,,0,0.00%,0,0.00%,3,3.85%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,52,66.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,6.41%,0,0.00%,2,2.56%,0,0.00%,15,19.23%,1,1.28%,0,0.00%,78,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,118,836,,1,0.88%,0,0.00%,8,7.02%,,0,0.00%,1,0.88%,,0,0.00%,0,0.00%,0,0.00%,54,47.37%,0,0.00%,1,0.88%,0,0.00%,0,0.00%,13,11.40%,1,0.88%,0,0.00%,4,3.51%,30,26.32%,1,0.88%,0,0.00%,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,836,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,198,836,,1,0.52%,0,0.00%,11,5.73%,,0,0.00%,1,0.52%,,0,0.00%,0,0.00%,0,0.00%,106,55.21%,0,0.00%,1,0.52%,0,0.00%,0,0.00%,18,9.38%,1,0.52%,2,1.04%,4,2.08%,45,23.44%,2,1.04%,0,0.00%,192,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,72,"1,032",,0,0.00%,1,1.39%,2,2.78%,,0,0.00%,1,1.39%,,0,0.00%,1,1.39%,0,0.00%,40,55.56%,0,0.00%,2,2.78%,0,0.00%,0,0.00%,6,8.33%,0,0.00%,0,0.00%,2,2.78%,17,23.61%,0,0.00%,0,0.00%,72,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,193,"1,032",,0,0.00%,0,0.00%,7,3.66%,,1,0.52%,1,0.52%,,0,0.00%,1,0.52%,1,0.52%,84,43.98%,0,0.00%,9,4.71%,0,0.00%,1,0.52%,29,15.18%,0,0.00%,0,0.00%,7,3.66%,50,26.18%,0,0.00%,0,0.00%,191,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,032",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,265,"1,032",,0,0.00%,1,0.38%,9,3.42%,,1,0.38%,2,0.76%,,0,0.00%,2,0.76%,1,0.38%,124,47.15%,0,0.00%,11,4.18%,0,0.00%,1,0.38%,35,13.31%,0,0.00%,0,0.00%,9,3.42%,67,25.48%,0,0.00%,0,0.00%,263,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,124,"1,845",,1,0.81%,0,0.00%,10,8.06%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,74,59.68%,0,0.00%,0,0.00%,2,1.61%,0,0.00%,8,6.45%,0,0.00%,0,0.00%,0,0.00%,29,23.39%,0,0.00%,0,0.00%,124,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,356,"1,845",,4,1.15%,0,0.00%,14,4.02%,,0,0.00%,1,0.29%,,0,0.00%,0,0.00%,5,1.44%,201,57.76%,0,0.00%,12,3.45%,0,0.00%,0,0.00%,38,10.92%,0,0.00%,0,0.00%,7,2.01%,64,18.39%,2,0.57%,0,0.00%,348,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,845",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,480,"1,845",,5,1.06%,0,0.00%,24,5.08%,,0,0.00%,1,0.21%,,0,0.00%,0,0.00%,5,1.06%,275,58.26%,0,0.00%,12,2.54%,2,0.42%,0,0.00%,46,9.75%,0,0.00%,0,0.00%,7,1.48%,93,19.70%,2,0.42%,0,0.00%,472,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,108,"1,524",,1,0.93%,0,0.00%,6,5.61%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.93%,61,57.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,9.35%,0,0.00%,0,0.00%,0,0.00%,27,25.23%,1,0.93%,0,0.00%,107,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,259,"1,524",,0,0.00%,0,0.00%,12,4.82%,,1,0.40%,1,0.40%,,0,0.00%,0,0.00%,7,2.81%,119,47.79%,0,0.00%,12,4.82%,0,0.00%,3,1.20%,49,19.68%,1,0.40%,0,0.00%,2,0.80%,42,16.87%,0,0.00%,0,0.00%,249,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,524",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,367,"1,524",,1,0.28%,0,0.00%,18,5.06%,,1,0.28%,1,0.28%,,0,0.00%,0,0.00%,8,2.25%,180,50.56%,0,0.00%,12,3.37%,0,0.00%,3,0.84%,59,16.57%,1,0.28%,0,0.00%,2,0.56%,69,19.38%,1,0.28%,0,0.00%,356,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,94,"1,023",,1,1.09%,0,0.00%,4,4.35%,,1,1.09%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,55,59.78%,0,0.00%,1,1.09%,0,0.00%,1,1.09%,6,6.52%,0,0.00%,0,0.00%,0,0.00%,23,25.00%,0,0.00%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,190,"1,023",,1,0.53%,0,0.00%,9,4.81%,,0,0.00%,2,1.07%,,0,0.00%,0,0.00%,3,1.60%,76,40.64%,0,0.00%,17,9.09%,0,0.00%,3,1.60%,28,14.97%,0,0.00%,0,0.00%,7,3.74%,39,20.86%,2,1.07%,0,0.00%,187,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,023",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,284,"1,023",,2,0.72%,0,0.00%,13,4.66%,,1,0.36%,2,0.72%,,0,0.00%,0,0.00%,3,1.08%,131,46.95%,0,0.00%,18,6.45%,0,0.00%,4,1.43%,34,12.19%,0,0.00%,0,0.00%,7,2.51%,62,22.22%,2,0.72%,0,0.00%,279,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,53,797,,0,0.00%,0,0.00%,5,9.43%,,1,1.89%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,26,49.06%,1,1.89%,0,0.00%,0,0.00%,0,0.00%,1,1.89%,0,0.00%,0,0.00%,0,0.00%,19,35.85%,0,0.00%,0,0.00%,53,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,153,797,,2,1.33%,0,0.00%,8,5.33%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,4,2.67%,48,32.00%,0,0.00%,5,3.33%,0,0.00%,0,0.00%,27,18.00%,0,0.00%,0,0.00%,7,4.67%,43,28.67%,6,4.00%,0,0.00%,150,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,797,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,206,797,,2,0.99%,0,0.00%,13,6.40%,,1,0.49%,0,0.00%,,0,0.00%,0,0.00%,4,1.97%,74,36.45%,1,0.49%,5,2.46%,0,0.00%,0,0.00%,28,13.79%,0,0.00%,0,0.00%,7,3.45%,62,30.54%,6,2.96%,0,0.00%,203,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,102,"1,467",,1,0.99%,0,0.00%,8,7.92%,,0,0.00%,0,0.00%,,1,0.99%,0,0.00%,0,0.00%,51,50.50%,0,0.00%,1,0.99%,0,0.00%,0,0.00%,13,12.87%,0,0.00%,0,0.00%,0,0.00%,26,25.74%,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,249,"1,467",,2,0.83%,0,0.00%,21,8.68%,,0,0.00%,4,1.65%,,0,0.00%,1,0.41%,6,2.48%,100,41.32%,0,0.00%,7,2.89%,0,0.00%,0,0.00%,32,13.22%,2,0.83%,0,0.00%,9,3.72%,58,23.97%,0,0.00%,0,0.00%,242,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,467",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
