COUNTY OF LOS ANGELES,STATEWIDE DIRECT PRIMARY ELECTION,6/7/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNOR,Voter Nominated, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,M SHELLENBERGER,FREDERIC C SCHULTZ,W W SANDERS III,REINETTE SENUM,LONNIE SORTOR,A M PEREZ-SERRATO,JAMES G HANINK,SHAWN COLLINS,HEATHER COLLINS,ANTHONY FANARA,SERGE FIANKAN,LUIS J RODRIGUEZ,LEO S ZACKY,BRADLEY ZINK,JENNY RAE LE ROUX,DAVID LOZANO,RONALD A ANDERSON,GAVIN NEWSOM,ROBERT C NEWMAN II,BRIAN DAHLE,JOEL VENTRESCA,MAJOR WILLIAMS,RON JONES,ANTHONY TRIMINO,DANIEL R MERCURI,CRISTIAN R MORALES,
AGOURA HILLS,0080021A,5,78,N,2920,TOTAL,1197,65,1,4,3,1,2,1,13,2,1,0,22,22,1,33,28,11,705,13,176,8,12,5,36,4,1, 
AGOURA HILLS,0080025A,6,78,N, ,POLLING PLACE,112,18,0,0,0,1,0,0,4,0,0,0,1,1,0,4,1,0,29,1,29,0,1,1,17,1,1, 
AGOURA HILLS,0080025A,6,78,N, ,VBM PORTION,659,32,1,0,6,1,2,1,3,5,3,0,9,5,0,18,15,6,425,6,77,7,4,2,12,0,0, 
AGOURA HILLS,0080025A,6,78,N,1939,TOTAL,771,50,1,0,6,2,2,1,7,5,3,0,10,6,0,22,16,6,454,7,106,7,5,3,29,1,1, 
AGOURA HILLS,0080038A,6034,78,Y, ,POLLING PLACE,100,21,0,0,3,0,0,0,1,0,0,0,1,1,0,3,2,1,20,2,26,1,1,1,14,1,0, 
AGOURA HILLS,0080038A,6034,78,Y, ,VBM PORTION,497,32,0,1,2,0,1,1,5,3,1,1,13,5,0,16,8,5,293,4,71,6,3,2,9,1,2, 
AGOURA HILLS,0080038A,6034,78,Y,1603,TOTAL,597,53,0,1,5,0,1,1,6,3,1,1,14,6,0,19,10,6,313,6,97,7,4,3,23,2,2, 
AGOURA HILLS,0080043A,7,78,N, ,POLLING PLACE,101,14,0,0,1,0,3,0,0,0,0,0,1,3,0,5,5,1,24,1,29,1,0,1,7,1,0, 
AGOURA HILLS,0080043A,7,78,N, ,VBM PORTION,664,32,0,2,5,0,1,0,12,1,1,0,12,3,1,22,18,5,406,7,92,5,9,1,11,2,0, 
AGOURA HILLS,0080043A,7,78,N,2168,TOTAL,765,46,0,2,6,0,4,0,12,1,1,0,13,6,1,27,23,6,430,8,121,6,9,2,18,3,0, 
AGOURA HILLS,0080050A,8,78,N, ,POLLING PLACE,121,11,0,0,0,1,0,0,1,0,0,0,0,1,0,8,3,1,41,0,31,2,3,2,14,0,0, 
AGOURA HILLS,0080050A,8,78,N, ,VBM PORTION,794,46,2,0,6,4,1,0,12,3,1,0,13,14,1,24,20,7,451,2,106,12,10,4,29,0,1, 
AGOURA HILLS,0080050A,8,78,N,2218,TOTAL,915,57,2,0,6,5,1,0,13,3,1,0,13,15,1,32,23,8,492,2,137,14,13,6,43,0,1, 
AGUA DULCE,0090002A,6035,29,Y, ,POLLING PLACE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090002A,6035,29,Y, ,VBM PORTION,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0, 
AGUA DULCE,0090002A,6035,29,Y,13,TOTAL,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0, 
AGUA DULCE,0090002E,6036,15,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090002E,6036,15,Y, ,VBM PORTION,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090002E,6036,15,Y,4,TOTAL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090003A,9,3,N, ,POLLING PLACE,275,28,0,0,1,0,0,0,22,2,0,0,1,13,0,17,4,7,22,2,122,0,13,0,16,2,0, 
AGUA DULCE,0090003A,9,3,N, ,VBM PORTION,901,94,0,1,4,1,2,1,53,2,3,2,8,36,0,46,6,5,264,5,287,9,6,5,21,1,0, 
AGUA DULCE,0090003A,9,3,N,2830,TOTAL,1176,122,0,1,5,1,2,1,75,4,3,2,9,49,0,63,10,12,286,7,409,9,19,5,37,3,0, 
AGUA DULCE,0090006A,6037,4,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090006A,6037,4,Y, ,VBM PORTION,24,2,0,0,2,0,0,0,2,0,0,0,2,3,0,0,0,0,5,2,5,1,0,0,0,0,0, 
AGUA DULCE,0090006A,6037,4,Y,83,TOTAL,24,2,0,0,2,0,0,0,2,0,0,0,2,3,0,0,0,0,5,2,5,1,0,0,0,0,0, 
AGUA DULCE,0090007C,6038,26,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090007C,6038,26,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090007C,6038,26,Y,2,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090007D,6039,3,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090007D,6039,3,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090007D,6039,3,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090009A,6040,1,Y, ,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090009A,6040,1,Y, ,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
AGUA DULCE,0090009A,6040,1,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
