Page: 2 of 35,,,,,,,,,,,3/27/2020 3:38:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEMOCRATIC PARTY PRESIDENTIAL PREFERENCE (Vote for  1) 
DEM  **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,,Election Day,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,0,0,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
ALMO102 0,,,,ALMO102 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,412,630,,Vote By Mail,0,0.00%,0,0.00%,44,10.71%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,22,5.35%,62,15.09%,0,0.00%,1,0.24%,0,0.00%,0,0.00%,103,25.06%,0,0.00%,1,0.24%,36,8.76%,140,34.06%,2,0.49%,0,0.00%,411,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,141,630,,Election Day,0,0.00%,0,0.00%,11,7.80%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,24,17.02%,0,0.00%,1,0.71%,0,0.00%,1,0.71%,22,15.60%,0,0.00%,0,0.00%,0,0.00%,81,57.45%,1,0.71%,0,0.00%,141,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,553,630,,Total,0,0.00%,0,0.00%,55,9.96%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,22,3.99%,86,15.58%,0,0.00%,2,0.36%,0,0.00%,1,0.18%,125,22.64%,0,0.00%,1,0.18%,36,6.52%,221,40.04%,3,0.54%,0,0.00%,552,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALMO103 0,,,,ALMO103 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,221,370,,Vote By Mail,0,0.00%,0,0.00%,30,13.64%,,1,0.45%,3,1.36%,,0,0.00%,0,0.00%,8,3.64%,36,16.36%,0,0.00%,4,1.82%,0,0.00%,0,0.00%,59,26.82%,1,0.45%,0,0.00%,14,6.36%,64,29.09%,0,0.00%,0,0.00%,220,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,80,370,,Election Day,0,0.00%,0,0.00%,8,10.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,12,15.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,20.00%,0,0.00%,0,0.00%,0,0.00%,43,53.75%,1,1.25%,0,0.00%,80,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,301,370,,Total,0,0.00%,0,0.00%,38,12.67%,,1,0.33%,3,1.00%,,0,0.00%,0,0.00%,8,2.67%,48,16.00%,0,0.00%,4,1.33%,0,0.00%,0,0.00%,75,25.00%,1,0.33%,0,0.00%,14,4.67%,107,35.67%,1,0.33%,0,0.00%,300,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
