Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
Vote by Mail,945,Vote by Mail,,1,1.47%,0,0.00%,7,10.29%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,1.47%,19,27.94%,0,0.00%,3,4.41%,0,0.00%,1,1.47%,14,20.59%,0,0.00%,0,0.00%,4,5.88%,16,23.53%,1,1.47%,1,1.47%,68,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,945,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,945,Total,,1,1.12%,0,0.00%,9,10.11%,0,,0.00%,1,1.12%,0,,0.00%,0,0.00%,1,1.12%,24,26.97%,0,0.00%,3,3.37%,0,0.00%,1,1.12%,16,17.98%,0,0.00%,0,0.00%,4,4.49%,27,30.34%,1,1.12%,1,1.12%,89,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0044113,,0044113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,777,Poll Place,,0,0.00%,0,0.00%,3,6.25%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,18,37.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,10.42%,0,0.00%,0,0.00%,1,2.08%,21,43.75%,0,0.00%,0,0.00%,48,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,777,Vote by Mail,,0,0.00%,0,0.00%,8,10.53%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,2,2.63%,23,30.26%,0,0.00%,2,2.63%,0,0.00%,0,0.00%,13,17.11%,0,0.00%,0,0.00%,11,14.47%,17,22.37%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,777,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,777,Total,,0,0.00%,0,0.00%,11,8.87%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,2,1.61%,41,33.06%,0,0.00%,2,1.61%,0,0.00%,0,0.00%,18,14.52%,0,0.00%,0,0.00%,12,9.68%,38,30.65%,0,0.00%,0,0.00%,124,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050020,,0050020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,086",Poll Place,,2,3.92%,0,0.00%,1,1.96%,0,,0.00%,1,1.96%,2,,3.92%,0,0.00%,0,0.00%,30,58.82%,0,0.00%,1,1.96%,0,0.00%,1,1.96%,4,7.84%,0,0.00%,0,0.00%,0,0.00%,8,15.69%,1,1.96%,0,0.00%,51,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,086",Vote by Mail,,3,2.70%,0,0.00%,2,1.80%,2,,1.80%,0,0.00%,1,,0.90%,0,0.00%,1,0.90%,58,52.25%,0,0.00%,2,1.80%,0,0.00%,0,0.00%,17,15.32%,0,0.00%,0,0.00%,6,5.41%,18,16.22%,0,0.00%,1,0.90%,111,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,086",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,086",Total,,5,3.09%,0,0.00%,3,1.85%,2,,1.23%,1,0.62%,3,,1.85%,0,0.00%,1,0.62%,88,54.32%,0,0.00%,3,1.85%,0,0.00%,1,0.62%,21,12.96%,0,0.00%,0,0.00%,6,3.70%,26,16.05%,1,0.62%,1,0.62%,162,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050180,,0050180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,060",Poll Place,,2,1.96%,0,0.00%,3,2.94%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,64,62.75%,0,0.00%,1,0.98%,2,1.96%,0,0.00%,9,8.82%,0,0.00%,0,0.00%,1,0.98%,20,19.61%,0,0.00%,0,0.00%,102,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,060",Vote by Mail,,7,4.96%,0,0.00%,3,2.13%,0,,0.00%,3,2.13%,2,,1.42%,0,0.00%,3,2.13%,65,46.10%,0,0.00%,5,3.55%,0,0.00%,2,1.42%,28,19.86%,0,0.00%,0,0.00%,4,2.84%,19,13.48%,0,0.00%,0,0.00%,141,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,060",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,060",Total,,9,3.70%,0,0.00%,6,2.47%,0,,0.00%,3,1.23%,2,,0.82%,0,0.00%,3,1.23%,129,53.09%,0,0.00%,6,2.47%,2,0.82%,2,0.82%,37,15.23%,0,0.00%,0,0.00%,5,2.06%,39,16.05%,0,0.00%,0,0.00%,243,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050190,,0050190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,348",Poll Place,,1,1.14%,1,1.14%,4,4.55%,0,,0.00%,1,1.14%,1,,1.14%,0,0.00%,0,0.00%,48,54.55%,0,0.00%,1,1.14%,0,0.00%,1,1.14%,12,13.64%,0,0.00%,0,0.00%,0,0.00%,18,20.45%,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,348",Vote by Mail,,4,2.45%,0,0.00%,3,1.84%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,76,46.63%,1,0.61%,15,9.20%,0,0.00%,0,0.00%,24,14.72%,0,0.00%,2,1.23%,3,1.84%,35,21.47%,0,0.00%,0,0.00%,163,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,348",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,348",Total,,5,1.99%,1,0.40%,7,2.79%,0,,0.00%,1,0.40%,1,,0.40%,0,0.00%,0,0.00%,124,49.40%,1,0.40%,16,6.37%,0,0.00%,1,0.40%,36,14.34%,0,0.00%,2,0.80%,3,1.20%,53,21.12%,0,0.00%,0,0.00%,251,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050200,,0050200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,087",Poll Place,,0,0.00%,0,0.00%,1,1.35%,0,,0.00%,0,0.00%,1,,1.35%,0,0.00%,0,0.00%,49,66.22%,1,1.35%,2,2.70%,1,1.35%,0,0.00%,12,16.22%,0,0.00%,0,0.00%,0,0.00%,7,9.46%,0,0.00%,0,0.00%,74,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,087",Vote by Mail,,2,1.75%,0,0.00%,10,8.77%,0,,0.00%,2,1.75%,0,,0.00%,1,0.88%,0,0.00%,58,50.88%,0,0.00%,5,4.39%,0,0.00%,1,0.88%,14,12.28%,0,0.00%,0,0.00%,3,2.63%,18,15.79%,0,0.00%,0,0.00%,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,087",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,087",Total,,2,1.06%,0,0.00%,11,5.85%,0,,0.00%,2,1.06%,1,,0.53%,1,0.53%,0,0.00%,107,56.91%,1,0.53%,7,3.72%,1,0.53%,1,0.53%,26,13.83%,0,0.00%,0,0.00%,3,1.60%,25,13.30%,0,0.00%,0,0.00%,188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050211,,0050211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,522",Poll Place,,1,0.86%,0,0.00%,6,5.17%,0,,0.00%,0,0.00%,2,,1.72%,0,0.00%,1,0.86%,76,65.52%,0,0.00%,1,0.86%,0,0.00%,1,0.86%,15,12.93%,0,0.00%,0,0.00%,0,0.00%,13,11.21%,0,0.00%,0,0.00%,116,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,522",Vote by Mail,,3,1.67%,0,0.00%,7,3.89%,0,,0.00%,3,1.67%,0,,0.00%,1,0.56%,0,0.00%,117,65.00%,0,0.00%,3,1.67%,0,0.00%,0,0.00%,19,10.56%,0,0.00%,0,0.00%,2,1.11%,21,11.67%,4,2.22%,0,0.00%,180,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,522",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,522",Total,,4,1.35%,0,0.00%,13,4.39%,0,,0.00%,3,1.01%,2,,0.68%,1,0.34%,1,0.34%,193,65.20%,0,0.00%,4,1.35%,0,0.00%,1,0.34%,34,11.49%,0,0.00%,0,0.00%,2,0.68%,34,11.49%,4,1.35%,0,0.00%,296,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050501,,0050501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,470,Poll Place,,0,0.00%,0,0.00%,1,6.67%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,10,66.67%,0,0.00%,1,6.67%,0,0.00%,0,0.00%,1,6.67%,0,0.00%,0,0.00%,0,0.00%,2,13.33%,0,0.00%,0,0.00%,15,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,470,Vote by Mail,,1,2.27%,0,0.00%,1,2.27%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,21,47.73%,0,0.00%,1,2.27%,0,0.00%,2,4.55%,5,11.36%,0,0.00%,0,0.00%,1,2.27%,12,27.27%,0,0.00%,0,0.00%,44,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,470,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,470,Total,,1,1.69%,0,0.00%,2,3.39%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,31,52.54%,0,0.00%,2,3.39%,0,0.00%,2,3.39%,6,10.17%,0,0.00%,0,0.00%,1,1.69%,14,23.73%,0,0.00%,0,0.00%,59,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050503,,0050503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,610,Poll Place,,0,0.00%,0,0.00%,3,11.11%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,14,51.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,7.41%,0,0.00%,0,0.00%,0,0.00%,8,29.63%,0,0.00%,0,0.00%,27,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,610,Vote by Mail,,0,0.00%,0,0.00%,2,3.51%,1,,1.75%,0,0.00%,1,,1.75%,0,0.00%,0,0.00%,32,56.14%,0,0.00%,2,3.51%,0,0.00%,0,0.00%,8,14.04%,1,1.75%,0,0.00%,0,0.00%,10,17.54%,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,610,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,610,Total,,0,0.00%,0,0.00%,5,5.95%,1,,1.19%,0,0.00%,1,,1.19%,0,0.00%,0,0.00%,46,54.76%,0,0.00%,2,2.38%,0,0.00%,0,0.00%,10,11.90%,1,1.19%,0,0.00%,0,0.00%,18,21.43%,0,0.00%,0,0.00%,84,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050505,,0050505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,650,Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,19,51.35%,0,0.00%,1,2.70%,0,0.00%,0,0.00%,5,13.51%,0,0.00%,0,0.00%,0,0.00%,12,32.43%,0,0.00%,0,0.00%,37,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,650,Vote by Mail,,0,0.00%,0,0.00%,7,9.46%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,1.35%,25,33.78%,0,0.00%,7,9.46%,0,0.00%,1,1.35%,13,17.57%,0,0.00%,0,0.00%,0,0.00%,20,27.03%,0,0.00%,0,0.00%,74,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,650,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,650,Total,,0,0.00%,0,0.00%,7,6.31%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,0.90%,44,39.64%,0,0.00%,8,7.21%,0,0.00%,1,0.90%,18,16.22%,0,0.00%,0,0.00%,0,0.00%,32,28.83%,0,0.00%,0,0.00%,111,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050506,,0050506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,927,Poll Place,,1,3.70%,0,0.00%,1,3.70%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,13,48.15%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,44.44%,0,0.00%,0,0.00%,27,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,927,Vote by Mail,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,1,1.56%,1,,1.56%,0,0.00%,4,6.25%,30,46.88%,0,0.00%,3,4.69%,0,0.00%,0,0.00%,7,10.94%,1,1.56%,0,0.00%,2,3.13%,14,21.88%,1,1.56%,0,0.00%,64,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,927,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,927,Total,,1,1.10%,0,0.00%,1,1.10%,0,,0.00%,1,1.10%,1,,1.10%,0,0.00%,4,4.40%,43,47.25%,0,0.00%,3,3.30%,0,0.00%,0,0.00%,7,7.69%,1,1.10%,0,0.00%,2,2.20%,26,28.57%,1,1.10%,0,0.00%,91,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050507,,0050507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,109",Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,17,37.78%,0,0.00%,1,2.22%,0,0.00%,3,6.67%,6,13.33%,0,0.00%,0,0.00%,0,0.00%,18,40.00%,0,0.00%,0,0.00%,45,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,109",Vote by Mail,,0,0.00%,0,0.00%,2,1.75%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,31,27.19%,0,0.00%,11,9.65%,0,0.00%,2,1.75%,17,14.91%,0,0.00%,0,0.00%,7,6.14%,42,36.84%,2,1.75%,0,0.00%,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,109",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,109",Total,,0,0.00%,0,0.00%,2,1.26%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,48,30.19%,0,0.00%,12,7.55%,0,0.00%,5,3.14%,23,14.47%,0,0.00%,0,0.00%,7,4.40%,60,37.74%,2,1.26%,0,0.00%,159,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050509,,0050509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,500",Poll Place,,0,0.00%,0,0.00%,4,7.41%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,1.85%,23,42.59%,0,0.00%,0,0.00%,0,0.00%,2,3.70%,7,12.96%,0,0.00%,0,0.00%,0,0.00%,16,29.63%,0,0.00%,1,1.85%,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,500",Vote by Mail,,2,1.32%,0,0.00%,13,8.55%,0,,0.00%,0,0.00%,2,,1.32%,0,0.00%,0,0.00%,50,32.89%,0,0.00%,10,6.58%,1,0.66%,1,0.66%,22,14.47%,0,0.00%,0,0.00%,4,2.63%,47,30.92%,0,0.00%,0,0.00%,152,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,500",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,500",Total,,2,0.97%,0,0.00%,17,8.25%,0,,0.00%,0,0.00%,2,,0.97%,0,0.00%,1,0.49%,73,35.44%,0,0.00%,10,4.85%,1,0.49%,3,1.46%,29,14.08%,0,0.00%,0,0.00%,4,1.94%,63,30.58%,0,0.00%,1,0.49%,206,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050511,,0050511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,591",Poll Place,,0,0.00%,0,0.00%,0,0.00%,1,,1.59%,0,0.00%,1,,1.59%,0,0.00%,1,1.59%,22,34.92%,0,0.00%,4,6.35%,0,0.00%,0,0.00%,5,7.94%,0,0.00%,0,0.00%,0,0.00%,29,46.03%,0,0.00%,0,0.00%,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,591",Vote by Mail,,2,1.26%,1,0.63%,4,2.52%,1,,0.63%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,57,35.85%,1,0.63%,11,6.92%,0,0.00%,0,0.00%,30,18.87%,0,0.00%,1,0.63%,5,3.14%,46,28.93%,0,0.00%,0,0.00%,159,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,591",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,591",Total,,2,0.90%,1,0.45%,4,1.80%,2,,0.90%,0,0.00%,1,,0.45%,0,0.00%,1,0.45%,79,35.59%,1,0.45%,15,6.76%,0,0.00%,0,0.00%,35,15.77%,0,0.00%,1,0.45%,5,2.25%,75,33.78%,0,0.00%,0,0.00%,222,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050514,,0050514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,201",Poll Place,,0,0.00%,0,0.00%,3,4.29%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,46,65.71%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,14.29%,0,0.00%,0,0.00%,0,0.00%,11,15.71%,0,0.00%,0,0.00%,70,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,201",Vote by Mail,,0,0.00%,0,0.00%,2,1.69%,0,,0.00%,0,0.00%,1,,0.85%,0,0.00%,1,0.85%,67,56.78%,0,0.00%,7,5.93%,0,0.00%,0,0.00%,14,11.86%,1,0.85%,0,0.00%,3,2.54%,22,18.64%,0,0.00%,0,0.00%,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,201",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,201",Total,,0,0.00%,0,0.00%,5,2.66%,0,,0.00%,0,0.00%,1,,0.53%,0,0.00%,1,0.53%,113,60.11%,0,0.00%,7,3.72%,0,0.00%,0,0.00%,24,12.77%,1,0.53%,0,0.00%,3,1.60%,33,17.55%,0,0.00%,0,0.00%,188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050517,,0050517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,523",Poll Place,,0,0.00%,0,0.00%,18,17.48%,0,,0.00%,0,0.00%,1,,0.97%,0,0.00%,0,0.00%,36,34.95%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,12.62%,0,0.00%,0,0.00%,1,0.97%,33,32.04%,1,0.97%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,523",Vote by Mail,,0,0.00%,0,0.00%,25,13.89%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,5,2.78%,51,28.33%,0,0.00%,2,1.11%,0,0.00%,0,0.00%,18,10.00%,1,0.56%,0,0.00%,21,11.67%,55,30.56%,2,1.11%,0,0.00%,180,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,523",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,523",Total,,0,0.00%,0,0.00%,43,15.19%,0,,0.00%,0,0.00%,1,,0.35%,0,0.00%,5,1.77%,87,30.74%,0,0.00%,2,0.71%,0,0.00%,0,0.00%,31,10.95%,1,0.35%,0,0.00%,22,7.77%,88,31.10%,3,1.06%,0,0.00%,283,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050518,,0050518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,369,Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,20,80.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,12.00%,0,0.00%,0,0.00%,0,0.00%,2,8.00%,0,0.00%,0,0.00%,25,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,369,Vote by Mail,,1,1.85%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,38,70.37%,0,0.00%,2,3.70%,0,0.00%,0,0.00%,3,5.56%,0,0.00%,0,0.00%,1,1.85%,9,16.67%,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,369,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
