Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
Vote by Mail,"1,500",Vote by Mail,,4,1.85%,1,0.46%,6,2.78%,0,,0.00%,0,0.00%,2,,0.93%,0,0.00%,1,0.46%,95,43.98%,0,0.00%,13,6.02%,0,0.00%,3,1.39%,37,17.13%,1,0.46%,0,0.00%,3,1.39%,50,23.15%,0,0.00%,0,0.00%,216,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,500",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,500",Total,,6,2.00%,2,0.67%,10,3.33%,0,,0.00%,0,0.00%,3,,1.00%,1,0.33%,1,0.33%,132,44.00%,0,0.00%,13,4.33%,1,0.33%,5,1.67%,51,17.00%,1,0.33%,0,0.00%,3,1.00%,71,23.67%,0,0.00%,0,0.00%,300,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011570,,0011570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,028",Poll Place,,2,2.63%,0,0.00%,7,9.21%,0,,0.00%,0,0.00%,1,,1.32%,0,0.00%,0,0.00%,34,44.74%,0,0.00%,0,0.00%,0,0.00%,3,3.95%,5,6.58%,0,0.00%,0,0.00%,1,1.32%,23,30.26%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,028",Vote by Mail,,2,1.75%,0,0.00%,8,7.02%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,51,44.74%,0,0.00%,9,7.89%,0,0.00%,0,0.00%,14,12.28%,0,0.00%,0,0.00%,2,1.75%,28,24.56%,0,0.00%,0,0.00%,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,028",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,028",Total,,4,2.11%,0,0.00%,15,7.89%,0,,0.00%,0,0.00%,1,,0.53%,0,0.00%,0,0.00%,85,44.74%,0,0.00%,9,4.74%,0,0.00%,3,1.58%,19,10.00%,0,0.00%,0,0.00%,3,1.58%,51,26.84%,0,0.00%,0,0.00%,190,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011580,,0011580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,017",Poll Place,,0,0.00%,0,0.00%,5,8.62%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,23,39.66%,0,0.00%,1,1.72%,0,0.00%,1,1.72%,6,10.34%,0,0.00%,0,0.00%,1,1.72%,21,36.21%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,017",Vote by Mail,,5,3.52%,0,0.00%,11,7.75%,0,,0.00%,1,0.70%,0,,0.00%,0,0.00%,1,0.70%,54,38.03%,0,0.00%,2,1.41%,1,0.70%,1,0.70%,19,13.38%,0,0.00%,1,0.70%,8,5.63%,37,26.06%,1,0.70%,0,0.00%,142,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,017",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,017",Total,,5,2.50%,0,0.00%,16,8.00%,0,,0.00%,1,0.50%,0,,0.00%,0,0.00%,1,0.50%,77,38.50%,0,0.00%,3,1.50%,1,0.50%,2,1.00%,25,12.50%,0,0.00%,1,0.50%,9,4.50%,58,29.00%,1,0.50%,0,0.00%,200,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011610,,0011610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,838,Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,2,4.55%,1,2.27%,27,61.36%,0,0.00%,3,6.82%,0,0.00%,0,0.00%,3,6.82%,0,0.00%,0,0.00%,0,0.00%,8,18.18%,0,0.00%,0,0.00%,44,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,838,Vote by Mail,,1,0.75%,0,0.00%,3,2.26%,0,,0.00%,2,1.50%,0,,0.00%,0,0.00%,0,0.00%,52,39.10%,0,0.00%,10,7.52%,0,0.00%,1,0.75%,18,13.53%,0,0.00%,0,0.00%,7,5.26%,38,28.57%,1,0.75%,0,0.00%,133,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,838,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,838,Total,,1,0.56%,0,0.00%,3,1.69%,0,,0.00%,2,1.13%,0,,0.00%,2,1.13%,1,0.56%,79,44.63%,0,0.00%,13,7.34%,0,0.00%,1,0.56%,21,11.86%,0,0.00%,0,0.00%,7,3.95%,46,25.99%,1,0.56%,0,0.00%,177,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011626,,0011626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,730",Poll Place,,1,1.04%,0,0.00%,5,5.21%,0,,0.00%,2,2.08%,0,,0.00%,0,0.00%,0,0.00%,40,41.67%,0,0.00%,3,3.13%,0,0.00%,1,1.04%,16,16.67%,0,0.00%,0,0.00%,0,0.00%,28,29.17%,0,0.00%,0,0.00%,96,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
