COUNTY OF LOS ANGELES,GENERAL ELECTION,11/05/2024,,,,,,,,
L A UNIFIED SCH-BOE 5,Non Partisan,N,cc9499,1,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KARLA GRIEGO,GRACIELA ORTIZ,
LOS ANGELES,9000495A,7416,453,N,1304,TOTAL,786,430,219, 
LOS ANGELES,9000530A,979,453,N, ,POLLING PLACE,923,460,235, 
LOS ANGELES,9000530A,979,453,N, ,VBM PORTION,2120,1200,501, 
LOS ANGELES,9000530A,979,453,N,4615,TOTAL,3043,1660,736, 
LOS ANGELES,9000589A,990,478,N, ,POLLING PLACE,748,404,208, 
LOS ANGELES,9000589A,990,478,N, ,VBM PORTION,2502,1508,578, 
LOS ANGELES,9000589A,990,478,N,4234,TOTAL,3250,1912,786, 
LOS ANGELES,9000601C,991,453,N, ,POLLING PLACE,712,369,205, 
LOS ANGELES,9000601C,991,453,N, ,VBM PORTION,1513,831,443, 
LOS ANGELES,9000601C,991,453,N,3614,TOTAL,2225,1200,648, 
LOS ANGELES,9000623A,994,637,N, ,POLLING PLACE,504,229,204, 
LOS ANGELES,9000623A,994,637,N, ,VBM PORTION,885,442,368, 
LOS ANGELES,9000623A,994,637,N,3270,TOTAL,1389,671,572, 
LOS ANGELES,9000642C,1000,453,N, ,POLLING PLACE,909,388,270, 
LOS ANGELES,9000642C,1000,453,N, ,VBM PORTION,2059,1126,475, 
LOS ANGELES,9000642C,1000,453,N,4531,TOTAL,2968,1514,745, 
LOS ANGELES,9000682A,1003,453,N, ,POLLING PLACE,471,225,136, 
LOS ANGELES,9000682A,1003,453,N, ,VBM PORTION,945,511,280, 
LOS ANGELES,9000682A,1003,453,N,2429,TOTAL,1416,736,416, 
LOS ANGELES,9000700B,7427,476,N, ,POLLING PLACE,42,21,13, 
LOS ANGELES,9000700B,7427,476,N, ,VBM PORTION,154,96,26, 
LOS ANGELES,9000700B,7427,476,N,241,TOTAL,196,117,39, 
LOS ANGELES,9000712A,7428,454,N, ,POLLING PLACE,160,85,38, 
LOS ANGELES,9000712A,7428,454,N, ,VBM PORTION,829,508,161, 
LOS ANGELES,9000712A,7428,454,N,1180,TOTAL,989,593,199, 
LOS ANGELES,9000731A,7430,517,N, ,POLLING PLACE,435,202,143, 
LOS ANGELES,9000731A,7430,517,N, ,VBM PORTION,979,519,295, 
LOS ANGELES,9000731A,7430,517,N,2230,TOTAL,1414,721,438, 
LOS ANGELES,9000748A,1011,637,N, ,POLLING PLACE,470,231,175, 
LOS ANGELES,9000748A,1011,637,N, ,VBM PORTION,753,349,314, 
LOS ANGELES,9000748A,1011,637,N,2982,TOTAL,1223,580,489, 
LOS ANGELES,9000763A,1012,517,N, ,POLLING PLACE,355,173,122, 
LOS ANGELES,9000763A,1012,517,N, ,VBM PORTION,601,309,214, 
LOS ANGELES,9000763A,1012,517,N,1928,TOTAL,956,482,336, 
LOS ANGELES,9000766A,1013,478,N, ,POLLING PLACE,424,225,117, 
LOS ANGELES,9000766A,1013,478,N, ,VBM PORTION,1535,880,359, 
LOS ANGELES,9000766A,1013,478,N,2536,TOTAL,1959,1105,476, 
LOS ANGELES,9000770A,1014,480,N, ,POLLING PLACE,527,264,191, 
LOS ANGELES,9000770A,1014,480,N, ,VBM PORTION,1114,607,359, 
LOS ANGELES,9000770A,1014,480,N,2661,TOTAL,1641,871,550, 
LOS ANGELES,9000803D,1018,478,N, ,POLLING PLACE,457,246,127, 
LOS ANGELES,9000803D,1018,478,N, ,VBM PORTION,1707,1003,412, 
LOS ANGELES,9000803D,1018,478,N,2826,TOTAL,2164,1249,539, 
LOS ANGELES,9000819A,1019,476,N, ,POLLING PLACE,435,227,137, 
LOS ANGELES,9000819A,1019,476,N, ,VBM PORTION,1088,659,282, 
LOS ANGELES,9000819A,1019,476,N,2125,TOTAL,1523,886,419, 
LOS ANGELES,9000826A,1021,476,N, ,POLLING PLACE,619,371,141, 
LOS ANGELES,9000826A,1021,476,N, ,VBM PORTION,2451,1616,479, 
LOS ANGELES,9000826A,1021,476,N,3868,TOTAL,3070,1987,620, 
LOS ANGELES,9000843A,1022,480,N, ,POLLING PLACE,544,323,139, 
LOS ANGELES,9000843A,1022,480,N, ,VBM PORTION,2526,1582,579, 
LOS ANGELES,9000843A,1022,480,N,3823,TOTAL,3070,1905,718, 
LOS ANGELES,9000852B,7437,476,N, ,POLLING PLACE,134,88,32, 
LOS ANGELES,9000852B,7437,476,N, ,VBM PORTION,452,297,82, 
LOS ANGELES,9000852B,7437,476,N,670,TOTAL,586,385,114, 
LOS ANGELES,9000855A,1023,476,N, ,POLLING PLACE,623,357,141, 
LOS ANGELES,9000855A,1023,476,N, ,VBM PORTION,2449,1587,459, 
LOS ANGELES,9000855A,1023,476,N,3730,TOTAL,3072,1944,600, 
LOS ANGELES,9000866A,7438,476,N, ,POLLING PLACE,420,283,72, 
LOS ANGELES,9000866A,7438,476,N, ,VBM PORTION,2139,1433,399, 
LOS ANGELES,9000866A,7438,476,N,2913,TOTAL,2559,1716,471, 
LOS ANGELES,9000871B,1026,476,N, ,POLLING PLACE,383,232,93, 
LOS ANGELES,9000871B,1026,476,N, ,VBM PORTION,1223,820,222, 
LOS ANGELES,9000871B,1026,476,N,2167,TOTAL,1606,1052,315, 
LOS ANGELES,9000933A,7441,506,N, ,POLLING PLACE,216,105,68, 
LOS ANGELES,9000933A,7441,506,N, ,VBM PORTION,526,256,173, 
LOS ANGELES,9000933A,7441,506,N,1180,TOTAL,742,361,241, 
LOS ANGELES,9000958A,1044,637,N, ,POLLING PLACE,561,254,232, 
LOS ANGELES,9000958A,1044,637,N, ,VBM PORTION,809,372,359, 
LOS ANGELES,9000958A,1044,637,N,3268,TOTAL,1370,626,591, 
LOS ANGELES,9000962A,1045,480,N, ,POLLING PLACE,716,374,201, 
LOS ANGELES,9000962A,1045,480,N, ,VBM PORTION,2100,1263,519, 
LOS ANGELES,9000962A,1045,480,N,3919,TOTAL,2816,1637,720, 
LOS ANGELES,9000969A,1047,476,N, ,POLLING PLACE,647,346,183, 
LOS ANGELES,9000969A,1047,476,N, ,VBM PORTION,2054,1281,461, 
LOS ANGELES,9000969A,1047,476,N,3643,TOTAL,2701,1627,644, 
LOS ANGELES,9001046A,7451,637,N, ,POLLING PLACE,155,64,46, 
LOS ANGELES,9001046A,7451,637,N, ,VBM PORTION,137,57,48, 
LOS ANGELES,9001046A,7451,637,N,574,TOTAL,292,121,94, 
LOS ANGELES,9001055A,1065,637,N, ,POLLING PLACE,455,209,180, 
LOS ANGELES,9001055A,1065,637,N, ,VBM PORTION,785,401,292, 
LOS ANGELES,9001055A,1065,637,N,2919,TOTAL,1240,610,472, 
LOS ANGELES,9001098A,1072,513,N, ,POLLING PLACE,589,248,216, 
LOS ANGELES,9001098A,1072,513,N, ,VBM PORTION,1193,604,339, 
LOS ANGELES,9001098A,1072,513,N,2906,TOTAL,1782,852,555, 
LOS ANGELES,9001108A,7455,637,N, ,POLLING PLACE,69,31,27, 
LOS ANGELES,9001108A,7455,637,N, ,VBM PORTION,118,53,54, 
LOS ANGELES,9001108A,7455,637,N,400,TOTAL,187,84,81, 
LOS ANGELES,9001196A,1083,454,N, ,POLLING PLACE,797,373,192, 
LOS ANGELES,9001196A,1083,454,N, ,VBM PORTION,2901,1568,706, 
LOS ANGELES,9001196A,1083,454,N,4871,TOTAL,3698,1941,898, 
LOS ANGELES,9001453A,1112,637,N, ,POLLING PLACE,482,241,162, 
LOS ANGELES,9001453A,1112,637,N, ,VBM PORTION,832,445,319, 
LOS ANGELES,9001453A,1112,637,N,3123,TOTAL,1314,686,481, 
LOS ANGELES,9001488B,1122,476,N, ,POLLING PLACE,542,289,169, 
LOS ANGELES,9001488B,1122,476,N, ,VBM PORTION,1617,957,425, 
LOS ANGELES,9001488B,1122,476,N,3333,TOTAL,2159,1246,594, 
LOS ANGELES,9001543A,1130,513,N, ,POLLING PLACE,563,276,172, 
LOS ANGELES,9001543A,1130,513,N, ,VBM PORTION,1265,688,333, 
LOS ANGELES,9001543A,1130,513,N,3102,TOTAL,1828,964,505, 
LOS ANGELES,9001578A,1139,453,N, ,POLLING PLACE,725,344,196, 
LOS ANGELES,9001578A,1139,453,N, ,VBM PORTION,1227,683,313, 
LOS ANGELES,9001578A,1139,453,N,3096,TOTAL,1952,1027,509, 
LOS ANGELES,9001620A,7489,517,N, ,POLLING PLACE,48,20,12, 
LOS ANGELES,9001620A,7489,517,N, ,VBM PORTION,248,140,57, 
LOS ANGELES,9001620A,7489,517,N,445,TOTAL,296,160,69, 
LOS ANGELES,9001621B,7490,453,N, ,POLLING PLACE,26,14,7, 
LOS ANGELES,9001621B,7490,453,N, ,VBM PORTION,142,71,42, 
LOS ANGELES,9001621B,7490,453,N,212,TOTAL,168,85,49, 
LOS ANGELES,9001631A,7494,513,N, ,POLLING PLACE,335,152,108, 
LOS ANGELES,9001631A,7494,513,N, ,VBM PORTION,935,468,278, 
LOS ANGELES,9001631A,7494,513,N,2023,TOTAL,1270,620,386, 
LOS ANGELES,9001635B,1148,513,N, ,POLLING PLACE,439,206,138, 
LOS ANGELES,9001635B,1148,513,N, ,VBM PORTION,1133,586,317, 
LOS ANGELES,9001635B,1148,513,N,2578,TOTAL,1572,792,455, 
LOS ANGELES,9001647A,1150,453,N, ,POLLING PLACE,812,385,207, 
LOS ANGELES,9001647A,1150,453,N, ,VBM PORTION,2188,1281,473, 
LOS ANGELES,9001647A,1150,453,N,4711,TOTAL,3000,1666,680, 
LOS ANGELES,9001706A,1160,637,N, ,POLLING PLACE,318,146,125, 
LOS ANGELES,9001706A,1160,637,N, ,VBM PORTION,553,247,219, 
LOS ANGELES,9001706A,1160,637,N,1969,TOTAL,871,393,344, 
LOS ANGELES,9001708A,1161,637,N, ,POLLING PLACE,534,251,201, 
LOS ANGELES,9001708A,1161,637,N, ,VBM PORTION,905,453,362, 
LOS ANGELES,9001708A,1161,637,N,3148,TOTAL,1439,704,563, 
LOS ANGELES,9001739A,1170,637,N, ,POLLING PLACE,263,121,97, 
LOS ANGELES,9001739A,1170,637,N, ,VBM PORTION,678,347,264, 
LOS ANGELES,9001739A,1170,637,N,1809,TOTAL,941,468,361, 
LOS ANGELES,9001920A,1201,637,N, ,POLLING PLACE,309,126,107, 
LOS ANGELES,9001920A,1201,637,N, ,VBM PORTION,481,248,185, 
LOS ANGELES,9001920A,1201,637,N,1514,TOTAL,790,374,292, 
LOS ANGELES,9001930A,7507,634,N, ,POLLING PLACE,49,23,17, 
LOS ANGELES,9001930A,7507,634,N, ,VBM PORTION,54,32,13, 
LOS ANGELES,9001930A,7507,634,N,259,TOTAL,103,55,30, 
