COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
L A UNIFIED SCH-BOE 2, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIA BRENES,ROCIO RIVAS,
LOS ANGELES,9000593C,1243,291,N,2499,TOTAL,1347,514,650, 
LOS ANGELES,9000599A,7593,267,N, ,POLLING PLACE,11,4,6, 
LOS ANGELES,9000599A,7593,267,N, ,VBM PORTION,56,23,29, 
LOS ANGELES,9000599A,7593,267,N,98,TOTAL,67,27,35, 
LOS ANGELES,9000602C,1246,298,N, ,POLLING PLACE,192,93,65, 
LOS ANGELES,9000602C,1246,298,N, ,VBM PORTION,489,191,212, 
LOS ANGELES,9000602C,1246,298,N,1934,TOTAL,681,284,277, 
LOS ANGELES,9000605A,1247,296,N, ,POLLING PLACE,294,135,103, 
LOS ANGELES,9000605A,1247,296,N, ,VBM PORTION,1148,500,468, 
LOS ANGELES,9000605A,1247,296,N,3688,TOTAL,1442,635,571, 
LOS ANGELES,9000694A,1265,280,N, ,POLLING PLACE,283,106,122, 
LOS ANGELES,9000694A,1265,280,N, ,VBM PORTION,1229,382,651, 
LOS ANGELES,9000694A,1265,280,N,2221,TOTAL,1512,488,773, 
LOS ANGELES,9000699B,1267,280,N, ,POLLING PLACE,344,145,142, 
LOS ANGELES,9000699B,1267,280,N, ,VBM PORTION,1949,708,952, 
LOS ANGELES,9000699B,1267,280,N,3257,TOTAL,2293,853,1094, 
LOS ANGELES,9000776A,1280,291,N, ,POLLING PLACE,183,78,81, 
LOS ANGELES,9000776A,1280,291,N, ,VBM PORTION,566,189,292, 
LOS ANGELES,9000776A,1280,291,N,2115,TOTAL,749,267,373, 
LOS ANGELES,9000784A,1282,274,N, ,POLLING PLACE,116,44,44, 
LOS ANGELES,9000784A,1282,274,N, ,VBM PORTION,671,238,226, 
LOS ANGELES,9000784A,1282,274,N,1808,TOTAL,787,282,270, 
LOS ANGELES,9000785A,1283,291,N, ,POLLING PLACE,200,78,94, 
LOS ANGELES,9000785A,1283,291,N, ,VBM PORTION,1109,382,575, 
LOS ANGELES,9000785A,1283,291,N,2459,TOTAL,1309,460,669, 
LOS ANGELES,9000795A,1284,280,N, ,POLLING PLACE,213,66,110, 
LOS ANGELES,9000795A,1284,280,N, ,VBM PORTION,880,263,519, 
LOS ANGELES,9000795A,1284,280,N,2025,TOTAL,1093,329,629, 
LOS ANGELES,9000817B,1289,291,N, ,POLLING PLACE,220,85,98, 
LOS ANGELES,9000817B,1289,291,N, ,VBM PORTION,1002,409,437, 
LOS ANGELES,9000817B,1289,291,N,2220,TOTAL,1222,494,535, 
LOS ANGELES,9000818A,1290,291,N, ,POLLING PLACE,314,122,152, 
LOS ANGELES,9000818A,1290,291,N, ,VBM PORTION,1166,402,631, 
LOS ANGELES,9000818A,1290,291,N,2924,TOTAL,1480,524,783, 
LOS ANGELES,9000821A,1292,291,N, ,POLLING PLACE,198,64,98, 
LOS ANGELES,9000821A,1292,291,N, ,VBM PORTION,801,285,428, 
LOS ANGELES,9000821A,1292,291,N,2215,TOTAL,999,349,526, 
LOS ANGELES,9000823A,1293,291,N, ,POLLING PLACE,252,94,126, 
LOS ANGELES,9000823A,1293,291,N, ,VBM PORTION,1071,320,630, 
LOS ANGELES,9000823A,1293,291,N,3239,TOTAL,1323,414,756, 
LOS ANGELES,9000830A,1295,291,N, ,POLLING PLACE,263,107,122, 
LOS ANGELES,9000830A,1295,291,N, ,VBM PORTION,1165,396,625, 
LOS ANGELES,9000830A,1295,291,N,2867,TOTAL,1428,503,747, 
LOS ANGELES,9000835A,1298,291,N, ,POLLING PLACE,310,114,140, 
LOS ANGELES,9000835A,1298,291,N, ,VBM PORTION,1324,447,691, 
LOS ANGELES,9000835A,1298,291,N,3207,TOTAL,1634,561,831, 
LOS ANGELES,9000856A,1300,291,N, ,POLLING PLACE,281,101,135, 
LOS ANGELES,9000856A,1300,291,N, ,VBM PORTION,1126,391,591, 
LOS ANGELES,9000856A,1300,291,N,3005,TOTAL,1407,492,726, 
LOS ANGELES,9000870A,1301,298,N, ,POLLING PLACE,110,51,40, 
LOS ANGELES,9000870A,1301,298,N, ,VBM PORTION,529,211,219, 
LOS ANGELES,9000870A,1301,298,N,1819,TOTAL,639,262,259, 
