COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
34TH CONGRESS DIST,Voter Nominated, , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DAVID KIM,JIMMY GOMEZ,
LOS ANGELES,9001499A,1412,298,N,3291,TOTAL,930,448,388, 
LOS ANGELES,9001500A,1413,291,N, ,POLLING PLACE,266,110,114, 
LOS ANGELES,9001500A,1413,291,N, ,VBM PORTION,1200,486,590, 
LOS ANGELES,9001500A,1413,291,N,2970,TOTAL,1466,596,704, 
LOS ANGELES,9001539A,7660,298,N, ,POLLING PLACE,109,63,29, 
LOS ANGELES,9001539A,7660,298,N, ,VBM PORTION,389,209,133, 
LOS ANGELES,9001539A,7660,298,N,1407,TOTAL,498,272,162, 
LOS ANGELES,9001543A,1417,297,N, ,POLLING PLACE,234,134,69, 
LOS ANGELES,9001543A,1417,297,N, ,VBM PORTION,1037,568,365, 
LOS ANGELES,9001543A,1417,297,N,3406,TOTAL,1271,702,434, 
LOS ANGELES,9001592A,7662,297,N, ,POLLING PLACE,47,17,26, 
LOS ANGELES,9001592A,7662,297,N, ,VBM PORTION,140,46,81, 
LOS ANGELES,9001592A,7662,297,N,646,TOTAL,187,63,107, 
LOS ANGELES,9001620A,7664,295,N, ,POLLING PLACE,140,74,45, 
LOS ANGELES,9001620A,7664,295,N, ,VBM PORTION,602,299,240, 
LOS ANGELES,9001620A,7664,295,N,1511,TOTAL,742,373,285, 
LOS ANGELES,9001628A,1436,295,N, ,POLLING PLACE,208,115,75, 
LOS ANGELES,9001628A,1436,295,N, ,VBM PORTION,939,459,377, 
LOS ANGELES,9001628A,1436,295,N,2860,TOTAL,1147,574,452, 
LOS ANGELES,9001629A,1437,297,N, ,POLLING PLACE,199,95,76, 
LOS ANGELES,9001629A,1437,297,N, ,VBM PORTION,954,533,313, 
LOS ANGELES,9001629A,1437,297,N,3041,TOTAL,1153,628,389, 
LOS ANGELES,9001631A,1438,297,N, ,POLLING PLACE,281,149,107, 
LOS ANGELES,9001631A,1438,297,N, ,VBM PORTION,1143,604,439, 
LOS ANGELES,9001631A,1438,297,N,3652,TOTAL,1424,753,546, 
LOS ANGELES,9001660G,7668,298,N, ,POLLING PLACE,9,6,3, 
LOS ANGELES,9001660G,7668,298,N, ,VBM PORTION,7,6,1, 
LOS ANGELES,9001660G,7668,298,N,47,TOTAL,16,12,4, 
LOS ANGELES,9001686A,1445,298,N, ,POLLING PLACE,175,86,61, 
LOS ANGELES,9001686A,1445,298,N, ,VBM PORTION,1555,689,678, 
LOS ANGELES,9001686A,1445,298,N,2755,TOTAL,1730,775,739, 
LOS ANGELES,9001742A,1456,298,N, ,POLLING PLACE,198,91,87, 
LOS ANGELES,9001742A,1456,298,N, ,VBM PORTION,721,348,303, 
LOS ANGELES,9001742A,1456,298,N,3134,TOTAL,919,439,390, 
LOS ANGELES,9001781B,1467,297,N, ,POLLING PLACE,193,79,89, 
LOS ANGELES,9001781B,1467,297,N, ,VBM PORTION,756,326,371, 
LOS ANGELES,9001781B,1467,297,N,2896,TOTAL,949,405,460, 
LOS ANGELES,9001804C,1472,283,N, ,POLLING PLACE,224,103,92, 
LOS ANGELES,9001804C,1472,283,N, ,VBM PORTION,590,267,249, 
LOS ANGELES,9001804C,1472,283,N,2234,TOTAL,814,370,341, 
LOS ANGELES,9001810A,1474,298,N, ,POLLING PLACE,269,144,92, 
LOS ANGELES,9001810A,1474,298,N, ,VBM PORTION,964,471,418, 
LOS ANGELES,9001810A,1474,298,N,3441,TOTAL,1233,615,510, 
LOS ANGELES,9001820D,7675,296,N, ,POLLING PLACE,20,12,6, 
LOS ANGELES,9001820D,7675,296,N, ,VBM PORTION,73,41,24, 
LOS ANGELES,9001820D,7675,296,N,221,TOTAL,93,53,30, 
LOS ANGELES,9001842C,7676,298,N, ,POLLING PLACE,141,59,62, 
LOS ANGELES,9001842C,7676,298,N, ,VBM PORTION,425,184,203, 
LOS ANGELES,9001842C,7676,298,N,1471,TOTAL,566,243,265, 
LOS ANGELES,9001862C,1479,298,N, ,POLLING PLACE,232,96,107, 
LOS ANGELES,9001862C,1479,298,N, ,VBM PORTION,835,323,415, 
LOS ANGELES,9001862C,1479,298,N,2517,TOTAL,1067,419,522, 
LOS ANGELES,9001890B,1482,298,N, ,POLLING PLACE,361,197,121, 
LOS ANGELES,9001890B,1482,298,N, ,VBM PORTION,1560,792,579, 
LOS ANGELES,9001890B,1482,298,N,4458,TOTAL,1921,989,700, 
LOS ANGELES,9001895A,1484,298,N, ,POLLING PLACE,201,58,124, 
LOS ANGELES,9001895A,1484,298,N, ,VBM PORTION,639,157,434, 
LOS ANGELES,9001895A,1484,298,N,2682,TOTAL,840,215,558, 
LOS ANGELES,9001905A,1485,298,N, ,POLLING PLACE,226,65,137, 
LOS ANGELES,9001905A,1485,298,N, ,VBM PORTION,537,124,375, 
LOS ANGELES,9001905A,1485,298,N,2712,TOTAL,763,189,512, 
LOS ANGELES,9001911A,1488,298,N, ,POLLING PLACE,134,41,75, 
LOS ANGELES,9001911A,1488,298,N, ,VBM PORTION,315,78,207, 
LOS ANGELES,9001911A,1488,298,N,1568,TOTAL,449,119,282, 
LOS ANGELES,9002012A,7690,298,N, ,POLLING PLACE,29,14,10, 
LOS ANGELES,9002012A,7690,298,N, ,VBM PORTION,200,124,60, 
LOS ANGELES,9002012A,7690,298,N,693,TOTAL,229,138,70, 
LOS ANGELES,9002015B,7691,290,N, ,POLLING PLACE,93,41,36, 
LOS ANGELES,9002015B,7691,290,N, ,VBM PORTION,460,195,209, 
LOS ANGELES,9002015B,7691,290,N,1100,TOTAL,553,236,245, 
LOS ANGELES,9002017B,1504,298,N, ,POLLING PLACE,305,150,121, 
LOS ANGELES,9002017B,1504,298,N, ,VBM PORTION,959,482,368, 
LOS ANGELES,9002017B,1504,298,N,3288,TOTAL,1264,632,489, 
LOS ANGELES,9002044A,1510,297,N, ,POLLING PLACE,216,121,72, 
LOS ANGELES,9002044A,1510,297,N, ,VBM PORTION,1001,563,337, 
LOS ANGELES,9002044A,1510,297,N,3635,TOTAL,1217,684,409, 
LOS ANGELES,9002053A,1513,290,N, ,POLLING PLACE,157,70,59, 
