COUNTY OF LOS ANGELES,GENERAL ELECTION,11/3/20,,,,,,,,,,,,
PRES AND VICE PRES, , , , ,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOSEPH R BIDEN,DONALD J TRUMP,GLORIA LA RIVA,ROQUE D GUERRA,HOWIE HAWKINS,JO JORGENSEN,
AGUA DULCE,0090009A,6017,178,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090009A,6017,178,Y,0,TOTAL,0,0,0,0,0,0,0, 
AGUA DULCE,0090012A,6018,162,Y, ,POLLING PLACE,2,1,1,0,0,0,0, 
AGUA DULCE,0090012A,6018,162,Y, ,VBM PORTION,7,0,7,0,0,0,0, 
AGUA DULCE,0090012A,6018,162,Y,8,TOTAL,9,1,8,0,0,0,0, 
AGUA DULCE,0090017A,6019,142,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090017A,6019,142,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090017A,6019,142,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALHAMBRA,0150003A,13,389,N, ,POLLING PLACE,358,171,172,2,1,2,5, 
ALHAMBRA,0150003A,13,389,N, ,VBM PORTION,1824,1312,434,2,11,11,15, 
ALHAMBRA,0150003A,13,389,N,2743,TOTAL,2182,1483,606,4,12,13,20, 
ALHAMBRA,0150005D,6020,391,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALHAMBRA,0150005D,6020,391,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ALHAMBRA,0150005D,6020,391,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALHAMBRA,0150005E,6021,400,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALHAMBRA,0150005E,6021,400,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ALHAMBRA,0150005E,6021,400,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALHAMBRA,0150007A,14,389,N, ,POLLING PLACE,286,150,123,2,2,2,2, 
ALHAMBRA,0150007A,14,389,N, ,VBM PORTION,1533,1132,346,4,3,11,9, 
ALHAMBRA,0150007A,14,389,N,2484,TOTAL,1819,1282,469,6,5,13,11, 
ALHAMBRA,0150008A,15,389,N, ,POLLING PLACE,314,170,134,2,1,0,3, 
ALHAMBRA,0150008A,15,389,N, ,VBM PORTION,1406,1056,300,8,3,13,5, 
ALHAMBRA,0150008A,15,389,N,2342,TOTAL,1720,1226,434,10,4,13,8, 
ALHAMBRA,0150010B,16,389,N, ,POLLING PLACE,274,137,126,2,0,2,4, 
ALHAMBRA,0150010B,16,389,N, ,VBM PORTION,1506,1101,342,5,4,6,11, 
ALHAMBRA,0150010B,16,389,N,2379,TOTAL,1780,1238,468,7,4,8,15, 
ALHAMBRA,0150011A,17,389,N, ,POLLING PLACE,357,198,143,3,3,2,2, 
ALHAMBRA,0150011A,17,389,N, ,VBM PORTION,1423,1124,253,5,2,3,10, 
ALHAMBRA,0150011A,17,389,N,2263,TOTAL,1780,1322,396,8,5,5,12, 
ALHAMBRA,0150012A,18,389,N, ,POLLING PLACE,326,200,112,1,2,1,1, 
ALHAMBRA,0150012A,18,389,N, ,VBM PORTION,1505,1149,290,5,5,10,10, 
ALHAMBRA,0150012A,18,389,N,2384,TOTAL,1831,1349,402,6,7,11,11, 
ALHAMBRA,0150016D,19,389,N, ,POLLING PLACE,355,186,154,2,3,1,1, 
ALHAMBRA,0150016D,19,389,N, ,VBM PORTION,1483,1056,375,3,7,9,9, 
ALHAMBRA,0150016D,19,389,N,2313,TOTAL,1838,1242,529,5,10,10,10, 
ALHAMBRA,0150023A,20,389,N, ,POLLING PLACE,317,197,110,0,3,1,0, 
ALHAMBRA,0150023A,20,389,N, ,VBM PORTION,1490,1179,258,1,5,7,9, 
ALHAMBRA,0150023A,20,389,N,2261,TOTAL,1807,1376,368,1,8,8,9, 
ALHAMBRA,0150025A,21,389,N, ,POLLING PLACE,331,175,144,2,1,1,6, 
ALHAMBRA,0150025A,21,389,N, ,VBM PORTION,1360,1007,300,7,3,7,3, 
ALHAMBRA,0150025A,21,389,N,2299,TOTAL,1691,1182,444,9,4,8,9, 
ALHAMBRA,0150032B,6022,399,Y, ,POLLING PLACE,5,1,4,0,0,0,0, 
ALHAMBRA,0150032B,6022,399,Y, ,VBM PORTION,18,12,6,0,0,0,0, 
ALHAMBRA,0150032B,6022,399,Y,23,TOTAL,23,13,10,0,0,0,0, 
ALHAMBRA,0150033A,22,389,N, ,POLLING PLACE,283,158,116,1,2,1,1, 
ALHAMBRA,0150033A,22,389,N, ,VBM PORTION,1303,974,285,5,5,2,4, 
ALHAMBRA,0150033A,22,389,N,2071,TOTAL,1586,1132,401,6,7,3,5, 
ALHAMBRA,0150039A,23,389,N, ,POLLING PLACE,312,169,130,1,2,2,3, 
ALHAMBRA,0150039A,23,389,N, ,VBM PORTION,1480,1075,340,9,4,13,8, 
ALHAMBRA,0150039A,23,389,N,2463,TOTAL,1792,1244,470,10,6,15,11, 
ALHAMBRA,0150042A,24,389,N, ,POLLING PLACE,312,165,140,0,0,1,2, 
ALHAMBRA,0150042A,24,389,N, ,VBM PORTION,1397,990,358,1,6,7,8, 
ALHAMBRA,0150042A,24,389,N,2350,TOTAL,1709,1155,498,1,6,8,10, 
ALHAMBRA,0150044B,6023,390,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALHAMBRA,0150044B,6023,390,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ALHAMBRA,0150044B,6023,390,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALHAMBRA,0150045A,25,389,N, ,POLLING PLACE,262,128,127,1,0,1,4, 
ALHAMBRA,0150045A,25,389,N, ,VBM PORTION,1362,957,351,8,3,2,9, 
ALHAMBRA,0150045A,25,389,N,2277,TOTAL,1624,1085,478,9,3,3,13, 
ALHAMBRA,0150049A,26,389,N, ,POLLING PLACE,280,132,139,3,2,1,1, 
ALHAMBRA,0150049A,26,389,N, ,VBM PORTION,1506,1044,398,3,4,10,9, 
ALHAMBRA,0150049A,26,389,N,2401,TOTAL,1786,1176,537,6,6,11,10, 
ALHAMBRA,0150051A,27,389,N, ,POLLING PLACE,245,102,135,1,0,0,2, 
ALHAMBRA,0150051A,27,389,N, ,VBM PORTION,1348,928,360,1,1,10,7, 
ALHAMBRA,0150051A,27,389,N,2052,TOTAL,1593,1030,495,2,1,10,9, 
ALHAMBRA,0150056A,28,389,N, ,POLLING PLACE,306,157,144,2,1,0,1, 
ALHAMBRA,0150056A,28,389,N, ,VBM PORTION,1255,910,305,5,0,9,11, 
ALHAMBRA,0150056A,28,389,N,2039,TOTAL,1561,1067,449,7,1,9,12, 
ALHAMBRA,0150060A,29,389,N, ,POLLING PLACE,292,142,142,0,2,2,1, 
ALHAMBRA,0150060A,29,389,N, ,VBM PORTION,1386,958,368,2,3,10,11, 
ALHAMBRA,0150060A,29,389,N,2377,TOTAL,1678,1100,510,2,5,12,12, 
ALHAMBRA,0150065A,30,389,N, ,POLLING PLACE,334,193,129,2,3,3,2, 
ALHAMBRA,0150065A,30,389,N, ,VBM PORTION,1398,1078,277,6,4,9,5, 
ALHAMBRA,0150065A,30,389,N,2188,TOTAL,1732,1271,406,8,7,12,7, 
ALHAMBRA,0150067A,31,389,N, ,POLLING PLACE,356,195,143,2,1,1,5, 
ALHAMBRA,0150067A,31,389,N, ,VBM PORTION,1454,1019,390,0,4,4,3, 
ALHAMBRA,0150067A,31,389,N,2274,TOTAL,1810,1214,533,2,5,5,8, 
ALHAMBRA,0150079A,32,389,N, ,POLLING PLACE,318,149,159,2,3,1,1, 
ALHAMBRA,0150079A,32,389,N, ,VBM PORTION,1510,1057,391,6,4,6,13, 
ALHAMBRA,0150079A,32,389,N,2464,TOTAL,1828,1206,550,8,7,7,14, 
ALONDRA PARK,0180002A,6024,783,Y, ,POLLING PLACE,173,110,58,0,2,0,1, 
ALONDRA PARK,0180002A,6024,783,Y, ,VBM PORTION,661,510,121,5,4,2,4, 
ALONDRA PARK,0180002A,6024,783,Y,1172,TOTAL,834,620,179,5,6,2,5, 
ALTADENA,0200001E,6025,222,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALTADENA,0200001E,6025,222,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ALTADENA,0200001E,6025,222,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALTADENA,0200002A,33,193,N, ,POLLING PLACE,384,279,93,4,1,0,5, 
ALTADENA,0200002A,33,193,N, ,VBM PORTION,1645,1353,227,3,3,11,21, 
ALTADENA,0200002A,33,193,N,2383,TOTAL,2029,1632,320,7,4,11,26, 
ALTADENA,0200003A,34,193,N, ,POLLING PLACE,353,283,65,1,2,0,0, 
ALTADENA,0200003A,34,193,N, ,VBM PORTION,1449,1277,119,3,2,10,10, 
ALTADENA,0200003A,34,193,N,2220,TOTAL,1802,1560,184,4,4,10,10, 
ALTADENA,0200007A,35,194,N, ,POLLING PLACE,341,143,187,0,1,0,4, 
ALTADENA,0200007A,35,194,N, ,VBM PORTION,1503,1104,353,1,7,3,9, 
ALTADENA,0200007A,35,194,N,2239,TOTAL,1844,1247,540,1,8,3,13, 
ALTADENA,0200008B,36,193,N, ,POLLING PLACE,424,320,94,1,1,4,0, 
ALTADENA,0200008B,36,193,N, ,VBM PORTION,1241,1089,112,1,2,7,7, 
ALTADENA,0200008B,36,193,N,2109,TOTAL,1665,1409,206,2,3,11,7, 
ALTADENA,0200016A,37,194,N, ,POLLING PLACE,339,179,152,1,1,2,2, 
ALTADENA,0200016A,37,194,N, ,VBM PORTION,1678,1265,335,1,2,12,19, 
ALTADENA,0200016A,37,194,N,2235,TOTAL,2017,1444,487,2,3,14,21, 
ALTADENA,0200017A,38,193,N, ,POLLING PLACE,267,200,57,1,0,1,3, 
ALTADENA,0200017A,38,193,N, ,VBM PORTION,1088,942,101,5,2,7,5, 
ALTADENA,0200017A,38,193,N,1798,TOTAL,1355,1142,158,6,2,8,8, 
ALTADENA,0200019B,39,193,N, ,POLLING PLACE,256,191,55,0,1,2,3, 
ALTADENA,0200019B,39,193,N, ,VBM PORTION,999,867,100,4,4,9,7, 
ALTADENA,0200019B,39,193,N,1817,TOTAL,1255,1058,155,4,5,11,10, 
ALTADENA,0200024A,40,193,N, ,POLLING PLACE,347,240,92,1,2,3,3, 
ALTADENA,0200024A,40,193,N, ,VBM PORTION,1482,1256,184,0,3,7,8, 
ALTADENA,0200024A,40,193,N,2250,TOTAL,1829,1496,276,1,5,10,11, 
ALTADENA,0200028A,41,194,N, ,POLLING PLACE,330,201,118,1,1,1,4, 
ALTADENA,0200028A,41,194,N, ,VBM PORTION,1788,1491,225,2,4,9,23, 
ALTADENA,0200028A,41,194,N,2375,TOTAL,2118,1692,343,3,5,10,27, 
ALTADENA,0200030A,42,194,N, ,POLLING PLACE,255,114,125,0,4,0,6, 
ALTADENA,0200030A,42,194,N, ,VBM PORTION,1479,1123,297,0,4,7,16, 
ALTADENA,0200030A,42,194,N,1955,TOTAL,1734,1237,422,0,8,7,22, 
ALTADENA,0200030K,6026,224,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALTADENA,0200030K,6026,224,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ALTADENA,0200030K,6026,224,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALTADENA,0200031A,6027,252,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALTADENA,0200031A,6027,252,Y, ,VBM PORTION,3,3,0,0,0,0,0, 
ALTADENA,0200031A,6027,252,Y,4,TOTAL,3,3,0,0,0,0,0, 
ALTADENA,0200039A,43,194,N, ,POLLING PLACE,439,198,223,2,1,2,8, 
ALTADENA,0200039A,43,194,N, ,VBM PORTION,1631,1135,433,1,11,10,12, 
ALTADENA,0200039A,43,194,N,2580,TOTAL,2070,1333,656,3,12,12,20, 
ALTADENA,0200049A,6028,222,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALTADENA,0200049A,6028,222,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ALTADENA,0200049A,6028,222,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALTADENA,0200051A,44,193,N, ,POLLING PLACE,309,190,103,1,3,1,5, 
ALTADENA,0200051A,44,193,N, ,VBM PORTION,1433,1208,184,5,4,5,6, 
ALTADENA,0200051A,44,193,N,2001,TOTAL,1742,1398,287,6,7,6,11, 
ALTADENA,0200086G,6029,223,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALTADENA,0200086G,6029,223,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ALTADENA,0200086G,6029,223,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALTADENA,0200087A,45,193,N, ,POLLING PLACE,265,188,66,0,1,0,2, 
ALTADENA,0200087A,45,193,N, ,VBM PORTION,1128,963,119,3,8,9,7, 
ALTADENA,0200087A,45,193,N,1706,TOTAL,1393,1151,185,3,9,9,9, 
ALTADENA,0200088A,46,193,N, ,POLLING PLACE,367,247,108,1,2,1,1, 
ALTADENA,0200088A,46,193,N, ,VBM PORTION,1494,1277,156,0,4,8,14, 
ALTADENA,0200088A,46,193,N,2276,TOTAL,1861,1524,264,1,6,9,15, 
ALTADENA,0200091B,47,193,N, ,POLLING PLACE,342,236,94,0,3,3,0, 
ALTADENA,0200091B,47,193,N, ,VBM PORTION,1438,1248,129,2,2,13,12, 
ALTADENA,0200091B,47,193,N,2208,TOTAL,1780,1484,223,2,5,16,12, 
ALTADENA,0200094A,6030,194,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALTADENA,0200094A,6030,194,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ALTADENA,0200094A,6030,194,Y,0,TOTAL,0,0,0,0,0,0,0, 
ALTADENA,0200094F,6031,223,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ALTADENA,0200094F,6031,223,Y, ,VBM PORTION,2,0,2,0,0,0,0, 
ALTADENA,0200094F,6031,223,Y,2,TOTAL,2,0,2,0,0,0,0, 
ANTELOPE,0300002A,6032,58,Y, ,POLLING PLACE,75,17,57,0,0,0,0, 
ANTELOPE,0300002A,6032,58,Y, ,VBM PORTION,235,101,126,1,2,0,4, 
ANTELOPE,0300002A,6032,58,Y,424,TOTAL,310,118,183,1,2,0,4, 
ANTELOPE,0300002B,6033,41,Y, ,POLLING PLACE,11,3,6,0,0,0,2, 
ANTELOPE,0300002B,6033,41,Y, ,VBM PORTION,22,12,9,0,0,1,0, 
ANTELOPE,0300002B,6033,41,Y,44,TOTAL,33,15,15,0,0,1,2, 
ANTELOPE,0300002D,6034,77,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ANTELOPE,0300002D,6034,77,Y, ,VBM PORTION,2,0,2,0,0,0,0, 
ANTELOPE,0300002D,6034,77,Y,2,TOTAL,2,0,2,0,0,0,0, 
ANTELOPE,0300003A,6035,39,Y, ,POLLING PLACE,23,3,20,0,0,0,0, 
ANTELOPE,0300003A,6035,39,Y, ,VBM PORTION,38,14,22,0,0,0,1, 
ANTELOPE,0300003A,6035,39,Y,68,TOTAL,61,17,42,0,0,0,1, 
ANTELOPE,0300006B,6036,13,Y, ,POLLING PLACE,2,1,1,0,0,0,0, 
